data,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_nordeste,credito_total_nordeste,ibc_br,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,pib_trimestral_indice,selic_mensal,credito_PF_brasil_real,credito_PF_nordeste_real,credito_PJ_brasil_real,credito_PJ_nordeste_real,credito_total_nordeste_real
2017-11-01,96.98,3080362.0,256849.0,1650998.0,141377.0,146547.0,95.35002,3.77,5.25,0.28,,7.4,4658851.402109862,388467.75923755585,2497029.3579717507,213823.71119890647,221643.00703131448
2017-12-01,97.45,3105277.0,258210.0,1660162.0,145183.0,147268.0,96.86882,3.53,4.9,0.44,,7.0,4675959.531364208,388815.3973360677,2499889.809349912,218618.12412936104,221757.73957200735
2018-01-01,97.84,3080974.0,260340.0,1670402.0,141485.0,145966.0,96.22121,3.72,5.05,0.29,168.01,6.9,4625948.561541671,390889.1955958598,2508036.0071510924,212433.57854682425,219161.60530208677
2018-02-01,97.91,3074312.0,259769.0,1669009.0,141478.0,145925.0,95.90327,3.7,4.97,0.32,,6.72,4601221.947839811,388787.74313355313,2497951.0348794055,211745.4828060655,218401.16186597993
2018-03-01,98.24,3094386.0,261564.0,1678623.0,140921.0,146698.0,95.91081,3.64,4.77,0.09,,6.58,4627101.6538212905,391122.25074057083,2510080.920558216,210722.18920268837,219360.66102040134
2018-04-01,98.28,3103899.0,263238.0,1688992.0,139178.0,147577.0,96.45372,3.62,4.64,0.22,167.85,6.4,4631138.142533976,392761.34383379057,2520041.816320294,207658.9941881465,220190.62916052892
2018-05-01,94.74,3117593.0,265481.0,1698149.0,141499.0,148898.0,93.55124,3.59,4.59,0.4,,6.4,4633037.971753262,394529.86768286553,2523609.9768939787,210280.8929725961,221276.50656070796
2018-06-01,98.24,3138842.0,267413.0,1706124.0,139806.0,151479.0,96.16264,3.47,4.4,1.26,,6.4,4606573.172903985,392456.05605053494,2503912.286138531,205179.6710414269,222310.9980235777
2018-07-01,98.13,3134446.0,269124.0,1713564.0,137643.0,152319.0,96.49733,3.5,4.28,0.33,169.46,6.4,4584991.120486722,393668.01990203967,2506559.603957353,201340.8215669225,222808.516235857
2018-08-01,98.51,3166304.0,272262.0,1731984.0,138167.0,155361.0,97.28302,3.49,4.22,-0.09,,6.4,4635764.413444031,398616.964995496,2535786.1379875233,202289.3764187903,227462.99630012727
2018-09-01,98.26,3181647.0,273229.0,1740771.0,138490.0,155595.0,96.6876,3.41,4.1,0.48,,6.4,4635975.315148681,398121.7587566311,2536476.0406565173,201793.66893779885,226717.35084393685
2018-10-01,97.8,3177146.0,275945.0,1759757.0,137943.0,156553.0,97.02722,3.37,4.08,0.45,169.01,6.4,4608677.861250137,400277.9892465342,2552653.5850351094,200096.2027600959,227091.34084876577
2018-11-01,98.23,3212535.0,280724.0,1784716.0,138685.0,158699.0,97.17266,3.3,3.96,-0.21,,6.4,4669818.760163942,408067.2122259407,2594306.4459577096,201595.87825606143,230688.7138721469
2018-12-01,97.6,3265064.0,283382.0,1803027.0,139186.0,162328.0,97.58103,3.25,3.85,0.15,,6.4,4739067.586688244,411313.97450429393,2616998.262093406,202021.11233372148,235610.50050226558
2019-01-01,97.56,3237076.0,284600.0,1814074.0,135726.0,161611.0,97.45533,3.34,3.97,0.32,169.54,6.4,4683457.422251651,411764.19162627624,2624633.5704857535,196370.71915905824,233821.5838823406
2019-02-01,98.02,3247396.0,285949.0,1823184.0,135632.0,161870.0,96.71471,3.3,3.87,0.43,,6.4,4678272.006725274,411944.5863858567,2626520.039536112,195394.52189266798,233193.57717032975
2019-03-01,97.83,3273000.0,288044.0,1836305.0,133839.0,163337.0,96.15153,3.36,3.88,0.75,,6.4,4680057.277703865,411873.63840480667,2625729.477340054,191376.1643723213,233555.30570373245
2019-04-01,97.88,3272570.0,290939.0,1852546.0,131847.0,164096.0,96.23963,3.36,3.86,0.57,170.49,6.4,4652920.773010079,413655.3585649136,2633939.004011138,187459.28892554165,233310.72740013566
2019-05-01,98.19,3291212.0,294493.0,1870663.0,135120.0,165181.0,97.54391,3.41,3.88,0.13,,6.4,4673350.503282301,418164.8006154313,2656244.5301370984,191863.39865177465,234548.461017605
2019-06-01,98.38,3301611.0,296829.0,1882338.0,137101.0,166486.0,96.96174,3.35,3.87,0.01,,6.4,4687647.779672036,421439.65560820786,2672555.169670897,194656.85031968207,236377.85561245057
2019-07-01,97.57,3296187.0,299930.0,1899265.0,135316.0,166877.0,96.69014,3.44,4.0,0.19,170.53,6.4,4671071.714566037,425034.9083197621,2691474.4278662787,191758.1557503315,236483.68084445348
2019-08-01,97.17,3333007.0,303974.0,1921792.0,136876.0,168648.0,96.9505,3.48,3.89,0.11,,5.9,4718059.974571182,430292.3944385057,2720405.3020744035,193755.72180898665,238730.7853213272
