ano_bim,bimestre,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,selic_mensal,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PF_nordeste_real,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_PJ_nordeste_real,credito_total_nordeste,credito_total_nordeste_real,ibc_br,pib_trimestral_indice
2022,1,3.27,3.26,0.775,9.82,100.89,4723686.0,5626618.757609835,435866.0,519181.8023899913,2755932.0,3282728.5060643717,186020.0,221577.73003764043,253105.0,301486.0303256477,98.58788,175.72
2022,2,3.435,3.465,1.34,11.4,103.59,4828886.0,5600862.837381575,450056.0,522004.85270114103,2830339.0,3282815.233636025,190729.0,221220.1671588334,259983.0,301545.5579301259,99.71472,177.74
2022,3,3.5549999999999997,3.635,0.5700000000000001,12.7,99.51,4961785.0,5689963.170945988,464396.0,532549.5031998834,2914335.0,3342034.936580057,197348.0,226310.2596867557,264130.0,302893.00571104226,99.54987,
2022,4,3.685,3.86,-0.52,13.365,99.82,5068741.0,5873556.952380474,478519.0,554498.3654316036,3009898.0,3487810.3505103304,203961.0,236345.9781362815,271641.0,314772.2253122786,101.06191,179.56
2022,5,3.785,4.055,0.15,13.65,98.69,5211491.0,6021012.813851935,492578.0,569092.1177493271,3111431.0,3594742.06525851,208546.0,240940.2871994916,279773.0,323231.26298592804,101.38469,180.3
2022,6,3.865,4.17,0.515,13.65,97.98,5358049.0,6127071.66787569,507073.0,579851.4742669822,3187782.0,3645313.578797824,216702.0,247804.50581396284,286855.0,328026.3288537453,100.23388,
2023,1,4.0600000000000005,4.42,0.685,13.65,103.24,5364476.0,6051249.592420545,514290.0,580130.6880459457,3235889.0,3650155.5776124503,214404.0,241852.53463960593,287182.0,323947.7556522794,103.29712,182.79
2023,2,4.105,4.565,0.6599999999999999,13.65,105.8,5419040.0,6032903.401791453,521402.0,580465.8942360395,3282388.0,3654213.611857348,214683.0,239002.0743539067,291867.0,324929.40025736403,104.36716,184.25
2023,3,4.215,4.85,0.07500000000000001,13.65,102.19,5472241.0,6083017.623888908,524751.0,583320.3583601906,3310857.0,3680393.7328739646,219598.0,244108.1275789492,292330.0,324958.00934049586,102.39167,
2023,4,4.09,4.88,0.175,13.42,101.02,5551565.0,6149654.498836772,534406.0,591979.4260006617,3387211.0,3752127.078519192,223986.0,248116.79455729207,296897.0,328882.7513937315,102.45143,184.44
2023,5,3.9050000000000002,4.84,0.25,12.81,101.59,5644764.0,6221746.596135464,543032.0,598538.308703895,3449675.0,3802285.390323423,229156.0,252579.3041097942,304011.0,335085.64829951053,102.78063,185.03
2023,6,3.725,4.67,0.42000000000000004,12.02,102.41,5794196.0,6333155.062201124,552993.0,604430.7816497381,3522206.0,3849831.2378482143,236198.0,258168.44293527197,311667.0,340657.34724386915,104.50538,
2024,1,3.67,4.595000000000001,0.625,11.4,105.25,5802794.0,6264034.033219429,561040.0,605634.7431939559,3580901.0,3865531.971941359,234489.0,253127.558278924,314425.0,339417.3394566512,104.87054,186.47
2024,2,3.64,4.51,0.27,10.825,105.88,5915624.0,6351495.728033628,572878.0,615088.4792009176,3646778.0,3915477.874876263,239629.0,257285.21113122985,320086.0,343670.3992010601,105.27083,189.63
2024,3,3.6550000000000002,4.485,0.335,10.43,106.01,6040221.0,6442049.254909202,583624.0,622449.8332672146,3704064.0,3950478.4231133265,247652.0,264127.15396949445,326180.0,347879.262359156,106.53112,
2024,4,3.72,4.4350000000000005,0.18,10.4,106.43,6134688.0,6519336.056901,600831.0,638503.4092041657,3790764.0,4028446.830287419,251120.0,266865.3516868306,334582.0,355560.4615247019,107.075,191.19
2024,5,3.725,4.4,0.5,10.575,106.56,6274641.0,6601882.683934143,612725.0,644680.4793315742,3877157.0,4079362.574080979,259653.0,273194.696641856,343579.0,361497.6937586403,108.15165,191.19
2024,6,3.6,4.175,0.455,11.405,107.26,6462746.0,6738342.3648446305,627924.0,654701.0962681653,3965534.0,4134639.633281547,268409.0,279854.99287850433,355097.0,370239.70286457706,106.90886,
2025,1,3.815,4.475,0.735,12.695,106.24,6518695.0,6698075.149206426,641667.0,659324.2645599832,4040708.0,4151899.397041831,269139.0,276545.1133366829,355103.0,364874.6535477806,109.04864,194.02
2025,2,4.02,4.68,0.495,13.86,108.55,6630471.0,6745979.340235858,652801.0,664173.33840768,4116655.0,4188370.566869027,273049.0,277805.74153360457,359463.0,365725.1455559043,110.40313,194.59
2025,3,4.265000000000001,4.95,0.25,14.645,111.17,6703448.0,6786254.044054836,662108.0,670286.8572413868,4155742.0,4207076.858588078,281563.0,285041.07847278175,362066.0,366538.5122275519,108.8466,
2025,4,4.665,5.3,0.07500000000000001,14.9,109.17,6772151.0,6845556.958168127,676266.0,683596.3081556401,4226068.0,4271875.981957824,286098.0,289199.1266316987,369021.0,373020.961029983,108.69252,194.64
2025,5,4.8100000000000005,5.3149999999999995,0.285,14.9,110.04,6919371.0,6954700.89316374,690199.0,693723.11468206,4321868.0,4343935.1986959195,292166.0,293657.78206604,377076.0,379001.32743144,108.60643,194.92
2025,6,4.965,5.3149999999999995,0.255,14.9,108.68,7130222.0,7130222.0,707617.0,707617.0,4428977.0,4428977.0,303329.0,303329.0,386092.0,386092.0,109.05574,
