exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2022,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,88873821522.45,7153262,Passivo Não Circulante,Maranhão
2022,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-67987946286.63,7153262,Patrimônio Líquido,Maranhão
2023,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,32222167134.09,7153262,Ativo Total,Maranhão
2023,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,8458272212.14,7153262,Ativo Circulante,Maranhão
2023,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,23763894921.95,7153262,Ativo Não Circulante,Maranhão
2023,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,32222167134.09,7153262,Passivo Total,Maranhão
2023,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,4918538240.46,7153262,Passivo Circulante,Maranhão
2023,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,63672582606.06,7153262,Passivo Não Circulante,Maranhão
2023,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-36368953712.43,7153262,Patrimônio Líquido,Maranhão
2024,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,34860268661.8,6800605,Ativo Total,Maranhão
2024,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,8822623917.22,6800605,Ativo Circulante,Maranhão
2024,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,26037644744.58,6800605,Ativo Não Circulante,Maranhão
2024,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,34860268661.8,6800605,Passivo Total,Maranhão
2024,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3879480966.94,6800605,Passivo Circulante,Maranhão
2024,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,62416182021.63,6800605,Passivo Não Circulante,Maranhão
2024,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-31435394326.77,6800605,Patrimônio Líquido,Maranhão
