ano,elemento,cod,regiao,empenhado,pago
2024,equip,13,SERTÃO DOS INHAMUNS,4368454.41,2592926.67
2024,equip,14,VALE DO JAGUARIBE,18237365.59,15299433.87
2024,equip,15,ESTADO DO CEARÁ,79540094.58,44033485.42
2025,equip,01,CARIRI,56153475.89,24655367.6
2025,equip,02,CENTRO SUL,16621335.49,7050466.16
2025,equip,03,GRANDE FORTALEZA,371766943.95,186383643.25
2025,equip,04,LITORAL LESTE,3109619.98,1138245.41
2025,equip,05,LITORAL NORTE,9239138.25,2499237.61
2025,equip,06,LITORAL OESTE / VALE DO CURU,8391763.07,2202120.14
2025,equip,07,MACIÇO DO BATURITÉ,4125035.13,602968.98
2025,equip,08,SERRA DA IBIAPABA,7830679.75,1545421.45
2025,equip,09,SERTÃO CENTRAL,9334255.61,2674577.57
2025,equip,10,SERTÃO DE CANINDÉ,7650720.61,2713654.56
2025,equip,11,SERTÃO DE SOBRAL,13089616.64,4227608.44
2025,equip,12,SERTÃO DOS CRATEÚS,11408547.23,4090436.67
2025,equip,13,SERTÃO DOS INHAMUNS,6055368.86,1407539.64
2025,equip,14,VALE DO JAGUARIBE,9525009.12,7247992.48
2025,equip,15,ESTADO DO CEARÁ,35527274.36,14585997.33
2015,obras,01,REGIÃO METROPOLITANA DE FORTALEZA,468767238.31,452178869.49
2015,obras,02,LITORAL OESTE,111895794.94,105952257.13
2015,obras,03,SOBRAL / IBIAPABA,178542132.25,172644438.01
2015,obras,04,SERTÃO DE INHAMUNS,37968510.96,32599819.35
2015,obras,05,SERTÃO CENTRAL,104168953.89,92317723.39
2015,obras,06,BATURITÉ,13050784.37,10529377.04
2015,obras,07,LITORAL LESTE / JAGUARIBE,222047642.87,217027529.38
2015,obras,08,CARIRI / CENTRO SUL,324049450.44,309733147.4
2015,obras,22,ESTADO DO CEARÁ,5835756.78,3299115.46
2016,obras,01,CARIRI,258145445.29,202126992.6
2016,obras,02,CENTRO SUL,50095735.77,49126717.33
2016,obras,03,GRANDE FORTALEZA,363943369.7,352993876.87
2016,obras,04,LITORAL LESTE,29780978.43,28433125.31
2016,obras,05,LITORAL NORTE,25309323.91,24163017.94
2016,obras,06,LITORAL OESTE / VALE DO CURU,60529907.17,58199524.59
2016,obras,07,MACIÇO DO BATURITÉ,53373742.61,50336453.92
2016,obras,08,SERRA DA IBIAPABA,52066648.22,51266312.01
2016,obras,09,SERTÃO CENTRAL,95342282.98,94056926.95
2016,obras,10,SERTÃO DE CANINDÉ,17187403.89,16757312.85
2016,obras,11,SERTÃO DE SOBRAL,22648345.82,20636229.42
2016,obras,12,SERTÃO DOS CRATEÚS,27540700.34,26990427.24
2016,obras,13,SERTÃO DOS INHAMUNS,14545345.79,14337643.7
2016,obras,14,VALE DO JAGUARIBE,73999041.17,72707059.34
2016,obras,15,ESTADO DO CEARÁ,6346690.45,2087706.67
2017,obras,01,CARIRI,340706712.11,296586284.1
2017,obras,02,CENTRO SUL,78002311.26,73954446.96
2017,obras,03,GRANDE FORTALEZA,432611404.57,406553922.91
2017,obras,04,LITORAL LESTE,64705022.96,55446784.13
2017,obras,05,LITORAL NORTE,29652902.3,24855676.68
2017,obras,06,LITORAL OESTE / VALE DO CURU,27465873.35,25431796.68
2017,obras,07,MACIÇO DO BATURITÉ,54821669.65,51248319.55
2017,obras,08,SERRA DA IBIAPABA,30586232.27,27015106.73
2017,obras,09,SERTÃO CENTRAL,66331437.85,61036161.98
2017,obras,10,SERTÃO DE CANINDÉ,14180914.37,12492749.22
2017,obras,11,SERTÃO DE SOBRAL,72011767.97,69733847.52
2017,obras,12,SERTÃO DOS CRATEÚS,65938168.85,61332310.8
2017,obras,13,SERTÃO DOS INHAMUNS,4897543.65,3830778.91
2017,obras,14,VALE DO JAGUARIBE,29249347.47,26012479.08
2017,obras,15,ESTADO DO CEARÁ,6209883.56,3583146.82
2018,obras,01,CARIRI,352716985.5,343386481.82
2018,obras,02,CENTRO SUL,41955442.57,41026091.17
2018,obras,03,GRANDE FORTALEZA,510855499.08,458336522.6
2018,obras,04,LITORAL LESTE,57857267.53,56076926.51
2018,obras,05,LITORAL NORTE,39410913.96,39038387.07
2018,obras,06,LITORAL OESTE / VALE DO CURU,37765130.21,37550422.65
2018,obras,07,MACIÇO DO BATURITÉ,33592650.58,33323692.73
2018,obras,08,SERRA DA IBIAPABA,69061780.9,59384550.05
2018,obras,09,SERTÃO CENTRAL,25053003.08,24602096.32
2018,obras,10,SERTÃO DE CANINDÉ,20191403.18,19269194.75
2018,obras,11,SERTÃO DE SOBRAL,81907538.12,81287210.91
2018,obras,12,SERTÃO DOS CRATEÚS,44561753.68,43767657.92
2018,obras,13,SERTÃO DOS INHAMUNS,14624233.7,14479830.74
2018,obras,14,VALE DO JAGUARIBE,77347167.43,77048512.19
2018,obras,15,ESTADO DO CEARÁ,30712835.56,9909552.21
2019,obras,01,CARIRI,257035725.53,172385582.67
2019,obras,02,CENTRO SUL,29518178.4,27168646.93
2019,obras,03,GRANDE FORTALEZA,586619958.08,417719605.75
2019,obras,04,LITORAL LESTE,51381820.78,46090303.36
2019,obras,05,LITORAL NORTE,16949945.32,14219757.22
2019,obras,06,LITORAL OESTE / VALE DO CURU,21436371.7,20494358.38
2019,obras,07,MACIÇO DO BATURITÉ,12539552.94,10149253.26
2019,obras,08,SERRA DA IBIAPABA,14650645.48,11955786.03
2019,obras,09,SERTÃO CENTRAL,19220042.19,17316010.82
2019,obras,10,SERTÃO DE CANINDÉ,8584298.08,5321201.23
2019,obras,11,SERTÃO DE SOBRAL,37547867.48,34535996.97
2019,obras,12,SERTÃO DOS CRATEÚS,47901033.82,43572071.15
2019,obras,13,SERTÃO DOS INHAMUNS,30487169.34,27770482.04
2019,obras,14,VALE DO JAGUARIBE,109981993.26,103201710.16
2019,obras,15,ESTADO DO CEARÁ,17876741.89,4830440.85
2020,obras,01,CARIRI,410420941.33,227222127.03
2020,obras,02,CENTRO SUL,13248440.99,12537414.12
2020,obras,03,GRANDE FORTALEZA,583701077.84,319606598.03
2020,obras,04,LITORAL LESTE,29386471.33,28093468.3
2020,obras,05,LITORAL NORTE,41906444.91,28164268.35
2020,obras,06,LITORAL OESTE / VALE DO CURU,25659901.79,23102994.64
2020,obras,07,MACIÇO DO BATURITÉ,15168995.78,13916409.6
2020,obras,08,SERRA DA IBIAPABA,4527244.17,2713012.83
2020,obras,09,SERTÃO CENTRAL,25357670.6,23485707.16
2020,obras,10,SERTÃO DE CANINDÉ,27514631.15,26791060.64
2020,obras,11,SERTÃO DE SOBRAL,42488930.79,13590707.44
2020,obras,12,SERTÃO DOS CRATEÚS,29675398.81,21006333.85
2020,obras,13,SERTÃO DOS INHAMUNS,15365649.25,14910006.23
2020,obras,14,VALE DO JAGUARIBE,68877255.18,59955532.7
2020,obras,15,ESTADO DO CEARÁ,13028362.15,2747660.84
2021,obras,01,CARIRI,329460562.94,216471722.96
2021,obras,02,CENTRO SUL,19680287.11,5636768.23
2021,obras,03,GRANDE FORTALEZA,725657935.79,463870956.29
2021,obras,04,LITORAL LESTE,30961312.89,24503763.62
2021,obras,05,LITORAL NORTE,45369419.93,35221906.39
2021,obras,06,LITORAL OESTE / VALE DO CURU,27163412.15,19861405.59
2021,obras,07,MACIÇO DO BATURITÉ,6489604.93,5385156.17
2021,obras,08,SERRA DA IBIAPABA,19969599.07,14326243.18
2021,obras,09,SERTÃO CENTRAL,28827772.55,25167309.95
2021,obras,10,SERTÃO DE CANINDÉ,20478095.01,18346873.86
2021,obras,11,SERTÃO DE SOBRAL,50523628.83,29459613.09
2021,obras,12,SERTÃO DOS CRATEÚS,65084794.82,42288953.41
2021,obras,13,SERTÃO DOS INHAMUNS,12485653.7,9904937.28
2021,obras,14,VALE DO JAGUARIBE,45199292.15,29290420.31
2021,obras,15,ESTADO DO CEARÁ,17784040.97,10340598.46
2022,obras,01,CARIRI,314542897.42,302258459.77
2022,obras,02,CENTRO SUL,20208799.65,18413160.61
2022,obras,03,GRANDE FORTALEZA,600119912.51,572243702.46
2022,obras,04,LITORAL LESTE,12734085.49,11106869.64
2022,obras,05,LITORAL NORTE,15508186.89,14043379.43
2022,obras,06,LITORAL OESTE / VALE DO CURU,58893826.73,57322826.22
2022,obras,07,MACIÇO DO BATURITÉ,14029895.48,11037661.93
2022,obras,08,SERRA DA IBIAPABA,12435758.92,11987814.57
2022,obras,09,SERTÃO CENTRAL,103219382.25,101583930.35
2022,obras,10,SERTÃO DE CANINDÉ,18012131.48,16307399.27
2022,obras,11,SERTÃO DE SOBRAL,61642785.21,58858980.66
2022,obras,12,SERTÃO DOS CRATEÚS,59735576.3,55236002.06
2022,obras,13,SERTÃO DOS INHAMUNS,16616730.51,16217367.77
2022,obras,14,VALE DO JAGUARIBE,55253076.67,49445904.36
2022,obras,15,ESTADO DO CEARÁ,21745391.99,18747329.31
2023,obras,01,CARIRI,253249042.72,238254734.5
2023,obras,02,CENTRO SUL,17538394.14,12532981.14
2023,obras,03,GRANDE FORTALEZA,602949972.89,526501539.71
