cod_ibge,regiao_codigo,regiao_nome,ano,mes,fpm_dest,fundeb_dest,itr_dest,outros_dest,royalties_dest,total
2306900,14,Vale do Jaguaribe,2015,2,1599743.82,2817194.19,293.13,233.48,18495.24,4435959.86
2307007,4,Litoral Leste,2015,2,1599743.82,2223274.55,58.27,229.12,82983.17,3906288.93
2307106,1,Cariri,2015,2,1399775.84,2687315.42,95.76,194.82,16183.34,4103565.1799999992
2307205,1,Cariri,2015,2,599903.95,703181.99,5.39,72.41,6935.72,1310099.4599999995
2307254,5,Litoral Norte,2015,2,1199808.02,1674532.8199999998,0.0,152.87,15613.51,2890107.2199999997
2307304,1,Cariri,2015,2,6519248.300000001,13055723.57,30.23,1316.26,89161.13,19665479.49
2307403,2,Centro Sul,2015,2,1399775.84,1910063.19,86.88,186.98,19513.55,3329626.44
2307502,1,Cariri,2015,2,1599743.82,2395195.84,4.95,224.1,18495.24,4013663.9500000007
2307601,14,Vale do Jaguaribe,2015,2,2199647.7199999997,3410611.1599999997,65.71,349.01,25644.6,5636318.199999998
2307635,10,Sertão de Canindé,2015,2,1199807.85,1687155.56,12.52,154.91,13871.43,2901002.2700000005
2307650,3,Grande Fortaleza,2015,2,6519248.300000001,14682668.37,62.44,1190.98,81042.28,21284212.370000005
2307700,3,Grande Fortaleza,2015,2,3399455.56,6753122.82,254.61,631.07,39302.39,10192766.45
2307809,5,Litoral Norte,2015,2,1399775.84,2775414.75,4.95,191.58,18327.96,4193715.08
2307908,5,Litoral Norte,2015,2,799871.91,1130547.81,4.95,97.54,10771.95,1941294.16
2308005,11,Sertão de Sobral,2015,2,1599743.82,3078236.0500000003,0.0,239.75,26189.570000000003,4704409.19
2308104,1,Cariri,2015,2,1999679.76,3702157.0,30.4,298.46,23119.05,5725284.67
2308203,11,Sertão de Sobral,2015,2,999839.88,1296223.76,214.83,124.84,13241.72,2309645.0300000003
2308302,1,Cariri,2015,2,1399775.84,2029930.64,38.51,198.92,17342.12,3447286.0299999993
2308351,9,Sertão Central,2015,2,799871.91,1029733.38,19.8,104.8,9247.62,1838977.51
2308377,6,Litoral Oeste / Vale do Curu,2015,2,799871.91,1356087.07,0.0,104.95,10844.53,2166908.46
2308401,1,Cariri,2015,2,1599743.82,2834330.4,69.75,234.56,23733.88,4458112.409999999
2308500,9,Sertão Central,2015,2,1799711.7799999998,3413480.88,78.47,275.59,20807.15,5234353.87
2308609,12,Sertão dos Crateús,2015,2,1199807.85,1706568.18,109.6,149.03,15613.52,2922248.18
2308708,14,Vale do Jaguaribe,2015,2,2399615.7,4722155.65,162.64,379.87,27882.01,7150195.87
2308807,11,Sertão de Sobral,2015,2,599903.95,834645.44,0.0,74.23,8387.460000000001,1443011.0799999998
2308906,5,Litoral Norte,2015,2,1199807.85,1823958.44,28.56,162.25,15758.69,3039715.79
2309003,11,Sertão de Sobral,2015,2,999839.88,1297565.28,0.0,124.72,13229.03,2310758.91
2309102,7,Maciço do Baturité,2015,2,799871.91,835175.71,2423.09,101.88,9247.62,1646820.2100000002
2309201,1,Cariri,2015,2,999839.88,1202411.92,0.0,126.37,13495.490000000002,2215873.66
2309300,12,Sertão dos Crateús,2015,2,1599743.82,2314871.67,86.97,224.84,20527.68,3935454.98
2309409,12,Sertão dos Crateús,2015,2,1399775.84,2464263.4,52.66,197.73,18143.19,3882432.82
2309458,7,Maciço do Baturité,2015,2,1399775.84,2082680.83,28.01,188.36,16183.34,3498856.3799999994
2309508,2,Centro Sul,2015,2,1199807.85,1747391.4400000002,39.31,162.09,13883.13,2961283.82
2309607,3,Grande Fortaleza,2015,2,2399615.7,4894886.7,72.04,392.07,27742.86,7322709.370000001
2309706,3,Grande Fortaleza,2015,2,2599583.67,4187858.25,0.0,441.12,30684.85,6818567.89
2309805,7,Maciço do Baturité,2015,2,799871.91,994385.94,0.0,100.9,10780.95,1805139.7
2309904,11,Sertão de Sobral,2015,2,599903.95,614304.02,0.0,67.7,8387.460000000001,1222663.13
2310001,14,Vale do Jaguaribe,2015,2,599903.95,713711.52,0.0,76.35,6935.72,1320627.54
2310100,7,Maciço do Baturité,2015,2,799871.91,904519.66,0.0,103.11,9247.62,1713742.3
2310209,3,Grande Fortaleza,2015,2,1599743.82,2890297.29,614.0,228.39,135565.12,4626448.62
2310258,3,Grande Fortaleza,2015,2,1599743.82,2599322.16,0.0,224.04,22756.550000000003,4222046.57
2310308,13,Sertão dos Inhamuns,2015,2,1599743.82,2841723.35,9.97,224.18,18495.24,4460196.56
2310407,10,Sertão de Canindé,2015,2,799871.91,1237265.94,0.0,99.92,12097.07,2049334.84
2310506,9,Sertão Central,2015,2,1799711.7799999998,3441949.45,101.46,273.14,20807.15,5262842.98
2310605,1,Cariri,2015,2,599903.95,894895.81,0.0,75.02,6935.72,1501810.5
2310704,6,Litoral Oeste / Vale do Curu,2015,2,1599743.82,2835853.56,313.0,238.56,20891.03,4457039.97
2310803,14,Vale do Jaguaribe,2015,2,999839.88,1558781.53,75.95,129.71,11559.53,2570386.6
2310852,3,Grande Fortaleza,2015,2,1199807.85,1780623.04,5.68,156.97,13871.43,2994464.9700000007
2310902,9,Sertão Central,2015,2,999839.88,1090856.91,22.84,130.02,11559.53,2102409.18
2310951,11,Sertão de Sobral,2015,2,799871.91,960391.74,21.14,97.14,10771.95,1771153.8799999997
2311009,12,Sertão dos Crateús,2015,2,799871.91,1137323.9,13.9,101.9,10844.53,1948156.14
2311108,1,Cariri,2015,2,999839.88,1557068.49,0.0,126.95,11559.53,2568594.85
2311207,1,Cariri,2015,2,799871.91,890073.15,5.35,97.41,9247.62,1699295.4400000002
2311231,14,Vale do Jaguaribe,2015,2,599903.95,611530.7999999999,88.47,68.12,6935.72,1218527.06
2311264,13,Sertão dos Inhamuns,2015,2,1199807.85,1707606.51,191.07,159.2,15914.97,2923679.600000001
2311306,9,Sertão Central,2015,2,2799551.65,5345235.25,243.7,475.89,32607.96,8178114.45
2311355,2,Centro Sul,2015,2,999839.88,1378869.3,0.0,126.77,11559.53,2390395.48
2311405,9,Sertão Central,2015,2,2599583.67,6222604.18,211.68,434.89,30054.77,8852889.19
2311504,14,Vale do Jaguaribe,2015,2,1199807.85,1543171.77,33.05,161.33,14217.39,2757391.39
2311603,7,Maciço do Baturité,2015,2,1399775.84,2273930.1,44.76,194.88,16183.34,3690128.919999999
2311702,11,Sertão de Sobral,2015,2,1199807.85,1644436.13,0.0,155.67,15686.1,2860085.75
2311801,14,Vale do Jaguaribe,2015,2,2599583.67,5166604.3,46.56,428.74,37811.55,7804474.819999999
2311900,2,Centro Sul,2015,2,999839.88,1447038.1,0.0,129.05,11559.53,2458566.5599999996
2311959,1,Cariri,2015,2,999839.88,1928288.13,61.83,129.46,11559.53,2939878.8299999996
