ano,mes,indice,indice_dessaz,fbcf_r$_2010_milhoes
2004,9,114.78842933207,111.820407287119,44493.61876534988
2004,10,108.518431835357,109.776433829703,42063.27905339684
2004,11,116.750517446647,115.538607067216,45254.15187014098
2004,12,102.004475517993,102.017848403081,39538.37745202992
2005,1,103.157470737222,108.344849060075,39985.29499402446
2005,2,99.1046769361709,106.305305475979,38414.374783138475
2005,3,111.542157026608,107.806975763948,43235.31801530894
2005,4,107.556515898574,108.151027120117,41690.42713047212
2005,5,112.683566529939,112.106219848975,43677.744485961106
2005,6,115.204208971486,117.140837030909,44654.78115504015
2005,7,111.324765416783,110.394893493848,43151.053951970076
2005,8,119.520557830137,112.635726540248,46327.859034682326
2005,9,115.364175053077,111.644457565904,44716.78627125465
2005,10,110.422207379439,109.525990458391,42801.209688491
2005,11,113.981686202377,111.541488101578,44180.914035088594
2005,12,111.296934418185,113.99396124003,43140.26626319711
2006,1,110.216062126013,116.072666085182,42721.304871114386
2006,2,107.44196606814,118.351809576287,41646.02599484089
2006,3,123.754683405844,118.558005038531,47969.066005684144
2006,4,109.069743735678,115.971749738857,42276.97564642411
2006,5,121.276107040907,117.141194397946,47008.33474301439
2006,6,117.190674423414,116.983723763199,45424.76326517695
2006,7,120.901133537506,118.438043311004,46862.98970846699
2006,8,125.257033804567,116.08170447582,48551.398273495564
2006,9,119.977280857924,117.509924813176,46504.89134041521
2006,10,123.68566548822,119.490766467427,47942.313684438865
2006,11,123.615438610159,120.693720241877,47915.092753025434
2006,12,117.438811301623,123.139494690697,45520.94462948312
2007,1,119.84848782416,124.901806072468,46454.9693617104
2007,2,115.744111247705,127.991386956571,44864.054936591536
2007,3,130.402159328134,127.657743870962,50545.72173807734
2007,4,123.518979175872,130.681596399324,47877.703735600684
2007,5,136.108917375157,131.436071483353,52757.74188987192
2007,6,131.124218148971,132.470059317324,50825.60195190658
2007,7,138.415014566896,132.896865140917,53651.61778544884
2007,8,146.492329455076,134.564325878978,56782.49930483709
2007,9,133.327035678033,132.718255980104,51679.44518914587
2007,10,144.094696202721,136.532724274351,55853.14273721658
2007,11,139.121231753003,136.194193243163,53925.35755754717
2007,12,131.330646544277,139.080572382486,50905.616518243005
2008,1,136.784120607601,142.790722071602,53019.46020297058
2008,2,132.714939655385,140.746442791024,51442.188100066014
2008,3,140.51629773701,144.632263237373,54466.10485663472
2008,4,143.708931692705,147.177263146103,55703.61494336636
2008,5,148.489033917833,147.386997867516,57556.450188901596
2008,6,151.835508089457,155.269310986383,58853.59091967168
2008,7,164.210630715966,156.178733129626,63650.36351789837
2008,8,166.978137963527,157.673366533321,64723.08847838138
2008,9,162.134688220505,156.640399037053,62845.698838746765
2008,10,169.004939343419,159.376103503717,65508.70536594969
2008,11,142.058970051849,143.138153585688,55064.066469718964
2008,12,126.396245104733,130.893621310596,48992.97270302376
2009,1,121.504776882963,129.361570389625,47096.97042013203
2009,2,115.456100819815,127.606255360496,44752.41800881868
2009,3,134.143156097221,131.440787349878,51995.78499583931
2009,4,128.868117878334,135.411330095226,49951.1055574392
2009,5,137.642428107213,137.205790831343,53352.15233031319
2009,6,140.727385014454,140.889577673431,54547.925269739775
2009,7,152.468711110381,144.874985039172,59099.02936637662
2009,8,158.966651623194,149.938936282899,61617.72303402157
2009,9,162.868043166424,157.09548387793,63129.957588271594
2009,10,169.008415419949,160.400708445098,65510.05274018011
2009,11,166.073682961616,163.536785937148,64372.50892234119
2009,12,159.018884118434,164.684985017756,61637.96908809775
2010,1,152.772490016812,165.174105513593,59216.77837473144
2010,2,151.015439070428,167.070107447292,58535.72057123761
2010,3,174.938368712755,168.986974239115,67808.58653387314
2010,4,160.469555480491,168.509533018277,62200.2698374177
2010,5,169.889792482091,169.176816938204,65851.68696559178
2010,6,170.234287637413,170.72657444352,65985.21816130396
2010,7,175.520878726869,170.147893214449,68034.37565600536
2010,8,184.769257811686,172.182427194928,71619.17822439213
2010,9,186.389608261444,179.523690590625,72247.24898151704
2010,10,179.113722155195,172.294260587851,69427.01259611727
2010,11,182.972810008223,177.419776883854,70922.84964175442
2010,12,170.52286403658,177.034145028294,66097.07445605814
2011,1,163.612762311812,175.923603434803,63418.62127249175
2011,2,173.254421291975,180.839124013479,67155.864692025
2011,3,181.248911096214,183.881174251718,70254.6420367629
2011,4,170.536827650156,180.814414589242,66102.48695114562
2011,5,189.717549448864,186.105144587857,73537.20606655946
2011,6,181.04838430098,182.253474522901,70176.91501411356
2011,7,187.985387967142,186.822101628044,72865.79577166589
2011,8,199.247621615334,184.397573909043,77231.19685850664
2011,9,190.937217117521,183.218515662915,74009.9665093509
2011,10,191.330348848326,182.535592307174,74162.34992977507
2011,11,192.479909072431,185.389069180577,74607.93573526069
2011,12,177.896033279241,188.25450981225,68955.01916234243
2012,1,177.338302125787,188.640403910876,68738.83470055088
2012,2,172.508892835196,184.593642659616,66866.88733809236
2012,3,184.548004039013,181.267451229506,71533.4171574302
2012,4,174.404161458692,184.566885506821,67601.52026883523
2012,5,192.654158586223,186.084787560779,74675.47733731483
2012,6,180.265459955084,183.869729432401,69873.44248555016
2012,7,187.179390963568,183.057129762338,72553.37995549443
2012,8,198.302634182691,183.945168043299,76864.90638722369
2012,9,184.100752253734,182.065235494365,71360.05603820614
2012,10,199.855318920705,186.536653240568,77466.74895743567
2012,11,189.651265477134,184.394304807506,73511.51348644476
2012,12,175.614638902157,189.625081851928,68070.71845048957
2013,1,184.108645908119,186.921662173881,71363.11572268505
2013,2,176.039418265797,190.121077802371,68235.36893387267
2013,3,190.035560626085,190.491604423748,73660.47171490594
2013,4,203.735872788309,204.507850576186,78970.90652608602
2013,5,198.605043793753,194.619079327227,76982.12462241302
2013,6,191.441989617935,201.720598296588,74205.62348877333
2013,7,199.835489753009,195.140817557842,77459.0628832306
2013,8,206.49418142742,196.630279323145,80040.06597615332
2013,9,205.106780019564,200.290594719015,79502.28956302357
2013,10,214.545679208069,199.607953314673,83160.94041975847
2013,11,199.581425544712,197.403799551559,77360.58400187084
2013,12,176.048317047224,189.117670033769,68238.81822744405
2014,1,194.192456441875,198.185704180459,75271.74331053492
2014,2,189.39324324255,195.495214769176,73411.50038116939
2014,3,189.496428315571,194.877071450365,73451.49637520657
2014,4,188.962231174977,193.85529754987,73244.43400635473
2014,5,191.173530881268,188.50683954214,74101.56505523466
2014,6,175.668601543751,180.154550707988,68091.63509953173
2014,7,183.369056161113,178.788843471158,71076.44024568831
2014,8,186.926889982195,181.6254839891,72455.50696655335
2014,9,195.604337556693,188.71217443974,75819.00840417866
2014,10,199.756338789871,185.548717723922,77428.38281951463
2014,11,185.762916449052,186.546147135493,72004.33435865537
2014,12,166.193532261073,176.049296340587,64418.96420405466
2015,1,173.702197845136,179.315555457278,67329.42920309547
2015,2,163.297710118587,177.380695592517,63296.502570792785
2015,3,182.006918236277,174.947717850204,70548.45631134968
2015,4,165.32056422138,169.870819921311,64080.589437808834
2015,5,164.711455877256,165.65302529993,63844.49042673428
2015,6,157.658006201358,159.13837817876,61110.47354909885
2015,7,165.615327016869,161.383059791338,64194.843667270434
2015,8,160.521992571186,155.5272648469,62220.595182089826
2015,9,155.324001411939,149.855983261762,60205.780274181416
2015,10,161.904521946906,152.687792169968,62756.4831263905
2015,11,153.492368308821,151.809458843546,59495.81337179151
2015,12,129.636433044273,137.477441186487,50248.91537974638
