ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,SE,1,6.0,4546,4888,-342,945.1093844822284,9434,Sergipe
2015,SE,1,7.0,22779,23023,-244,1038.781297193908,45802,Sergipe
2015,SE,1,8.0,1086,1110,-24,1258.499841761242,2196,Sergipe
2015,SE,1,9.0,1739,1885,-146,2811.4022135434825,3624,Sergipe
2015,SE,2,1.0,45,65,-20,855.0280758714969,110,Sergipe
2015,SE,2,2.0,663,656,7,844.3047224545779,1319,Sergipe
2015,SE,2,3.0,223,294,-71,961.656562093737,517,Sergipe
2015,SE,2,4.0,590,797,-207,848.1614238923262,1387,Sergipe
2015,SE,2,5.0,863,1080,-217,827.9653641502607,1943,Sergipe
2015,SE,2,6.0,1749,1952,-203,708.2916343843156,3701,Sergipe
2015,SE,2,7.0,14661,14882,-221,871.0841830303623,29543,Sergipe
2015,SE,2,8.0,1202,1351,-149,1048.6949692462204,2553,Sergipe
2015,SE,2,9.0,2534,2566,-32,1740.8753467959182,5100,Sergipe
2016,AL,1,1.0,4638,4340,298,949.6519501412048,8978,Alagoas
2016,AL,1,2.0,15140,14521,619,1018.1192622923394,29661,Alagoas
2016,AL,1,3.0,4351,3794,557,1052.7783021060154,8145,Alagoas
2016,AL,1,4.0,9641,7474,2167,1067.4425749061488,17115,Alagoas
2016,AL,1,5.0,4968,5914,-946,1103.1855077190314,10882,Alagoas
2016,AL,1,6.0,4214,4782,-568,1082.0235934653665,8996,Alagoas
2016,AL,1,7.0,24959,25928,-969,1149.3812935607416,50887,Alagoas
2016,AL,1,8.0,1260,1344,-84,1384.3578069180528,2604,Alagoas
2016,AL,1,9.0,1907,2165,-258,2831.4019171095165,4072,Alagoas
2016,AL,2,1.0,108,118,-10,892.6942425901225,226,Alagoas
2016,AL,2,2.0,483,464,19,948.8775315388864,947,Alagoas
2016,AL,2,3.0,258,314,-56,933.9114486657476,572,Alagoas
2016,AL,2,4.0,650,607,43,895.2543909356149,1257,Alagoas
2016,AL,2,5.0,1171,1390,-219,938.5466510990724,2561,Alagoas
2016,AL,2,6.0,1178,1521,-343,808.8672394050275,2699,Alagoas
2016,AL,2,7.0,14168,14455,-287,975.8884694530298,28623,Alagoas
2016,AL,2,8.0,1356,1302,54,1191.6409547223589,2658,Alagoas
2016,AL,2,9.0,2728,2709,19,1879.2403144978111,5437,Alagoas
2016,BA,1,1.0,2415,3038,-623,978.5894767245944,5453,Bahia
2016,BA,1,2.0,15412,20916,-5504,1151.515526580611,36328,Bahia
2016,BA,1,3.0,9781,12977,-3196,1144.6090986667264,22758,Bahia
2016,BA,1,4.0,21877,27158,-5281,1199.9629077415402,49035,Bahia
2016,BA,1,5.0,23629,30303,-6674,1243.9701175574394,53932,Bahia
2016,BA,1,6.0,24788,28417,-3629,1102.8853838959976,53205,Bahia
2016,BA,1,7.0,177643,190941,-13298,1288.699365831891,368584,Bahia
2016,BA,1,8.0,5499,5938,-439,1620.9584567007194,11437,Bahia
2016,BA,1,9.0,13465,14778,-1313,3488.875005894064,28243,Bahia
2016,BA,2,1.0,438,621,-183,819.3285941697444,1059,Bahia
2016,BA,2,2.0,2848,4508,-1660,884.3648154653744,7356,Bahia
2016,BA,2,3.0,1715,2689,-974,886.1988037349818,4404,Bahia
2016,BA,2,4.0,4135,5800,-1665,914.1876284335729,9935,Bahia
2016,BA,2,5.0,5619,7520,-1901,960.6442762312364,13139,Bahia
2016,BA,2,6.0,9430,10819,-1389,871.7994344544155,20249,Bahia
2016,BA,2,7.0,99866,109317,-9451,1024.806031609417,209183,Bahia
2016,BA,2,8.0,6495,7172,-677,1252.4330858833368,13667,Bahia
2016,BA,2,9.0,18388,19080,-692,2341.3204327946833,37468,Bahia
2016,CE,1,1.0,1612,1905,-293,992.3944244016128,3517,Ceará
2016,CE,1,2.0,9552,12489,-2937,1132.0565466594385,22041,Ceará
2016,CE,1,3.0,5028,6388,-1360,1124.5682490655013,11416,Ceará
2016,CE,1,4.0,15954,19362,-3408,1093.68004174664,35316,Ceará
2016,CE,1,5.0,26693,32093,-5400,1111.027804468477,58786,Ceará
2016,CE,1,6.0,16595,18357,-1762,1013.3995926916144,34952,Ceará
2016,CE,1,7.0,118630,123597,-4967,1144.194066539967,242227,Ceará
2016,CE,1,8.0,5367,5816,-449,1569.932801778287,11183,Ceará
2016,CE,1,9.0,9553,10611,-1058,3209.106392546174,20164,Ceará
2016,CE,2,1.0,136,127,9,888.0382418481471,263,Ceará
2016,CE,2,2.0,934,1102,-168,914.2452388668344,2036,Ceará
2016,CE,2,3.0,559,784,-225,910.4537719365256,1343,Ceará
2016,CE,2,4.0,2562,3307,-745,908.7342647999544,5869,Ceará
2016,CE,2,5.0,6358,7441,-1083,921.6654142874676,13799,Ceará
2016,CE,2,6.0,5691,6904,-1213,840.9466707698072,12595,Ceará
2016,CE,2,7.0,71805,75402,-3597,973.6536050237404,147207,Ceará
2016,CE,2,8.0,6131,6585,-454,1257.7780752402844,12716,Ceará
2016,CE,2,9.0,12445,12629,-184,2075.6962487038727,25074,Ceará
2016,MA,1,1.0,781,1135,-354,996.263335084878,1916,Maranhão
2016,MA,1,2.0,3644,5359,-1715,1095.9112315523428,9003,Maranhão
2016,MA,1,3.0,2285,3715,-1430,1184.8707740342545,6000,Maranhão
2016,MA,1,4.0,5355,7973,-2618,1179.291864977139,13328,Maranhão
2016,MA,1,5.0,9608,12251,-2643,1247.0356833843211,21859,Maranhão
2016,MA,1,6.0,4823,6500,-1677,1132.0593697087445,11323,Maranhão
2016,MA,1,7.0,47440,53006,-5566,1249.7541495433966,100446,Maranhão
2016,MA,1,8.0,1326,1251,75,1618.534428586256,2577,Maranhão
2016,MA,1,9.0,3480,3630,-150,3418.5316316915514,7110,Maranhão
2016,MA,2,1.0,32,44,-12,926.44012987013,76,Maranhão
2016,MA,2,2.0,181,273,-92,957.3914362312132,454,Maranhão
2016,MA,2,3.0,157,253,-96,1016.8249237630456,410,Maranhão
2016,MA,2,4.0,501,582,-81,949.6932697919112,1083,Maranhão
2016,MA,2,5.0,1064,1277,-213,971.9761847370436,2341,Maranhão
2016,MA,2,6.0,1203,1467,-264,883.030885426601,2670,Maranhão
2016,MA,2,7.0,23609,25306,-1697,1030.720156003135,48915,Maranhão
2016,MA,2,8.0,1443,1424,19,1288.488505860433,2867,Maranhão
2016,MA,2,9.0,5124,4741,383,2126.8221860395843,9865,Maranhão
2016,PB,1,1.0,1918,1960,-42,967.3388759471588,3878,Paraíba
2016,PB,1,2.0,6951,7039,-88,1056.349050843224,13990,Paraíba
2016,PB,1,3.0,3159,3577,-418,1045.633753020992,6736,Paraíba
2016,PB,1,4.0,5495,6535,-1040,1076.8566308458203,12030,Paraíba
2016,PB,1,5.0,6788,7848,-1060,1078.5361020792247,14636,Paraíba
2016,PB,1,6.0,5227,5976,-749,1006.065295112914,11203,Paraíba
2016,PB,1,7.0,35076,36079,-1003,1080.118022182486,71155,Paraíba
2016,PB,1,8.0,1705,1997,-292,1251.2382455855684,3702,Paraíba
2016,PB,1,9.0,2864,3011,-147,2357.1273304171814,5875,Paraíba
2016,PB,2,1.0,39,37,2,906.411636141636,76,Paraíba
2016,PB,2,2.0,201,205,-4,914.7615157281334,406,Paraíba
2016,PB,2,3.0,334,400,-66,911.4747412103336,734,Paraíba
2016,PB,2,4.0,572,726,-154,920.0597399846478,1298,Paraíba
2016,PB,2,5.0,1017,1278,-261,928.3732559703496,2295,Paraíba
2016,PB,2,6.0,1631,1797,-166,859.3038514654247,3428,Paraíba
2016,PB,2,7.0,19380,20861,-1481,980.2294751269834,40241,Paraíba
2016,PB,2,8.0,1785,2046,-261,1110.1613178007176,3831,Paraíba
2016,PB,2,9.0,3994,3829,165,1662.5979352242896,7823,Paraíba
2016,PE,1,1.0,4805,6079,-1274,925.3951037914036,10884,Pernambuco
2016,PE,1,2.0,20721,24934,-4213,1007.4832311258516,45655,Pernambuco
2016,PE,1,3.0,9768,10834,-1066,1052.975344510976,20602,Pernambuco
2016,PE,1,4.0,17120,21014,-3894,1107.481489901878,38134,Pernambuco
2016,PE,1,5.0,18114,22421,-4307,1163.873830214244,40535,Pernambuco
2016,PE,1,6.0,15213,18713,-3500,1072.9803353265834,33926,Pernambuco
2016,PE,1,7.0,113135,117594,-4459,1233.1097421112677,230729,Pernambuco
2016,PE,1,8.0,4388,5124,-736,1779.7107513639662,9512,Pernambuco
2016,PE,1,9.0,10368,11716,-1348,3303.5210683770993,22084,Pernambuco
2016,PE,2,1.0,297,336,-39,908.2267118547284,633,Pernambuco
2016,PE,2,2.0,2176,2541,-365,922.2203383830424,4717,Pernambuco
2016,PE,2,3.0,1407,1749,-342,970.390716648802,3156,Pernambuco
2016,PE,2,4.0,3680,4350,-670,935.0248068202123,8030,Pernambuco
2016,PE,2,5.0,4138,5343,-1205,965.5713053349416,9481,Pernambuco
2016,PE,2,6.0,5192,6741,-1549,853.8269522696248,11933,Pernambuco
2016,PE,2,7.0,66774,73752,-6978,1008.2614244948892,140526,Pernambuco
2016,PE,2,8.0,4708,5673,-965,1265.464736767981,10381,Pernambuco
2016,PE,2,9.0,13590,14803,-1213,2217.4875528293996,28393,Pernambuco
2016,PI,1,1.0,683,848,-165,1014.7851111181328,1531,Piauí
2016,PI,1,2.0,3710,5065,-1355,1095.7080226484206,8775,Piauí
2016,PI,1,3.0,2635,4002,-1367,1127.174856730148,6637,Piauí
2016,PI,1,4.0,4842,7257,-2415,1127.415049735458,12099,Piauí
2016,PI,1,5.0,7240,9280,-2040,1126.3409577748353,16520,Piauí
2016,PI,1,6.0,4548,5631,-1083,1057.343865790057,10179,Piauí
2016,PI,1,7.0,23491,24428,-937,1115.0483855350744,47919,Piauí
2016,PI,1,8.0,1228,1318,-90,1339.9561129578638,2546,Piauí
2016,PI,1,9.0,2375,2446,-71,2145.3636614642655,4821,Piauí
2016,PI,2,1.0,23,28,-5,927.281388888889,51,Piauí
2016,PI,2,2.0,152,231,-79,942.9380766555367,383,Piauí
2016,PI,2,3.0,182,262,-80,952.4631949595994,444,Piauí
2016,PI,2,4.0,473,546,-73,908.7547780807296,1019,Piauí
2016,PI,2,5.0,1154,1306,-152,937.124468188624,2460,Piauí
2016,PI,2,6.0,1386,1811,-425,870.1459733307804,3197,Piauí
2016,PI,2,7.0,14888,15865,-977,972.7680273653228,30753,Piauí
2016,PI,2,8.0,1352,1396,-44,1122.1437291652433,2748,Piauí
2016,PI,2,9.0,3097,3075,22,1597.993782472823,6172,Piauí
2016,RN,1,1.0,844,1058,-214,956.2804467041908,1902,Rio Grande do Norte
2016,RN,1,2.0,4987,6199,-1212,1026.6565993239794,11186,Rio Grande do Norte
2016,RN,1,3.0,2624,3113,-489,1067.327270796604,5737,Rio Grande do Norte
2016,RN,1,4.0,6025,6854,-829,1045.8833973456742,12879,Rio Grande do Norte
2016,RN,1,5.0,6954,8752,-1798,1069.5565729957582,15706,Rio Grande do Norte
2016,RN,1,6.0,6715,7775,-1060,1007.0671528159093,14490,Rio Grande do Norte
2016,RN,1,7.0,42325,44924,-2599,1109.4783698442438,87249,Rio Grande do Norte
2016,RN,1,8.0,1525,1572,-47,1306.827065842309,3097,Rio Grande do Norte
2016,RN,1,9.0,3467,3626,-159,2282.5155184304995,7093,Rio Grande do Norte
2016,RN,2,1.0,60,72,-12,900.0115329768271,132,Rio Grande do Norte
2016,RN,2,2.0,408,628,-220,889.3674743874651,1036,Rio Grande do Norte
2016,RN,2,3.0,283,411,-128,883.1439998625381,694,Rio Grande do Norte
2016,RN,2,4.0,1021,1276,-255,876.7826575395122,2297,Rio Grande do Norte
2016,RN,2,5.0,1312,1792,-480,909.450226213539,3104,Rio Grande do Norte
2016,RN,2,6.0,2521,2870,-349,840.626569453067,5391,Rio Grande do Norte
2016,RN,2,7.0,24632,26391,-1759,952.4450697784824,51023,Rio Grande do Norte
2016,RN,2,8.0,1699,1809,-110,1091.656150933909,3508,Rio Grande do Norte
2016,RN,2,9.0,4853,4936,-83,1608.09253863424,9789,Rio Grande do Norte
2016,SE,1,1.0,789,622,167,927.078646158008,1411,Sergipe
2016,SE,1,2.0,6211,5011,1200,1013.0211268003128,11222,Sergipe
2016,SE,1,3.0,1706,2193,-487,1083.8317614077855,3899,Sergipe
2016,SE,1,4.0,3860,5242,-1382,1131.959797879102,9102,Sergipe
2016,SE,1,5.0,3880,5156,-1276,1090.19576240452,9036,Sergipe
2016,SE,1,6.0,4013,5144,-1131,989.3157655029344,9157,Sergipe
