ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes,uf_nome
2021,AL,N,4402,1171.4292401321738,26604,Alagoas
2021,AL,O,4,3716.509722222222,54,Alagoas
2021,AL,P,527,1115.708605308394,6985,Alagoas
2021,AL,Q,1078,1371.5061911638743,8924,Alagoas
2021,AL,R,131,2096.2897542327705,1041,Alagoas
2021,AL,S,893,1262.659174132588,5231,Alagoas
2021,AL,T,4,1106.25,4,Alagoas
2021,BA,A,8618,1250.7078019320145,108984,Bahia
2021,BA,B,2132,2532.297975305399,8146,Bahia
2021,BA,C,17727,1412.9942339616955,147891,Bahia
2021,BA,D,741,2450.8527605011964,1583,Bahia
2021,BA,E,1855,1521.3741489878057,10697,Bahia
2021,BA,F,14968,1779.4262604205442,184674,Bahia
2021,BA,G,32853,1233.9262975087097,308025,Bahia
2021,BA,H,7642,1608.6219888213766,66900,Bahia
2021,BA,I,11832,1207.265937276153,74308,Bahia
2021,BA,J,3664,2411.353776162757,21872,Bahia
2021,BA,K,804,2572.409878639767,7146,Bahia
2021,BA,L,1148,1514.706104304829,5146,Bahia
2021,BA,M,4196,1738.1156243418209,43512,Bahia
2021,BA,N,18265,1259.0249490131346,169121,Bahia
2021,BA,O,474,2207.7245992222106,8266,Bahia
2021,BA,P,-2527,1220.094816789161,36905,Bahia
2021,BA,Q,8333,1805.9833801340071,92305,Bahia
2021,BA,R,791,1686.464272882503,5519,Bahia
2021,BA,S,2901,1501.890147939965,21007,Bahia
2021,BA,T,15,1120.8642045454546,35,Bahia
2021,CE,A,1169,1122.7570895347335,20039,Ceará
2021,CE,B,318,1612.069379412121,2056,Ceará
2021,CE,C,14491,1190.9905060577005,145283,Ceará
2021,CE,D,27,4703.751942517327,613,Ceará
2021,CE,E,1283,1299.0982558085277,7383,Ceará
2021,CE,F,9975,1502.6042502963094,108087,Ceará
2021,CE,G,23706,1237.9779057953465,189494,Ceará
2021,CE,H,3326,1433.5441370239832,32960,Ceará
2021,CE,I,7266,1141.654070721407,48326,Ceará
2021,CE,J,4594,1904.780235509594,28934,Ceará
