ano_bim,bimestre,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2023,2,SE,20187,19367,820,39554,1462.8858718745846
2023,3,AL,26795,33518,-6723,60313,1438.6597725094114
2023,3,BA,147388,129641,17747,277029,1650.5702151673177
2023,3,CE,94275,84269,10006,178544,1639.2384284180912
2023,3,MA,43877,36566,7311,80443,1648.8264018822756
2023,3,PB,31843,29198,2645,61041,1426.0122935447312
2023,3,PE,93308,87517,5791,180825,1607.3824697650841
2023,3,PI,26799,19961,6838,46760,1536.5263960279979
2023,3,RN,35622,31390,4232,67012,1598.2053626848506
2023,3,SE,18546,18086,460,36632,1492.6738258376813
2023,4,AL,30366,24814,5552,55180,1521.4845404952193
2023,4,BA,154807,138109,16698,292916,1675.3015317087825
2023,4,CE,101873,84451,17422,186324,1601.0337645488871
2023,4,MA,43848,38853,4995,82701,1646.5214077722285
2023,4,PB,40731,28472,12259,69203,1425.4141240352085
2023,4,PE,105741,85774,19967,191515,1571.8256846788868
2023,4,PI,27242,20749,6493,47991,1526.5001452412166
2023,4,RN,40986,31480,9506,72466,1593.413925413788
2023,4,SE,20556,17619,2937,38175,1472.1330567200962
2023,5,AL,43026,22703,20323,65729,1401.0935577614373
2023,5,BA,144354,128595,15759,272949,1699.4680151975979
2023,5,CE,98012,81399,16613,179411,1615.1469544098597
2023,5,MA,42389,37182,5207,79571,1662.8877943126608
2023,5,PB,34567,26601,7966,61168,1475.465720779648
2023,5,PE,107422,80286,27136,187708,1606.90054001643
2023,5,PI,25027,20346,4681,45373,1567.4587265187429
2023,5,RN,36156,29645,6511,65801,1713.7514744276605
2023,5,SE,23938,16379,7559,40317,1462.654717440701
2023,6,AL,25597,22662,2935,48259,1508.685949821678
