ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,SE,2,8,1134,1257,-123,1164.8229084521402,2391,Sergipe
2020,SE,2,9,2888,3135,-247,1730.5990802859758,6023,Sergipe
2020,SE,2,10,80,98,-18,1299.4085543548229,178,Sergipe
2020,SE,2,11,16,30,-14,1828.1692664742664,46,Sergipe
2020,SE,2,80,175,247,-72,2089.917609111679,422,Sergipe
2021,AL,1,1,3822,3795,27,856.5564025387745,7617,Alagoas
2021,AL,1,2,13148,11690,1458,879.8017548329562,24838,Alagoas
2021,AL,1,3,5197,5244,-47,1106.547998266514,10441,Alagoas
2021,AL,1,4,8042,7364,678,1105.8748974113116,15406,Alagoas
2021,AL,1,5,7639,7012,627,1204.83681882619,14651,Alagoas
2021,AL,1,6,5806,5276,530,1076.769353259538,11082,Alagoas
2021,AL,1,7,56330,41265,15065,12257.858282890442,97595,Alagoas
2021,AL,1,8,1949,1742,207,1442.8407252237175,3691,Alagoas
2021,AL,1,9,3388,2822,566,2478.5516477162096,6210,Alagoas
2021,AL,1,10,96,95,1,1837.614696318342,191,Alagoas
2021,AL,1,11,21,31,-10,1831.287996031746,52,Alagoas
2021,AL,1,80,312,293,19,3833.996326435712,605,Alagoas
2021,AL,2,1,128,116,12,947.0081137218637,244,Alagoas
2021,AL,2,2,513,513,0,986.3181883990624,1026,Alagoas
2021,AL,2,3,209,195,14,1124.652961487467,404,Alagoas
2021,AL,2,4,765,736,29,1020.0725661165712,1501,Alagoas
2021,AL,2,5,1244,1178,66,1081.8027428857033,2422,Alagoas
2021,AL,2,6,1615,1294,321,872.196105996664,2909,Alagoas
2021,AL,2,7,28364,19087,9277,1103.726425766328,47451,Alagoas
2021,AL,2,8,2074,1671,403,1249.4634218574342,3745,Alagoas
2021,AL,2,9,4866,3910,956,1826.6898749030804,8776,Alagoas
2021,AL,2,10,100,128,-28,1300.6057557756571,228,Alagoas
2021,AL,2,11,23,20,3,1253.2505912698414,43,Alagoas
2021,AL,2,80,446,358,88,2359.2011519478388,804,Alagoas
2021,AL,2,99,0,1,-1,,1,Alagoas
2021,BA,1,1,2543,2150,393,1280.3946709140268,4693,Bahia
2021,BA,1,2,16462,14813,1649,1304.5123180362652,31275,Bahia
2021,BA,1,3,9594,9155,439,1447.0836386997642,18749,Bahia
2021,BA,1,4,25988,23245,2743,1294.4310198343742,49233,Bahia
2021,BA,1,5,28540,26553,1987,1421.3248078130805,55093,Bahia
2021,BA,1,6,38391,29697,8694,1192.664611638308,68088,Bahia
2021,BA,1,7,320008,255141,64867,1442.3589820318232,575149,Bahia
2021,BA,1,8,10119,8426,1693,1882.1664302148,18545,Bahia
2021,BA,1,9,19855,19114,741,3393.6997160453625,38969,Bahia
2021,BA,1,10,509,543,-34,3585.2900513646655,1052,Bahia
2021,BA,1,11,180,211,-31,3068.532502903223,391,Bahia
2021,BA,1,80,1808,1916,-108,4666.933224404082,3724,Bahia
2021,BA,2,1,548,397,151,1179.3518998413608,945,Bahia
2021,BA,2,2,2726,2448,278,1027.75871491337,5174,Bahia
2021,BA,2,3,1555,1549,6,1066.279582922167,3104,Bahia
2021,BA,2,4,5194,4415,779,995.570136189132,9609,Bahia
2021,BA,2,5,6287,5375,912,1082.9157937021284,11662,Bahia
2021,BA,2,6,13903,9394,4509,874.0324240690433,23297,Bahia
2021,BA,2,7,176248,136225,40023,1156.7660395969783,312473,Bahia
2021,BA,2,8,11803,9185,2618,1348.261938115782,20988,Bahia
2021,BA,2,9,32812,28962,3850,2393.3905541972053,61774,Bahia
2021,BA,2,10,626,708,-82,2292.6951529109374,1334,Bahia
2021,BA,2,11,218,219,-1,2153.059583659305,437,Bahia
2021,BA,2,80,3320,2963,357,3054.0623469263955,6283,Bahia
2021,BA,2,99,0,1,-1,,1,Bahia
2021,CE,1,1,1632,1525,107,1210.094261139531,3157,Ceará
2021,CE,1,2,8989,8155,834,1291.0940576506634,17144,Ceará
2021,CE,1,3,4804,4748,56,1314.845442766171,9552,Ceará
2021,CE,1,4,17530,15071,2459,1280.3627567572494,32601,Ceará
2021,CE,1,5,28925,24740,4185,1299.6347133570912,53665,Ceará
2021,CE,1,6,18204,15484,2720,1166.445874447954,33688,Ceará
2021,CE,1,7,195288,151124,44164,1273.4321175005527,346412,Ceará
2021,CE,1,8,9741,7804,1937,1758.4172982799903,17545,Ceará
2021,CE,1,9,16854,14772,2082,3505.323169062205,31626,Ceará
2021,CE,1,10,473,510,-37,3673.948321871269,983,Ceará
2021,CE,1,11,113,137,-24,3303.709605716518,250,Ceará
2021,CE,1,80,1747,1594,153,5255.857232734902,3341,Ceará
2021,CE,2,1,228,174,54,1134.558936836487,402,Ceará
2021,CE,2,2,970,771,199,1010.3350229735428,1741,Ceará
2021,CE,2,3,651,728,-77,1057.792880472756,1379,Ceará
2021,CE,2,4,2963,2550,413,1001.8817397398412,5513,Ceará
2021,CE,2,5,6816,5168,1648,1026.623365528737,11984,Ceará
2021,CE,2,6,6134,4856,1278,956.1773053346092,10990,Ceará
2021,CE,2,7,117920,87173,30747,1111.8333610519696,205093,Ceará
2021,CE,2,8,10681,8292,2389,1370.6353875378518,18973,Ceará
2021,CE,2,9,24451,19552,4899,2331.2917254669724,44003,Ceará
2021,CE,2,10,546,530,16,2702.7816690153186,1076,Ceará
2021,CE,2,11,145,130,15,2867.5149703177044,275,Ceará
2021,CE,2,80,2504,2059,445,3343.0032952682254,4563,Ceará
2021,MA,1,1,1109,1005,104,1134.7032221033269,2114,Maranhão
2021,MA,1,2,4522,4249,273,1396.7161066305555,8771,Maranhão
2021,MA,1,3,3315,3039,276,1383.278222037198,6354,Maranhão
2021,MA,1,4,7562,6760,802,1431.789318494937,14322,Maranhão
2021,MA,1,5,12973,10913,2060,1364.2558778376122,23886,Maranhão
2021,MA,1,6,7256,6070,1186,1285.4923514250931,13326,Maranhão
2021,MA,1,7,91334,72306,19028,1346.7918528620337,163640,Maranhão
2021,MA,1,8,2307,1996,311,1754.2005684802443,4303,Maranhão
2021,MA,1,9,5996,5092,904,2944.833649378019,11088,Maranhão
2021,MA,1,10,157,163,-6,3041.24196734498,320,Maranhão
2021,MA,1,11,42,45,-3,1332.3175326303597,87,Maranhão
2021,MA,1,80,514,461,53,4428.340433210116,975,Maranhão
2021,MA,2,1,142,110,32,929.3984700544552,252,Maranhão
2021,MA,2,2,243,251,-8,1143.1194226625882,494,Maranhão
2021,MA,2,3,208,204,4,1160.7756800715545,412,Maranhão
2021,MA,2,4,515,489,26,1120.5085056862256,1004,Maranhão
2021,MA,2,5,1505,1342,163,1117.8904300488368,2847,Maranhão
2021,MA,2,6,1654,1255,399,964.021881965338,2909,Maranhão
2021,MA,2,7,47528,35519,12009,1152.8627498665155,83047,Maranhão
2021,MA,2,8,2600,2147,453,1407.0640919771847,4747,Maranhão
2021,MA,2,9,9864,7324,2540,2112.4818708348184,17188,Maranhão
2021,MA,2,10,210,169,41,1516.6026275306842,379,Maranhão
2021,MA,2,11,31,38,-7,1615.924408141566,69,Maranhão
2021,MA,2,80,795,583,212,2798.28208314897,1378,Maranhão
2021,PB,1,1,1940,1626,314,1034.2869533237576,3566,Paraíba
