exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2023,PI,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,4718830514.5,3289290,Ativo Circulante,Piauí
2023,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,18799436032.09,3289290,Ativo Não Circulante,Piauí
2023,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,23518266546.59,3289290,Passivo Total,Piauí
2023,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1529575144.51,3289290,Passivo Circulante,Piauí
2023,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,40469443358.12,3289290,Passivo Não Circulante,Piauí
2023,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-18480751956.04,3289290,Patrimônio Líquido,Piauí
2024,PI,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,25404013772.41,3270174,Ativo Total,Piauí
2024,PI,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,4070791021.16,3270174,Ativo Circulante,Piauí
2024,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,21333222751.25,3270174,Ativo Não Circulante,Piauí
2024,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,25404013772.41,3270174,Passivo Total,Piauí
2024,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,2318436862.53,3270174,Passivo Circulante,Piauí
2024,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,35173429754.99,3270174,Passivo Não Circulante,Piauí
2024,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-12087852845.11,3270174,Patrimônio Líquido,Piauí
