uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
CE,Ceará,2020,3,33083,44602,-11519,77685,1367.5560212985245,,443842.37426039984,204067.98409881553,260960.5154641576,88.98,89.62007,2.795,-0.06,3.8,3.88,,16741803620.982365,2424014937.102547,4996511287.269502,,3623049.0,5036638.457438516,319273.0,2041232.0,2837650.71677312,146794.0,187719.0,,,12043027384.19,2020.0,1820672781.84,3594183973.26
CE,Ceará,2020,4,60990,41864,19126,102854,1392.930688040302,,453889.3491993725,207414.81065123947,269869.47215368063,94.1,93.73536,2.045,0.3,3.38,3.455,,16641808981.861588,2424014937.102547,5586732294.589992,,3742022.0,5170960.203219046,328462.0,2092254.0,2891207.526044973,150098.0,195294.0,165.3,,12043027384.19,2020.0,1820672781.84,4042900028.790001
CE,Ceará,2020,5,79880,50509,29371,130389,1322.2098527675562,,459852.1256811397,215523.47907137917,274825.9935162694,97.06,97.51671,1.9,0.75,3.1,3.155,,16300496883.84556,2424014937.102547,4558935025.697053,,3878657.0,5280276.22803137,337787.0,2159264.0,2939551.078954372,158314.0,201875.0,171.63,,11973622896.16,2020.0,1820672781.84,3348791708.3000007
CE,Ceará,2020,6,69913,49727,20186,119640,1324.2900737565258,,467057.5583415984,220123.0718712047,278847.765243984,98.7,97.67943,1.9,1.12,2.905,2.9450000000000003,,15941492090.738323,2424014937.102547,4148493895.068567,,4020169.0,5352389.404002741,350806.0,2239719.0,2981926.4422823056,165334.0,209442.0,,,11973622896.16,2020.0,1820672781.84,3115925485.759998
CE,Ceará,2021,1,82663,62242,20421,144905,1400.901321956365,2108886.0,469274.3048011571,216361.45881267183,279076.4708735104,96.96,98.85452,1.9,0.5549999999999999,2.9,2.92,,13175570558.643934,2786010662.0460267,4976001341.391991,,4044845.0,5326009.426173602,356391.0,2270532.0,2989700.4296651175,164316.0,211945.0,173.16,,10006204727.01,2021.0,2303101367.86,3779030890.71
CE,Ceará,2021,2,65423,63309,2114,128732,1462.119897126023,2108886.0,475287.48516130954,217296.24007589705,283646.39589454327,96.01,96.45734,2.44,0.62,2.89,2.91,,13013823953.081158,2786010662.0460267,3940036614.8113146,,4126914.0,5367362.92437966,365444.0,2322034.0,3019980.3535399577,167077.0,218093.0,171.96,,10006204727.01,2021.0,2303101367.86,3029456456.6000004
CE,Ceará,2021,3,70187,55683,14504,125870,1420.6222808897917,2108886.0,485101.53514602635,218323.21265090737,288486.57096471294,95.97,96.80299,3.525,0.6799999999999999,2.92,2.94,,11771382106.01314,2786010662.0460267,4478571976.469235,,4212400.0,5404800.86608651,378079.0,2398138.0,3076977.100796451,170157.0,224841.0,,,9174393509.02,2021.0,2303101367.86,3490514648.2
CE,Ceará,2021,4,91912,61461,30451,153373,1368.8406986425612,2108886.0,496409.9339121431,221321.6863762557,292868.0650188335,95.2,97.07685,4.58,0.915,2.91,2.97,,11558889038.20158,2786010662.0460267,4465630526.711378,,4344165.0,5473246.939895294,394005.0,2495958.0,3144676.7067105365,175665.0,232452.0,172.18,,9174393509.02,2021.0,2303101367.86,3544410849.74
CE,Ceará,2021,5,91392,69326,22066,160718,1360.20509300553,2108886.0,504768.7858037332,222801.4803505099,297420.85460737185,98.09,97.47908,5.865,1.205,2.96,3.01,,13664174572.452269,2786010662.0460267,3841507276.705277,,4509925.0,5547587.970152288,410353.0,2602076.0,3200772.8543206337,181127.0,241789.0,174.46,,11108323624.65,2021.0,2303101367.86,3122962591.6899986
CE,Ceará,2021,6,76732,65626,11106,142358,1402.209922496827,2108886.0,515769.1261629741,224873.05997402733,305937.20031152695,98.9,99.13496,8.205,0.84,2.9850000000000003,3.07,,13437492803.23206,2786010662.0460267,4836101322.081391,,4679575.0,5660778.125436181,426369.0,2708971.0,3276982.1574055287,185895.0,252908.0,,,11108323624.65,2021.0,2303101367.86,3997842406.61
CE,Ceará,2022,1,86734,80189,6545,166923,1465.3542807186366,2344273.0,519181.8023899913,221577.73003764043,301486.0303256477,100.89,98.58788,9.82,0.775,3.27,3.26,,9339362733.817076,4031355284.7648206,5281847813.781676,,4723686.0,5626618.757609835,435866.0,2755932.0,3282728.5060643717,186020.0,253105.0,175.72,,7840626652.55,2022.0,3525370735.49,4434242241.55
CE,Ceará,2022,2,85471,76772,8699,162243,1476.628748480185,2344273.0,522004.85270114103,221220.1671588334,301545.5579301259,103.59,99.71472,11.4,1.34,3.435,3.465,,9094079760.849768,4031355284.7648206,4620469609.70359,,4828886.0,5600862.837381575,450056.0,2830339.0,3282815.233636025,190729.0,259983.0,177.74,,7840626652.55,2022.0,3525370735.49,3983622106.0099993
CE,Ceará,2022,3,91623,74554,17069,166177,1511.421311205578,2344273.0,532549.5031998834,226310.2596867557,302893.00571104226,99.51,99.54987,12.7,0.5700000000000001,3.5549999999999997,3.635,,9809279385.807344,4031355284.7648206,5061800517.133147,,4961785.0,5689963.170945988,464396.0,2914335.0,3342034.936580057,197348.0,264130.0,,,8553928005.34,2022.0,3525370735.49,4414012028.610001
CE,Ceará,2022,4,99076,80266,18810,179342,1491.0756103190065,2344273.0,554498.3654316036,236345.9781362815,314772.2253122786,99.82,101.06191,13.365,-0.52,3.685,3.86,,9912122814.309668,4031355284.7648206,5498643029.603777,,5068741.0,5873556.952380474,478519.0,3009898.0,3487810.3505103304,203961.0,271641.0,179.56,,8553928005.34,2022.0,3525370735.49,4745199134.78
CE,Ceará,2022,5,94681,77580,17101,172261,1504.1915690596463,2344273.0,569092.1177493271,240940.2871994916,323231.26298592804,98.69,101.38469,13.65,0.15,3.785,4.055,,11804347179.843876,4031355284.7648206,3908272258.6147017,,5211491.0,6021012.813851935,492578.0,3111431.0,3594742.06525851,208546.0,279773.0,180.3,,10217259286.86,2022.0,3525370735.49,3382807233.7700005
CE,Ceará,2022,6,74112,74524,-412,148636,1547.1156692046288,2344273.0,579851.4742669822,247804.50581396284,328026.3288537453,97.98,100.23388,13.65,0.515,3.865,4.17,,11683707987.71338,4031355284.7648206,6813202054.71547,,5358049.0,6127071.66787569,507073.0,3187782.0,3645313.578797824,216702.0,286855.0,,,10217259286.86,2022.0,3525370735.49,5958061605.1
CE,Ceará,2023,1,87826,86459,1367,174285,1565.8427215472088,,580130.6880459457,241852.53463960593,323947.7556522794,103.24,103.29712,13.65,0.685,4.0600000000000005,4.42,1653840496.4931278,9314472121.849844,2633737360.852532,5527201734.805364,,5364476.0,6051249.592420545,514290.0,3235889.0,3650155.5776124503,214404.0,287182.0,182.79,1466141416.87,8257346088.14,2023.0,2409603164.84,4899903829.89
CE,Ceará,2023,2,90436,81203,9233,171639,1613.6729688244775,,580465.8942360395,239002.0743539067,324929.40025736403,105.8,104.36716,13.65,0.6599999999999999,4.105,4.565,1739075731.3491256,9192729949.383867,2633737360.852532,4217868580.5186887,,5419040.0,6032903.401791453,521402.0,3282388.0,3654213.611857348,214683.0,291867.0,184.25,1562120313.15,8257346088.14,2023.0,2409603164.84,3788689629.24
CE,Ceará,2023,3,94275,84269,10006,178544,1639.2384284180912,,583320.3583601906,244108.1275789492,324958.00934049586,102.19,102.39167,13.65,0.075,4.215,4.85,2075889596.3327372,9026741783.680988,2633737360.852532,6890938832.583443,,5472241.0,6083017.623888908,524751.0,3310857.0,3680393.7328739646,219598.0,292330.0,,1867456065.87,8120395096.52,2023.0,2409603164.84,6199041386.97
CE,Ceará,2023,4,101873,84451,17422,186324,1601.0337645488871,,591979.4260006617,248116.79455729207,328882.7513937315,101.02,102.45143,13.42,0.175,4.09,4.88,1300560874.7985485,8995233639.099295,2633737360.852532,4270623330.42307,,5551565.0,6149654.498836772,534406.0,3387211.0,3752127.078519192,223986.0,296897.0,184.44,1174073801.1,8120395096.52,2023.0,2409603164.84,3855280489.960001
CE,Ceará,2023,5,98012,81399,16613,179411,1615.1469544098595,,598538.308703895,252579.3041097942,335085.64829951053,101.59,102.78063,12.81,0.25,3.905,4.84,1070236429.5339388,10473149421.763071,2633737360.852532,4090752447.232633,,5644764.0,6221746.596135464,543032.0,3449675.0,3802285.390323423,229156.0,304011.0,185.03,970986518.91,9501906885.65,2023.0,2409603164.84,3711390650.56
CE,Ceará,2023,6,80301,79352,949,159653,1631.87832478606,,604430.7816497381,258168.44293527197,340657.34724386915,102.41,104.50538,12.02,0.42,3.725,4.67,493229136.7968618,10385746304.30486,2633737360.852532,6409783533.542586,,5794196.0,6333155.062201124,552993.0,3522206.0,3849831.2378482143,236198.0,311667.0,,451254747.98,9501906885.65,2023.0,2409603164.84,5864303296.880001
CE,Ceará,2024,1,96308,91147,5161,187455,1676.1857847058154,,605634.7431939559,253127.558278924,339417.3394566512,105.25,104.87054,11.4,0.625,3.67,4.595000000000001,2318278236.133017,7778896224.297356,3577041950.124759,6197086077.378956,,5802794.0,6264034.033219429,561040.0,3580901.0,3865531.971941359,234489.0,314425.0,186.47,2147576301.09,7206112242.94,2024.0,3430741910.0,5740775627.43
CE,Ceará,2024,2,99658,87795,11863,187453,1664.8269743845492,,615088.4792009176,257285.21113122985,343670.3992010601,105.88,105.27083,10.825,0.27,3.64,4.51,2628374480.0327983,7737069010.262355,3577041950.124759,7074883517.726958,,5915624.0,6351495.728033628,572878.0,3646778.0,3915477.874876263,239629.0,320086.0,189.63,2448002143.25,7206112242.94,2024.0,3430741910.0,6589369264.62
CE,Ceará,2024,3,105271,90695,14576,195966,1705.6721980934851,,622449.8332672146,264127.15396949445,347879.262359156,106.01,106.53112,10.43,0.335,3.655,4.485,2301587147.6312723,9328625235.385157,3577041950.124759,5654285651.936093,,6040221.0,6442049.254909202,583624.0,3704064.0,3950478.4231133265,247652.0,326180.0,,2158023708.35,8746744369.42,2024.0,3430741910.0,5301594816.090001
CE,Ceará,2024,4,112294,99512,12782,211806,1729.5187054716994,,638503.4092041657,266865.3516868306,355560.4615247019,106.43,107.075,10.4,0.18,3.72,4.4350000000000005,2007671632.874289,9295169688.834316,3577041950.124759,4953316562.353102,,6134688.0,6519336.056901,600831.0,3790764.0,4028446.830287419,251120.0,334582.0,191.19,1889216780.15,8746744369.42,2024.0,3430741910.0,4661065392.249999
CE,Ceará,2024,5,108655,95946,12709,204601,1701.2484967853595,,644680.4793315742,273194.696641856,361497.6937586403,106.56,108.15165,10.575,0.5,3.725,4.4,1338421121.3186266,12628693013.508318,3577041950.124759,4387326044.521319,,6274641.0,6601882.683934143,612725.0,3877157.0,4079362.574080979,259653.0,343579.0,191.19,1272078351.76,12002714794.04,2024.0,3430741910.0,4169855357.519999
CE,Ceará,2024,6,85935,87714,-1779,173649,1716.0089352522016,,654701.0962681653,279854.99287850433,370239.70286457706,107.26,106.90886,11.405,0.455,3.6,4.175,435022967.74875605,12514556751.8555,3577041950.124759,5990257613.233246,,6462746.0,6738342.3648446305,627924.0,3965534.0,4134639.633281547,268409.0,355097.0,,417230647.02,12002714794.04,2024.0,3430741910.0,5745257710.690001
CE,Ceará,2025,1,113255,107992,5263,221247,1767.991571938635,,659324.2645599832,276545.1133366829,364874.6535477806,106.24,109.04864,12.695,0.735,3.815,4.475,1801452301.6425688,10126719411.994698,,6325923948.589431,,6518695.0,6698075.149206426,641667.0,4040708.0,4151899.397041831,269139.0,355103.0,194.02,1753207876.87,9855517253.37,,,6156510325.05
CE,Ceará,2025,2,104110,97510,6600,201620,1823.1002429029732,,664173.33840768,277805.74153360457,365725.1455559043,108.55,110.40313,13.86,0.495,4.02,4.68,1531264272.552501,10027208591.753448,,4973331142.13212,,6630471.0,6745979.340235858,652801.0,4116655.0,4188370.566869027,273049.0,359463.0,194.59,1505045129.91,9855517253.37,,,4888175051.86
CE,Ceará,2025,3,112176,99087,13089,211263,1800.3718241397978,,670286.8572413868,285041.07847278175,366538.5122275519,111.17,108.8466,14.645,0.25,4.265000000000001,4.95,952952231.845274,10054806327.764065,,6062739844.835934,,6703448.0,6786254.044054836,662108.0,4155742.0,4207076.858588078,281563.0,362066.0,,941324284.53,9932117325.8,,,5988762139.400001
CE,Ceará,2025,4,121168,106811,14357,227979,1832.0263950930243,,683596.3081556401,289199.1266316987,373020.961029983,109.17,108.69252,14.9,0.075,4.665,5.3,632162662.325492,10039775378.453964,,5871395033.510126,,6772151.0,6845556.958168127,676266.0,4226068.0,4271875.981957824,286098.0,369021.0,194.64,625383885.05,9932117325.8,,,5808435163.21
CE,Ceará,2025,5,121535,107595,13940,229130,1825.4474686882584,,693723.11468206,293657.78206604,379001.32743144,110.04,108.60643,14.9,0.285,4.8100000000000005,5.3149999999999995,4269486.338350199,12029684523.630297,,4744056250.344728,,6919371.0,6954700.89316374,690199.0,4321868.0,4343935.1986959195,292166.0,377076.0,194.92,4247797.34,11968573704.41,,,4719956435.9800005
CE,Ceará,2025,6,87886,92812,-4926,180698,1862.7471862873945,,707617.0,303329.0,386092.0,108.68,109.05574,14.9,0.255,4.965,5.3149999999999995,-832399697.32,11968573704.41,,7196765687.459998,,7130222.0,7130222.0,707617.0,4428977.0,4428977.0,303329.0,386092.0,,-832399697.32,11968573704.41,,,7196765687.459998
MA,Maranhão,2015,1,13938,16198,-2260,30136,1148.3723453676666,998534.0,383549.180807768,305374.4696786171,248711.9955311034,102.8,101.08609,11.985,1.23,3.78,4.415,,8111100005.5509405,1199272518.1025548,13928959836.552937,,3033503.0,5398083.829970012,215539.0,1433769.0,2551375.507066344,171608.0,139766.0,173.86,,4558107464.64,2015.0,727859999.87,7827507460.42
MA,Maranhão,2015,2,14745,15480,-735,30225,1173.8238213399504,998534.0,381879.12643604295,297192.4595310224,245223.54056787063,102.34,99.65606,12.63,1.015,3.71,4.475,,7948990518.631317,1199272518.1025548,10806367955.735165,,3070707.0,5355077.961160497,218977.0,1453221.0,2534306.187401018,170416.0,140616.0,169.75,,4558107464.64,2015.0,727859999.87,6196583871.78
MA,Maranhão,2015,3,34712,33973,739,68685,1189.6823396939517,998534.0,382916.26661837305,290586.2207566146,242457.18555862745,101.87,97.92509,13.365,0.765,3.76,4.635,,8323909269.483112,1199272518.1025548,11549700910.909763,,3109967.0,5341507.07328451,222944.0,1469882.0,2524587.9135995917,169187.0,141165.0,,,4846400610.15,2015.0,727859999.87,6724542006.590001
MA,Maranhão,2015,4,16683,15736,947,32419,1195.590271137296,998534.0,386035.2429442638,290178.33751299203,240468.32255355536,100.74,97.38494,13.92,0.42,3.835,4.84,,8254459221.201244,1199272518.1025548,9156833580.07603,,3143987.0,5354883.875908807,226651.0,1486592.0,2531984.874891348,170371.0,141185.0,166.95,,4846400610.15,2015.0,727859999.87,5376207291.15
MA,Maranhão,2015,5,27308,29398,-2090,56706,1185.2797235779367,998534.0,383584.5601030859,282952.1081041643,237974.15727586017,99.79,97.2129,14.15,0.6799999999999999,4.015000000000001,4.97,,10827432851.441645,1199272518.1025548,8640572397.580477,,3166774.0,5321092.545440522,228285.0,1496614.0,2514742.6367659713,168395.0,141627.0,165.67,,6443795620.52,2015.0,727859999.87,5142316127.7699995
MA,Maranhão,2015,6,8778,16102,-7324,24880,1245.9108520900322,998534.0,383275.8709000191,283722.048971054,238435.86046511072,98.87,95.70125,14.15,0.985,4.215,5.25,,10617243702.551971,1199272518.1025548,10169698073.4068,,3229576.0,5321272.968174295,232617.0,1518662.0,2502252.6326655606,172196.0,144711.0,,,6443795620.52,2015.0,727859999.87,6172172151.580001
MA,Maranhão,2016,1,20461,29535,-9074,49996,1266.4107785342069,945011.0,376267.36491359206,272079.3032488385,230986.51134218535,96.58,95.22152,14.15,1.085,4.3,5.455,,8218999023.0437565,1374957130.9975362,12776712540.593897,,3192287.0,5147542.983727597,233345.0,1522813.0,2455526.515529203,168732.0,143248.0,163.3,,5097073267.23,2016.0,886959090.34,7923573144.51
MA,Maranhão,2016,2,9835,12866,-3031,22701,1292.9971807409363,945011.0,373572.11154157226,263932.082410598,230762.2353080362,95.74,94.43174,14.15,0.52,4.275,5.58,,8134190086.33986,1374957130.9975362,10127548919.746803,,3150823.0,5028256.779275196,234089.0,1526375.0,2435873.2437417707,165386.0,144601.0,163.75,,5097073267.23,2016.0,886959090.34,6346158414.4800005
MA,Maranhão,2016,3,12556,12539,17,25095,1309.4053397091054,945011.0,373626.3998721669,256636.4826084246,226725.8568684735,96.01,94.35527,14.15,0.565,4.1850000000000005,5.705,,7030132017.436703,1374957130.9975362,11658384367.299776,,3140231.0,4955224.17188037,236775.0,1536798.0,2425037.7112057707,162636.0,143681.0,,,4455144253.72,2016.0,886959090.34,7388166252.469999
MA,Maranhão,2016,4,27694,25234,2460,52928,1277.4093770336149,945011.0,373425.62854301714,250092.40776679857,225157.25038362268,95.38,93.79533,14.15,0.48,4.109999999999999,5.73,,6963126684.922893,1374957130.9975362,9600974964.23198,,3125535.0,4885026.145895989,238925.0,1546795.0,2417549.0011601807,160014.0,144060.0,162.86,,4455144253.72,2016.0,886959090.34,6142891028.340001
MA,Maranhão,2016,5,21572,23580,-2008,45152,1244.5776657825022,945011.0,371343.30792738264,245591.78869888335,223607.23558003287,96.34,93.59054,14.1,0.17,4.18,5.779999999999999,,8495827859.464848,1374957130.9975362,8846740029.447767,,3105525.0,4837294.836645756,238401.0,1547944.0,2411141.9224178772,157669.0,143555.0,162.7,,5454289371.28,2016.0,886959090.34,5679573657.949998
MA,Maranhão,2016,6,19938,26433,-6495,46371,1317.50310364098,945011.0,375633.2911733524,241321.53199376888,227431.8092005616,95.69,93.2166,13.775,0.24,4.02,5.68,,8455197254.577702,1374957130.9975362,15557900790.188663,,3117809.0,4833203.429929342,242314.0,1569164.0,2432505.912620576,155672.0,146712.0,,,5454289371.28,2016.0,886959090.34,10036110378.55
MA,Maranhão,2017,1,21481,25593,-4112,47074,1347.2231487671925,929404.0,374950.6855377529,236252.45663048985,223191.9684132602,96.58,95.10675,12.995,0.355,3.99,5.62,,6564468241.573121,1866075052.754128,12614278526.741186,,3083038.0,4745548.788717878,243594.0,1575512.0,2425097.927177829,153486.0,145001.0,164.35,,4264734373.12,2017.0,1239249378.17,8195111202.52
MA,Maranhão,2017,2,10365,13166,-2801,23531,1371.5919000467468,929404.0,374970.81849066325,231954.5276086021,224610.21574568911,97.23,94.9326,11.87,0.195,4.025,5.720000000000001,,6538943475.715666,1866075052.754128,9442341076.352106,,3082414.0,4726139.813488331,244558.0,1586373.0,2432321.094552167,151282.0,146492.0,165.73,,4264734373.12,2017.0,1239249378.17,6158346023.42
MA,Maranhão,2017,3,12589,11807,782,24396,1313.584194130185,929404.0,380794.26888865547,229731.6122280672,224611.51934395035,95.87,95.24586,10.65,0.0399999999999999,3.975,5.734999999999999,,7003349766.131837,1866075052.754128,11162517850.543392,,3090213.0,4734343.983155378,248553.0,1604318.0,2457886.6474148775,149951.0,146609.0,,,4571244203.6,2017.0,1239249378.17,7286026933.659999
MA,Maranhão,2017,4,25396,22095,3301,47491,1331.3918519981648,929404.0,383976.55138256337,225253.61251961865,222370.4590284322,96.69,95.07244,9.58,0.215,3.94,5.605,,6973332637.394215,1866075052.754128,8981895953.848293,,3063766.0,4673707.745544063,251709.0,1620808.0,2472507.007271372,147661.0,145771.0,166.12,,4571244203.6,2017.0,1239249378.17,5887922167.400001
MA,Maranhão,2017,5,23065,22142,923,45207,1320.4794568299344,929404.0,385205.65609676746,215977.00552203463,220956.2369171614,96.25,95.32205,8.18,0.29,3.87,5.395,,8322656613.160114,1866075052.754128,17197994946.68945,,3068523.0,4653940.316256024,253981.0,1636329.0,2481772.991031484,142402.0,145685.0,167.02,,5487449666.98,2017.0,1239249378.17,11339303785.97
MA,Maranhão,2017,6,11707,12010,-303,23717,1265.955601467302,929404.0,388815.3973360677,218618.12412936104,221757.73957200735,97.45,96.86882,7.2,0.36,3.65,5.075,,8263060774.673718,1866075052.754128,14762675017.820202,,3105277.0,4675959.531364208,258210.0,1660162.0,2499889.809349912,145183.0,147268.0,,,5487449666.98,2017.0,1239249378.17,9803804948.23
MA,Maranhão,2018,1,21969,22927,-958,44896,1319.4239049552075,963863.0,388787.74313355313,211745.4828060655,218401.16186597993,97.91,95.90327,6.8100000000000005,0.305,3.71,5.01,,8747781605.449512,1898961691.7260575,4466379999.6383705,,3074312.0,4601221.947839811,259769.0,1669009.0,2497951.0348794055,141478.0,145925.0,168.01,,5844840841.82,2018.0,1308323070.65,2984217189.5
MA,Maranhão,2018,2,23635,21286,2349,44921,1324.6256269977569,963863.0,392761.34383379057,207658.9941881465,220190.62916052892,98.28,96.45372,6.49,0.155,3.63,4.705,,8720730075.170937,1898961691.7260575,3257157893.906218,,3103899.0,4631138.142533976,263238.0,1688992.0,2520041.816320294,139178.0,147577.0,167.85,,5844840841.82,2018.0,1308323070.65,2183024737.8900003
MA,Maranhão,2018,3,27713,22831,4882,50544,1310.2039049245172,963863.0,392456.05605053494,205179.6710414269,222310.9980235777,98.24,96.16264,6.4,0.8300000000000001,3.53,4.495,,9047036353.780563,1898961691.7260575,3680192045.200646,,3138842.0,4606573.172903985,267413.0,1706124.0,2503912.286138531,139806.0,151479.0,,,6164499426.56,2018.0,1308323070.65,2507621376.2299995
MA,Maranhão,2018,4,24528,22741,1787,47269,1350.7237960888478,963863.0,398616.964995496,202289.3764187903,227462.99630012727,98.51,97.28302,6.4,0.12,3.495,4.25,,9025402193.959578,1898961691.7260575,3147253140.064392,,3166304.0,4635764.413444031,272262.0,1731984.0,2535786.1379875233,138167.0,155361.0,169.46,,6164499426.56,2018.0,1308323070.65,2149626106.43
MA,Maranhão,2018,5,24389,21996,2393,46385,1364.1798310733525,963863.0,400277.9892465342,200096.2027600959,227091.34084876577,97.8,97.02722,6.4,0.4649999999999999,3.39,4.09,,10363417070.620136,1898961691.7260575,2994529354.8806415,,3177146.0,4608677.861250137,275945.0,1759757.0,2552653.5850351094,137943.0,156553.0,169.01,,7144367665.42,2018.0,1308323070.65,2064378819.300001
MA,Maranhão,2018,6,19009,22207,-3198,41216,1364.5353928092318,963863.0,411313.97450429393,202021.11233372148,235610.5005022656,97.6,97.58103,6.4,-0.03,3.275,3.905,,10369671538.008286,1898961691.7260575,3993452330.407713,,3265064.0,4739067.586688244,283382.0,1803027.0,2616998.262093406,139186.0,162328.0,,,7144367665.42,2018.0,1308323070.65,2751359249.7299995
MA,Maranhão,2019,1,11099,12081,-982,23180,1365.1840811044003,,411944.5863858567,195394.521892668,233193.57717032975,98.02,96.71471,6.4,0.375,3.32,3.92,,7769356532.562398,1276548085.3232543,3377002402.7953596,,3247396.0,4678272.006725274,285949.0,1823184.0,2626520.039536112,135632.0,161870.0,169.54,,5393054805.31,2019.0,917371897.92,2344127079.2
MA,Maranhão,2019,2,18321,11640,6681,29961,1388.8839825105972,,413655.3585649136,187459.28892554165,233310.7274001357,97.88,96.23963,6.4,0.6599999999999999,3.36,3.87,,7667813594.089272,1276548085.3232543,3848965075.159243,,3272570.0,4652920.773010079,290939.0,1852546.0,2633939.004011138,131847.0,164096.0,170.49,,5393054805.31,2019.0,917371897.92,2707118442.4800005
MA,Maranhão,2019,3,25356,23461,1895,48817,1369.0340781694265,,421439.65560820786,194656.85031968207,236377.85561245057,98.38,96.96174,6.4,0.07,3.38,3.875,,5399293966.303032,1276548085.3232543,3849166942.559443,,3301611.0,4687647.779672036,296829.0,1882338.0,2672555.169670897,137101.0,166486.0,,,3802838692.08,2019.0,917371897.92,2711050939.77
MA,Maranhão,2019,4,12199,12174,25,24373,1400.0826734501293,,430292.3944385057,193755.72180898665,238730.7853213272,97.17,96.9505,6.15,0.15,3.46,3.945,,5383133315.60758,1276548085.3232543,3070025437.459895,,3333007.0,4718059.974571182,303974.0,1921792.0,2720405.3020744035,136876.0,168648.0,170.53,,3802838692.08,2019.0,917371897.92,2168776219.12
MA,Maranhão,2019,5,14353,11133,3220,25486,1386.440398650239,,439868.1832311682,194017.34261597524,243949.4726381481,98.09,98.49866,5.545,0.03,3.535,3.895,,9266271532.499569,1276548085.3232543,2773039513.318898,,3380309.0,4782151.253807082,310925.0,1964732.0,2779522.699609679,137143.0,172438.0,172.02,,6549951976.7,2019.0,917371897.92,1960149298.2400007
MA,Maranhão,2019,6,21843,24101,-2258,45944,1368.8240098373617,,444505.3218394584,196315.2868947209,246514.6360163269,99.16,97.79923,4.745,0.83,3.525,3.785,,9114437311.382307,1276548085.3232543,4780455034.619862,,3475872.0,4836770.950242965,319437.0,2017046.0,2806774.673550629,141079.0,177154.0,,,6549951976.7,2019.0,917371897.92,3435401422.359999
MA,Maranhão,2020,1,23782,21985,1797,45767,1321.135162377709,,446819.7839604925,191934.4724370452,247697.77650420865,99.54,98.07742,4.295,0.2299999999999999,3.615,3.82,,4459663426.151413,1343661716.377293,4608217976.2912,,3484672.0,4826787.826278764,322579.0,2042663.0,2829391.3750246963,138566.0,178824.0,168.1,,3219628628.78,2020.0,1009221633.73,3326876740.77
MA,Maranhão,2020,2,18427,25523,-7096,43950,1344.3651673491393,,443621.9525478678,198081.09442686825,256122.4929214143,84.65,83.18811,3.8,-0.12,4.005,3.95,,4470402091.944619,1343661716.377293,3244478402.8660035,,3584113.0,4976482.725287858,319501.0,2029785.0,2818323.5262248754,142660.0,184462.0,153.16,,3219628628.78,2020.0,1009221633.73,2336706035.94
MA,Maranhão,2020,3,21391,18932,2459,40323,1466.052272409495,,443842.37426039984,204067.98409881553,260960.5154641576,88.98,89.62007,2.795,-0.06,3.8,3.88,,3858356344.544063,1343661716.377293,4215484802.9992175,,3623049.0,5036638.457438516,319273.0,2041232.0,2837650.71677312,146794.0,187719.0,,,2775465067.4,2020.0,1009221633.73,3032361391.25
MA,Maranhão,2020,4,30055,18791,11264,48846,1704.8538946315375,,453889.3491993725,207414.81065123947,269869.47215368063,94.1,93.73536,2.045,0.3,3.38,3.455,,3835311339.417584,1343661716.377293,4623973392.88788,,3742022.0,5170960.203219046,328462.0,2092254.0,2891207.526044973,150098.0,195294.0,165.3,,2775465067.4,2020.0,1009221633.73,3346189002.3499994
MA,Maranhão,2020,5,32228,21203,11025,53431,1387.6353143435558,,459852.1256811397,215523.47907137917,274825.9935162694,97.06,97.51671,1.9,0.75,3.1,3.155,,9279881346.394396,1343661716.377293,4070983148.077896,,3878657.0,5280276.22803137,337787.0,2159264.0,2939551.078954372,158314.0,201875.0,171.63,,6816589736.78,2020.0,1009221633.73,2990363875.35
MA,Maranhão,2020,6,26457,25083,1374,51540,1316.2899368021908,,467057.5583415984,220123.0718712047,278847.765243984,98.7,97.67943,1.9,1.12,2.905,2.9450000000000003,,9075499731.124514,1343661716.377293,3828940790.319228,,4020169.0,5352389.404002741,350806.0,2239719.0,2981926.4422823056,165334.0,209442.0,,,6816589736.78,2020.0,1009221633.73,2875909786.49
MA,Maranhão,2021,1,31083,27746,3337,58829,1374.904682768359,1061682.0,469274.3048011571,216361.45881267183,279076.4708735104,96.96,98.85452,1.9,0.5549999999999999,2.9,2.92,,7624050564.57534,2476198948.7740674,4470949223.175987,,4044845.0,5326009.426173602,356391.0,2270532.0,2989700.4296651175,164316.0,211945.0,173.16,,5790095423.85,2021.0,2046990438.23,3395468382.34
