uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
BA,Bahia,2024,4,173601,147838,25763,321439,1761.57099299711,,638503.4092041657,266865.3516868306,355560.4615247019,106.43,107.075,10.4,0.18,3.72,4.4350000000000005,3505317709.747451,23747482861.03295,7509056109.94779,6909077570.045987,,6134688.0,6519336.056901,600831.0,3790764.0,4028446.830287419,251120.0,334582.0,191.19,3298500077.69,22346355037.73,2024.0,7201937763.14,6501434331.669998
BA,Bahia,2024,5,165576,151269,14307,316845,1782.2383608188345,,644680.4793315742,273194.696641856,361497.6937586403,106.56,108.15165,10.575,0.5,3.725,4.4,2351900040.6345606,25339267565.864967,7509056109.94779,6424297926.869335,,6274641.0,6601882.683934143,612725.0,3877157.0,4079362.574080979,259653.0,343579.0,191.19,2235321215.08,24083252428.23,2024.0,7201937763.14,6105858752.420001
BA,Bahia,2024,6,138442,149912,-11470,288354,5276.108861370909,,654701.0962681653,279854.99287850433,370239.70286457706,107.26,106.90886,11.405,0.455,3.6,4.175,56975391.523310736,25110255009.308662,7509056109.94779,8658498681.0983,,6462746.0,6738342.3648446305,627924.0,3965534.0,4134639.633281547,268409.0,355097.0,,54645113.55,24083252428.23,2024.0,7201937763.14,8304368446.640001
BA,Bahia,2025,1,186748,159684,27064,346432,1796.4001204672954,,659324.2645599832,276545.1133366829,364874.6535477806,106.24,109.04864,12.695,0.735,3.815,4.475,2751961634.545582,21277145940.419964,,9241066963.722866,,6518695.0,6698075.149206426,641667.0,4040708.0,4151899.397041831,269139.0,355103.0,194.02,2678261761.43,20707325875.93,,,8993583330.91
BA,Bahia,2025,2,174143,156792,17351,330935,1821.132465720185,,664173.33840768,277805.74153360457,365725.1455559043,108.55,110.40313,13.86,0.495,4.02,4.68,2076350192.4726272,21068064780.097095,,7194273446.177837,,6630471.0,6745979.340235858,652801.0,4116655.0,4188370.566869027,273049.0,359463.0,194.59,2040797791.2,20707325875.93,,,7071089169.58
BA,Bahia,2025,3,169061,148219,20842,317280,1855.5650380727393,,670286.8572413868,285041.07847278175,366538.5122275519,111.17,108.8466,14.645,0.25,4.265000000000001,4.95,1767864088.6210103,21851542169.025356,,8953866618.524263,,6703448.0,6786254.044054836,662108.0,4155742.0,4207076.858588078,281563.0,362066.0,,1746292566.15,21584909096.97,,,8844611310.83
BA,Bahia,2025,4,178460,158009,20451,336469,7055.1757322325,,683596.3081556401,289199.1266316987,373020.961029983,109.17,108.69252,14.9,0.075,4.665,5.3,823885869.42792,21818876256.62651,,7406211307.354123,,6772151.0,6845556.958168127,676266.0,4226068.0,4271875.981957824,286098.0,369021.0,194.64,815051214.77,21584909096.97,,,7326793366.530003
BA,Bahia,2025,5,177202,161403,15799,338605,1914.5288848742136,,693723.11468206,293657.78206604,379001.32743144,110.04,108.60643,14.9,0.285,4.8100000000000005,5.3149999999999995,920331098.973675,24694779822.783855,,10684327436.545366,,6919371.0,6954700.89316374,690199.0,4321868.0,4343935.1986959195,292166.0,377076.0,194.92,915655815.32,24569330296.45,,,10630051033.77
BA,Bahia,2025,6,144334,155069,-10735,299403,1923.7373998576677,,707617.0,303329.0,386092.0,108.68,109.05574,14.9,0.255,4.965,5.3149999999999995,-884897710.69,24569330296.45,,9660213893.72,,7130222.0,7130222.0,707617.0,4428977.0,4428977.0,303329.0,386092.0,,-884897710.69,24569330296.45,,,9660213893.72
CE,Ceará,2015,1,40053,42080,-2027,82133,1056.1840064285975,,383549.180807768,305374.4696786171,248711.9955311034,102.8,101.08609,11.985,1.23,3.78,4.415,,10421254018.621656,3714789066.8584,14139182080.946398,,3033503.0,5398083.829970012,215539.0,1433769.0,2551375.507066344,171608.0,139766.0,173.86,,5856319821.07,2015.0,2254572108.43,7945643789.74
CE,Ceará,2015,2,39391,42938,-3547,82329,1096.6002502155984,,381879.12643604295,297192.4595310224,245223.54056787063,102.34,99.65606,12.63,1.015,3.71,4.475,,10212973496.76128,3714789066.8584,11493691395.3882,,3070707.0,5355077.961160497,218977.0,1453221.0,2534306.187401018,170416.0,140616.0,169.75,,5856319821.07,2015.0,2254572108.43,6590708646.94
