ano_bim,bimestre,uf,transferencias_federais_nominal,transferencias_federais_real
2020,2,BA,4208382269.2499995,5843270472.870231
2020,2,CE,2519213114.8199997,3497886519.543426
2020,2,MA,2336706035.94,3244478402.8660035
2020,2,PB,1498832075.89,2081104009.2134166
2020,2,PE,3047407557.9300003,4231275930.460425
2020,2,PI,1426923324.08,1981259874.505756
2020,2,RN,1457447817.69,2023642638.4276314
2020,2,SE,1298452702.68,1802880501.951348
2020,3,AL,1744327245.07,2424903909.628973
2020,3,BA,5197006217.57,7224699798.142432
2020,3,CE,3594183973.2599998,4996511287.269502
2020,3,MA,3032361391.25,4215484802.9992175
2020,3,PB,1904895447.6699996,2648120317.758407
2020,3,PE,-1312737092.1199985,-1824922081.5610256
2020,3,PI,1791444966.2600002,2490405349.5963655
2020,3,RN,1937355296.0899997,2693244885.7327285
2020,3,SE,1800916542.05,2503572409.4060607
2020,4,AL,1901056675.1,2626999095.944925
2020,4,BA,5974819321.580001,8256379287.271535
2020,4,CE,4042900028.790001,5586732294.589992
2020,4,MA,3346189002.3499994,4623973392.88788
2020,4,PB,2249959261.78,3109134527.1429415
2020,4,PE,3904510085.7799993,5395496409.864977
2020,4,PI,5426849837.25,7499160757.81102
2020,4,RN,2026636565.5700006,2800533248.3216295
2020,4,SE,1824629985.67,2521387913.1388617
2020,5,AL,1676160537.73,2281869895.1054444
2020,5,BA,5102047184.780001,6945759437.890025
2020,5,CE,3348791708.3000007,4558935025.697053
2020,5,MA,2990363875.35,4070983148.0778956
2020,5,PB,1874878663.6599998,2552398223.964408
2020,5,PE,4038916461.4300003,5498448194.386204
2020,5,PI,1751162648.8799994,2383975305.4465775
2020,5,RN,1830067083.5800002,2491393210.8794804
2020,5,SE,1626798608.67,2214670186.3956285
2020,6,AL,1789254182.82,2382184711.4370937
2020,6,BA,4900801793.290001,6524849972.606383
2020,6,CE,3115925485.759998,4148493895.068567
2020,6,MA,2875909786.4900002,3828940790.319228
2020,6,PB,2057688226.1699998,2739573549.8914356
2020,6,PE,3831848063.2000003,5101661888.149505
2020,6,PI,2032803915.4399998,2706442972.27712
2020,6,RN,1867021377.9899995,2485722724.741241
2020,6,SE,1739185098.099999,2315523524.1776905
2021,1,AL,2001144182.85,2634986700.6007824
2021,1,BA,5615836069.59,7394596292.931387
2021,1,CE,3779030890.71,4976001341.391991
2021,1,MA,3395468382.34,4470949223.175987
2021,1,PB,2200138481.19,2897010463.863316
2021,1,PE,3840782490.73,5057312146.574346
2021,1,PI,2202012956.39,2899478660.4405217
2021,1,RN,1980193767.27,2607400449.2459507
2021,1,SE,1879575913.53,2474912891.0179844
2021,2,AL,1551833859.1100001,2018276978.9203322
2021,2,BA,4494655122.36,5845637990.42776
2021,2,CE,3029456456.6000004,3940036614.8113146
2021,2,MA,3036036730.1200004,3948594756.833059
2021,2,PB,1794277370.53,2333593051.523765
2021,2,PE,3548449048.4199996,4615025624.846991
2021,2,PI,1745928905.81,2270712226.5323052
2021,2,RN,1595403326.68,2074942357.6682732
2021,2,SE,1514407368.33,1969601004.814206
2021,3,AL,1879913577.2299998,2412059284.583727
2021,3,BA,5110559981.190001,6557202310.44601
2021,3,CE,3490514648.2,4478571976.469235
2021,3,MA,3250143048.1100006,4170158570.252108
2021,3,PB,2019900931.4000003,2591672752.6919737
2021,3,PE,3710940981.9000006,4761394224.900067
2021,3,PI,1902571836.63,2441131400.249175
2021,3,RN,1927886407.8600001,2473611747.9152355
2021,3,SE,1783307856.99,2288107456.5469637
2021,4,AL,1651327236.5700004,2080519902.9784796
2021,4,BA,4866116906.639999,6130858166.860635
2021,4,CE,3544410849.7400002,4465630526.711378
2021,4,MA,2899858333.6000004,3653553847.6337957
2021,4,PB,1967267258.4799993,2478575169.781042
2021,4,PE,3703255858.0699997,4665760576.044176
2021,4,PI,1897386855.1099997,2390532311.3943324
2021,4,RN,1821062460.03,2294370618.2240763
2021,4,SE,1714775438.7600002,2160458781.5611935
2021,5,AL,1780297307.6799994,2189915780.723642
2021,5,BA,4725820761.06,5813157957.871225
2021,5,CE,3122962591.6899986,3841507276.705277
2021,5,MA,2847296793.499999,3502415104.258669
2021,5,PB,1768449965.9499998,2175342551.576898
2021,5,PE,3595914423.7899995,4423277903.538196
2021,5,PI,1783766873.9800005,2194183639.782835
2021,5,RN,1721883325.8799994,2118061658.3774
2021,5,SE,1519640896.7199998,1869286419.9726837
2021,6,AL,2010623434.0400002,2432206590.1076508
2021,6,BA,6166015074.139998,7458891726.877218
2021,6,CE,3997842406.61,4836101322.081391
2021,6,MA,3642532705.040001,4406291053.755163
2021,6,PB,2408226365.0600014,2913178040.4054523
2021,6,PE,4346781817.610001,5258205591.1424465
2021,6,PI,2302841058.8899994,2785695772.056394
2021,6,RN,2270084167.950001,2746070487.3477526
2021,6,SE,2063112183.81,2495701066.9628158
2022,1,AL,2503852096.39,2982463519.342455
2022,1,BA,6553695925.12,7806435149.150755
