uf,ano,investimento_publico_nominal,investimento_publico_real,ano_bim,bimestre
AL,2018,967045378.24,1403615183.9210064,2018,5
BA,2018,2449844273.78,3555819301.0319552,2018,5
CE,2018,2733293560.16,3967230938.1555676,2018,5
MA,2018,1308323070.65,1898961691.7260578,2018,5
PB,2018,645555466.74,936989592.8033677,2018,5
PE,2018,869249725.48,1261669969.948498,2018,5
PI,2018,782792363.21,1136181684.5230606,2018,5
RN,2018,686981844.52,997117787.5864102,2018,5
SE,2018,385599929.09,559677888.5129677,2018,5
AL,2018,967045378.24,1403615183.9210064,2018,6
BA,2018,2449844273.78,3555819301.0319552,2018,6
CE,2018,2733293560.16,3967230938.1555676,2018,6
MA,2018,1308323070.65,1898961691.7260578,2018,6
PB,2018,645555466.74,936989592.8033677,2018,6
PE,2018,869249725.48,1261669969.948498,2018,6
PI,2018,782792363.21,1136181684.5230606,2018,6
RN,2018,686981844.52,997117787.5864102,2018,6
SE,2018,385599929.09,559677888.5129677,2018,6
AL,2019,724364185.79,1007972575.2920331,2019,1
BA,2019,2232101993.62,3106030970.277566,2019,1
CE,2019,1843176072.89,2564829914.777432,2019,1
MA,2019,917371897.92,1276548085.3232543,2019,1
PB,2019,455063270.42,633232986.395936,2019,1
PE,2019,646706650.03,899909990.4122038,2019,1
PI,2019,559043470.49,777924278.566369,2019,1
RN,2019,483413831.41,672683567.3780675,2019,1
SE,2019,205631587.68,286141978.111669,2019,1
AL,2019,724364185.79,1007972575.2920331,2019,2
BA,2019,2232101993.62,3106030970.277566,2019,2
CE,2019,1843176072.89,2564829914.777432,2019,2
MA,2019,917371897.92,1276548085.3232543,2019,2
PB,2019,455063270.42,633232986.395936,2019,2
PE,2019,646706650.03,899909990.4122038,2019,2
PI,2019,559043470.49,777924278.566369,2019,2
RN,2019,483413831.41,672683567.3780675,2019,2
SE,2019,205631587.68,286141978.111669,2019,2
AL,2019,724364185.79,1007972575.2920331,2019,3
BA,2019,2232101993.62,3106030970.277566,2019,3
CE,2019,1843176072.89,2564829914.777432,2019,3
MA,2019,917371897.92,1276548085.3232543,2019,3
PB,2019,455063270.42,633232986.395936,2019,3
PE,2019,646706650.03,899909990.4122038,2019,3
PI,2019,559043470.49,777924278.566369,2019,3
RN,2019,483413831.41,672683567.3780675,2019,3
SE,2019,205631587.68,286141978.111669,2019,3
AL,2019,724364185.79,1007972575.2920331,2019,4
BA,2019,2232101993.62,3106030970.277566,2019,4
CE,2019,1843176072.89,2564829914.777432,2019,4
MA,2019,917371897.92,1276548085.3232543,2019,4
PB,2019,455063270.42,633232986.395936,2019,4
PE,2019,646706650.03,899909990.4122038,2019,4
PI,2019,559043470.49,777924278.566369,2019,4
RN,2019,483413831.41,672683567.3780675,2019,4
SE,2019,205631587.68,286141978.111669,2019,4
AL,2019,724364185.79,1007972575.2920331,2019,5
BA,2019,2232101993.62,3106030970.277566,2019,5
CE,2019,1843176072.89,2564829914.777432,2019,5
MA,2019,917371897.92,1276548085.3232543,2019,5
