ano_bim,bimestre,uf,dcl_nominal,dcl_real
2020,5,PE,13081473274.29,17808687996.350586
2020,5,PI,4367120256.94,5945254060.277701
2020,5,RN,3996480721.14,5440677571.546339
2020,5,SE,3364371947.53,4580145451.582407
2020,6,AL,5813489668.41,7739988170.018994
2020,6,BA,21511870767.47,28640564403.158855
2020,6,CE,11973622896.16,15941492090.738323
2020,6,MA,6816589736.78,9075499731.124514
2020,6,PB,1233663646.5,1642480261.3099058
2020,6,PE,13081473274.29,17416466557.016594
2020,6,PI,4367120256.94,5814314818.419668
2020,6,RN,3996480721.14,5320851204.297871
2020,6,SE,3364371947.53,4479271583.62836
2021,1,AL,5426243123.63,7144951666.915067
2021,1,BA,19978749864.06,26306820186.965916
2021,1,CE,10006204727.01,13175570558.643934
2021,1,MA,5790095423.85,7624050564.57534
2021,1,PB,127805303.87,168286362.7967454
2021,1,PE,11358409079.68,14956072191.817366
2021,1,PI,4373408462.95,5758642098.319986
2021,1,RN,3393966246.42,4468971300.64266
2021,1,SE,2957874823.68,3894752256.850698
2021,2,AL,5426243123.63,7057238449.9511595
2021,2,BA,19978749864.06,25983871070.68643
2021,2,CE,10006204727.01,13013823953.081158
2021,2,MA,5790095423.85,7530455809.496593
2021,2,PB,127805303.87,166220437.23976666
2021,2,PE,11358409079.68,14772467702.067873
2021,2,PI,4373408462.95,5687947564.985863
2021,2,RN,3393966246.42,4414109089.171887
2021,2,SE,2957874823.68,3846939302.242803
2021,3,AL,3809550539.34,4887917114.809886
2021,3,BA,15821114988.55,20299585982.473007
2021,3,CE,9174393509.02,11771382106.01314
2021,3,MA,5243622810.43,6727931133.615764
2021,3,PB,-617704279.55,-792557360.4351873
2021,3,PE,9477810772.1,12160687463.120817
2021,3,PI,3935666223.62,5049732269.97645
2021,3,RN,3101630366.17,3979606516.322247
2021,3,SE,2587410800.57,3319827209.1544785
2021,4,AL,3809550539.34,4799682063.600053
2021,4,BA,15821114988.55,19933144619.69397
2021,4,CE,9174393509.02,11558889038.20158
2021,4,MA,5243622810.43,6606480762.390738
2021,4,PB,-617704279.55,-778250379.0273308
2021,4,PE,9477810772.1,11941166784.71075
2021,4,PI,3935666223.62,4958576185.498809
2021,4,RN,3101630366.17,3907767985.407155
2021,4,SE,2587410800.57,3259898794.468393
