uf,ano,rais_vinculos_ativos,remuneracao_media,rais_remuneracao_media_real,ano_bim,bimestre
SE,2022,579357,,,2022,4
AL,2022,797410,,,2022,5
BA,2022,3576793,,,2022,5
CE,2022,2344273,,,2022,5
MA,2022,1239429,,,2022,5
PB,2022,984804,,,2022,5
PE,2022,2492153,,,2022,5
PI,2022,659395,,,2022,5
RN,2022,911347,,,2022,5
SE,2022,579357,,,2022,5
AL,2022,797410,,,2022,6
BA,2022,3576793,,,2022,6
CE,2022,2344273,,,2022,6
MA,2022,1239429,,,2022,6
PB,2022,984804,,,2022,6
PE,2022,2492153,,,2022,6
PI,2022,659395,,,2022,6
RN,2022,911347,,,2022,6
SE,2022,579357,,,2022,6
