ano,mes,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2016,11,BA,44007,51554,-7547,95561,1302.8404056047968
2016,11,CE,30991,31656,-665,62647,1167.6466869921944
2016,11,MA,11572,13320,-1748,24892,1270.3239595050618
2016,11,PB,9018,9365,-347,18383,1127.5915247783278
2016,11,PE,29744,32976,-3232,62720,1232.5309470663265
2016,11,PI,7544,7585,-41,15129,1128.916782338555
2016,11,RN,10617,11437,-820,22054,1145.2901061032012
2016,11,SE,7233,7117,116,14350,1142.2657142857142
2016,12,AL,5441,7434,-1993,12875,1181.43813592233
2016,12,BA,35530,51802,-16272,87332,1421.9722094993817
2016,12,CE,23354,30060,-6706,53414,1216.3429625191898
2016,12,MA,8366,13113,-4747,21479,1364.6822477768983
2016,12,PB,6826,10684,-3858,17510,1143.3784123358082
2016,12,PE,24228,38867,-14639,63095,1315.8929233695221
2016,12,PI,5204,7172,-1968,12376,1228.3692630898513
2016,12,RN,8992,12313,-3321,21305,1154.8375029335837
2016,12,SE,4725,7622,-2897,12347,1242.419778083745
2017,1,AL,7106,13812,-6706,20918,1137.7363514676356
2017,1,BA,47993,48138,-145,96131,1352.67749217214
2017,1,CE,31191,38627,-7436,69818,1268.894139047237
2017,1,MA,11047,13196,-2149,24243,1346.8708080683084
2017,1,PB,10500,16938,-6438,27438,1102.3455062322328
2017,1,PE,29531,43441,-13910,72972,1283.6787671983775
2017,1,PI,7434,7885,-451,15319,1173.4055747764214
2017,1,RN,11737,14692,-2955,26429,1159.8616292708766
2017,1,SE,7224,7837,-613,15061,1190.71057698692
2017,2,AL,5619,17022,-11403,22641,1120.3870412084273
2017,2,BA,44017,45721,-1704,89738,1333.6342797922841
2017,2,CE,32422,32358,64,64780,1252.0348255634456
2017,2,MA,10434,12397,-1963,22831,1347.5754894660768
2017,2,PB,9499,10643,-1144,20142,1154.8753847681462
2017,2,PE,27739,44081,-16342,71820,1260.6050543024228
2017,2,PI,8369,8191,178,16560,1131.975301932367
2017,2,RN,10872,12154,-1282,23026,1158.7849387648746
2017,2,SE,6455,9867,-3412,16322,1149.38653351305
2017,3,AL,5955,15290,-9335,21245,1181.7759472817133
2017,3,BA,45596,48516,-2920,94112,1340.193503485209
2017,3,CE,30701,35376,-4675,66077,1256.4815291251116
2017,3,MA,10365,13166,-2801,23531,1371.5919000467468
2017,3,PB,8615,10554,-1939,19169,1187.61662058532
2017,3,PE,29119,32951,-3832,62070,1306.0222007410987
2017,3,PI,7262,8209,-947,15471,1211.4511020619223
2017,3,RN,11662,12231,-569,23893,1165.2939773155317
2017,3,SE,6087,8564,-2477,14651,1224.1114599686027
