ano,sigla_uf,divisao_cnae,saldo,salario_medio,total_movimentacoes
2022,BA,E,1517,1672.3168073625532,12631
2022,BA,F,19870,1781.5128157337676,243096
2022,BA,G,17513,1406.2816049194614,367845
2022,BA,H,6541,1757.663051714532,72189
2022,BA,I,7168,1306.5627361628192,96204
2022,BA,J,2903,2219.972855088588,25243
2022,BA,K,180,2488.0498671235864,7838
2022,BA,L,573,1591.593904883791,6177
2022,BA,M,6573,1935.1569802411987,54509
2022,BA,N,14021,1353.9579423378136,214677
2022,BA,O,2364,1976.0080362532426,7126
2022,BA,P,6881,1219.5082569081399,52667
2022,BA,Q,6933,1794.9492519095156,92201
2022,BA,R,863,2306.5522944411905,7537
2022,BA,S,748,1549.5847654609934,26562
2022,BA,T,-6,1114.5380902777777,54
2022,BA,U,1,3062.745,11
2022,CE,A,58,1250.3161243838194,21336
2022,CE,B,166,1703.792067705874,2366
2022,CE,C,7300,1261.5472284088664,161516
2022,CE,D,14,6122.126860588495,538
2022,CE,E,275,1394.50724703508,6993
2022,CE,F,8205,1642.962295973679,121309
2022,CE,G,10443,1339.479401065091,222173
2022,CE,H,1821,1562.2607759724372,37433
2022,CE,I,5414,1264.774089264016,62828
2022,CE,J,2880,2069.883216633252,33232
2022,CE,K,351,2815.676684024475,10719
2022,CE,L,371,1546.05332372393,4791
2022,CE,M,5780,1792.3158200708015,32824
2022,CE,N,19401,1527.1977639556378,160499
2022,CE,O,1668,2010.0306750288755,2954
2022,CE,P,1449,1343.5545730604485,36119
2022,CE,Q,2255,1922.9054053923392,38001
2022,CE,R,1107,2728.780681336119,8179
2022,CE,S,-1147,1662.8380299704952,31733
2022,CE,T,2,1190.7954545454545,38
2022,CE,U,-1,1874.02,1
2022,MA,A,2108,1564.8851181218977,37238
2022,MA,B,90,2840.1150987840324,1198
2022,MA,C,2897,1600.9117398942492,30691
2022,MA,D,98,5477.037227093805,552
2022,MA,E,321,1596.0350165366588,1755
2022,MA,F,1461,1655.4879123239455,72783
2022,MA,G,8824,1347.4718333250476,134882
2022,MA,H,1104,1857.2127929452483,20924
2022,MA,I,2810,1368.647774104994,20496
2022,MA,J,1252,1560.3673611595887,7982
2022,MA,K,44,2669.2611314774645,2392
2022,MA,L,137,1528.7231832448613,1801
2022,MA,M,1460,1673.8038241916838,13122
2022,MA,N,5784,1467.6357833310713,51718
2022,MA,O,1144,1279.6871711956812,3274
2022,MA,P,1596,1196.549384309687,14298
2022,MA,Q,4652,1712.754617321224,26086
2022,MA,R,233,1308.6644927562422,1711
2022,MA,S,2578,1782.9279655365783,13940
2022,MA,T,1,478.8210625,17
2022,PB,A,426,1309.8837164281179,11284
2022,PB,B,45,1613.8297772283477,633
2022,PB,C,2801,1167.9191969762107,47993
2022,PB,D,81,2576.7912192869494,671
2022,PB,E,506,1653.1249435869734,2066
2022,PB,F,2643,1523.8196266786988,58813
2022,PB,G,4984,1307.2707044876179,87722
2022,PB,H,264,1493.8252439925147,7826
2022,PB,I,1492,1205.3529891099686,22216
2022,PB,J,412,2012.848904176735,7292
2022,PB,K,-18,2317.7304550195777,1868
2022,PB,L,205,1576.5423802410987,1757
2022,PB,M,1336,1553.6112116813665,9132
2022,PB,N,5242,1206.1338430464264,54786
2022,PB,O,-810,2804.0836775030525,1302
2022,PB,P,1057,1008.4296929825919,13639
2022,PB,Q,1796,1592.3038240210078,13072
