ano,mes,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2021,5,BA,59030,47912,11118,106942,1489.4365735191095
2021,5,CE,31868,27293,4575,59161,1415.1751401659565
2021,5,MA,15803,12102,3701,27905,1414.0552203732855
2021,5,PB,12283,9301,2982,21584,1226.5100794438927
2021,5,PE,36428,28178,8250,64606,1443.7295043858242
2021,5,PI,9450,6031,3419,15481,1324.8343785121756
2021,5,RN,12928,10757,2171,23685,1247.4519874730022
2021,5,SE,6582,6057,525,12639,1422.6509862899877
2021,6,AL,11828,6841,4987,18669,1290.4040155029988
2021,6,BA,56833,48303,8530,105136,1546.8100115372958
2021,6,CE,38319,28390,9929,66709,1426.0694216136262
2021,6,MA,18986,11943,7043,30929,1400.127661023808
2021,6,PB,12123,8733,3390,20856,1256.02491776956
2021,6,PE,35606,28679,6927,64285,29074.386080627097
2021,6,PI,11712,6605,5107,18317,1254.6333303541503
2021,6,RN,15101,10219,4882,25320,1278.6533998230516
2021,6,SE,7080,5968,1112,13048,1290.8504358911093
2021,7,AL,12073,7979,4094,20052,1276.7901265952016
2021,7,BA,59316,48361,10955,107677,1480.0524231842905
2021,7,CE,43355,29677,13678,73032,1391.7812204147176
2021,7,MA,18427,13306,5121,31733,1382.200253347335
2021,7,PB,14101,10654,3447,24755,1227.1622171741978
2021,7,PE,38370,29193,9177,67563,1430.7918397241253
2021,7,PI,9736,6894,2842,16630,1389.9654013202542
2021,7,RN,15974,11347,4627,27321,1243.9455935433248
2021,7,SE,7204,5688,1516,12892,1334.1814909002273
2021,8,AL,14350,8863,5487,23213,1218.1674882101458
2021,8,BA,65262,46957,18305,112219,1435.256909931938
2021,8,CE,48557,31784,16773,80341,1345.9001768704045
2021,8,MA,18092,13417,4675,31509,1371.5069337416846
2021,8,PB,21225,10670,10555,31895,1143.8431785816008
2021,8,PE,48706,31315,17391,80021,1317.061310173124
2021,8,PI,10610,7631,2979,18241,1302.0752385490835
2021,8,RN,19220,11670,7550,30890,1226.0182738391172
2021,8,SE,8475,6727,1748,15202,1254.005635214943
2021,9,AL,25628,8650,16978,34278,1072.7174354018614
2021,9,BA,63599,52121,11478,115720,1501.7234726125457
2021,9,CE,47532,33428,14104,80960,1347.5978704481881
2021,9,MA,17610,14344,3266,31954,1447.9970842890834
2021,9,PB,15623,10486,5137,26109,1239.052345750873
2021,9,PE,60743,33586,27157,94329,1296.0194295580854
2021,9,PI,10724,7347,3377,18071,1411.3502919461196
2021,9,RN,17588,11202,6386,28790,1257.604166519855
2021,9,SE,13898,7510,6388,21408,1287.0627617311197
2021,11,AL,12200,8473,3727,20673,56508.139026283476
2021,11,BA,67422,51432,15990,118854,1413.0670708804607
2021,11,CE,43190,30597,12593,73787,1414.137759963855
2021,11,MA,17321,14475,2846,31796,1401.3330504550277
2021,11,PB,14461,10063,4398,24524,1270.7671191398204
2021,11,PE,45556,34531,11025,80087,1416.4378436916243
2021,11,PI,9545,7929,1616,17474,1359.3831864445986
2021,11,RN,15108,11899,3209,27007,1316.3577829590388
2021,11,SE,8464,6636,1828,15100,1256.1002051937567
2021,12,AL,10231,9609,622,19840,1207.762951359012
2021,12,BA,57636,63271,-5635,120907,1436.567675945356
2021,12,CE,33542,35029,-1487,68571,1390.2820850297987
2021,12,MA,15163,16250,-1087,31413,1413.4470254149378
2021,12,PB,12751,12973,-222,25724,1249.770184029944
2021,12,PE,35249,41400,-6151,76649,1436.0853424262295
2021,12,PI,7765,9661,-1896,17426,1323.650208357382
2021,12,RN,12710,13732,-1022,26442,1274.7684667375456
2021,12,SE,7621,8209,-588,15830,1254.8295269491744
2022,1,AL,11372,11696,-324,23068,1390.486629174296
2022,1,BA,66661,55382,11279,122043,1480.2900808834454
2022,1,CE,40658,42166,-1508,82824,1501.4462495106675
2022,1,MA,17960,17369,591,35329,1494.6883585909418
2022,1,PB,14223,15207,-984,29430,1282.9124581842957
2022,1,PE,41584,41047,537,82631,1446.1473965087282
2022,1,PI,9359,9879,-520,19238,1360.374884000418
2022,1,RN,14154,16584,-2430,30738,1291.6306158262119
2022,1,SE,8298,9551,-1253,17849,1258.109925971971
2022,2,AL,12526,13059,-533,25585,1312.858216080402
2022,2,BA,73197,60584,12613,133781,1475.5959999698555
2022,2,CE,46076,38023,8053,84099,1429.2623119266054
2022,2,MA,19824,16300,3524,36124,1450.481614362296
2022,2,PB,15065,16602,-1537,31667,1250.365300670971
2022,2,PE,43524,42990,534,86514,1572.1059973000338
2022,2,PI,10741,8947,1794,19688,1398.4516144320442
2022,2,RN,15419,13830,1589,29249,1381.2152729643483
2022,2,SE,9926,8206,1720,18132,1356.0709101005052
2022,3,AL,11801,21880,-10079,33681,1233.5098821153902
2022,3,BA,74220,66268,7952,140488,1479.933240689945
2022,3,CE,44540,41154,3386,85694,1461.511317211517
2022,3,MA,19008,17397,1611,36405,1485.422426357441
2022,3,PB,15100,14228,872,29328,1286.123717804387
2022,3,PE,42884,49134,-6250,92018,1402.2396815217392
2022,3,PI,10361,9513,848,19874,1417.7707383361014
2022,3,RN,14530,15591,-1061,30121,1350.731943088621
2022,3,SE,9049,11576,-2527,20625,1302.1188970802214
2022,4,AL,13071,13305,-234,26376,1336.5307771077482
2022,4,BA,74882,58975,15907,133857,1512.5555324904353
2022,4,CE,40931,35618,5313,76549,1491.7461797488534
2022,4,MA,20212,16800,3412,37012,1504.6622363656018
2022,4,PB,15655,13243,2412,28898,1302.9914552690777
2022,4,PE,40300,41180,-880,81480,1610.512467961308
2022,4,PI,10590,9576,1014,20166,1361.934590546104
2022,4,RN,15784,14162,1622,29946,1376.894396019103
2022,4,SE,9138,7453,1685,16591,1345.7984362934362
2022,5,AL,14977,11542,3435,26519,1356.109986042476
2022,5,BA,76499,60157,16342,136656,1514.0640805132223
2022,5,CE,45390,37918,7472,83308,1481.4683738928748
2022,5,MA,21894,16984,4910,38878,1548.9089378344997
2022,5,PB,15720,12592,3128,28312,1316.6407625110523
2022,5,PE,44456,37948,6508,82404,1519.298635392126
2022,5,PI,11789,9111,2678,20900,1395.0070797011208
2022,5,RN,17272,13753,3519,31025,1394.0164242639232
2022,5,SE,9005,8150,855,17155,1361.4913859076062
2022,6,AL,13429,9925,3504,23354,1382.8041495375128
2022,6,BA,70096,56737,13359,126833,1678.2202718030019
2022,6,CE,46233,36636,9597,82869,1541.3742485182815
2022,6,MA,23248,16515,6733,39763,1559.2898666968485
2022,6,PB,15816,12183,3633,27999,1315.0044006145708
2022,6,PE,43326,36192,7134,79518,1501.7036448821473
2022,6,PI,12862,8668,4194,21530,1363.1403103224009
2022,6,RN,16875,13146,3729,30021,1377.5916465100784
2022,6,SE,8554,7718,836,16272,1462.3772205828109
2022,7,AL,12602,10684,1918,23286,1396.615734548268
2022,7,BA,73743,60632,13111,134375,1524.6076406260474
2022,7,CE,48261,38164,10097,86425,1504.175723627105
2022,7,MA,22862,17554,5308,40416,1549.7167411112212
2022,7,PB,17315,13171,4144,30486,1389.933066421633
2022,7,PE,49206,40122,9084,89328,1476.2920837439526
2022,7,PI,11198,9168,2030,20366,1404.902422143629
2022,7,RN,17076,14560,2516,31636,1385.9035328905757
2022,7,SE,9399,8579,820,17978,1355.8251124345986
2022,8,AL,16057,11722,4335,27779,1330.426075931129
2022,8,BA,81422,64006,17416,145428,1566.7406736111589
2022,8,CE,50815,42102,8713,92917,1477.975497010908
2022,8,MA,24545,19073,5472,43618,1617.3435209652262
2022,8,PB,20058,14145,5913,34203,1280.1887481257168
2022,8,PE,57262,42143,15119,99405,1586.548283262667
2022,8,PI,11900,11069,831,22969,1379.974656126138
2022,8,RN,21415,15077,6338,36492,1367.0370020837902
2022,8,SE,9916,8044,1872,17960,1374.2402111773556
2022,9,AL,26693,11054,15639,37747,1230.4985179787489
2022,9,BA,74874,59274,15600,134148,1578.2140772064856
2022,9,CE,50487,38396,12091,88883,1484.2161837332433
2022,9,MA,23412,16330,7082,39742,1571.6471395132264
2022,9,PB,16777,12958,3819,29735,1359.9981539083012
2022,9,PE,58782,38039,20743,96821,1455.288797576334
2022,9,PI,12035,9254,2781,21289,1426.8414256858323
2022,9,RN,18352,14120,4232,32472,1393.961375304305
2022,9,SE,13139,7861,5278,21000,1365.697070649326
2022,10,AL,15410,11046,4364,26456,1352.6684387882453
2022,10,BA,70303,63572,6731,133875,1553.0284285724965
2022,10,CE,44194,39184,5010,83378,1524.1669543860494
2022,10,MA,20068,16941,3127,37009,1522.848775085195
2022,10,PB,14282,13037,1245,27319,1453.4221232224015
2022,10,PE,46596,38300,8296,84896,1509.9329589406161
2022,10,PI,10184,9265,919,19449,1431.4121710052475
2022,10,RN,15155,13202,1953,28357,1409.3823858781993
2022,10,SE,9012,8029,983,17041,1394.2499605859168
2022,11,AL,13452,10788,2664,24240,1446.6146282151851
2022,11,BA,65230,60987,4243,126217,1551.8731079035185
2022,11,CE,43542,36985,6557,80527,1546.6243949614282
2022,11,MA,19670,17935,1735,37605,1527.7290782599425
2022,11,PB,14754,12202,2552,26956,1386.2235382610313
2022,11,PE,45955,37702,8253,83657,1508.3722068742825
2022,11,PI,10030,10079,-49,20109,1522.582896229231
2022,11,RN,15418,13613,1805,29031,1424.6610285399145
2022,11,SE,8540,7297,1243,15837,1366.9292666750882
2022,12,AL,9906,13816,-3910,23722,1446.8547604049495
2022,12,BA,54958,71217,-16259,126175,1578.237747696264
2022,12,CE,30570,37539,-6969,68109,1547.6069434478297
2022,12,MA,15024,19935,-4911,34959,1511.6069551768583
2022,12,PB,12063,14451,-2388,26514,1355.8049102824154
2022,12,PE,34698,44093,-9395,78791,20721.560090693958
2022,12,PI,7826,11856,-4030,19682,1356.6047809921565
2022,12,RN,12859,15877,-3018,28736,1401.2389024948097
2022,12,SE,7193,8483,-1290,15676,1510.884507242628
2023,1,AL,13282,13415,-133,26697,1472.7625304054054
2023,1,BA,69684,66040,3644,135724,1629.7644368497504
2023,1,CE,44657,47638,-2981,92295,1577.480228926276
2023,1,MA,19660,18603,1057,38263,1644.3530698817867
2023,1,PB,14528,16251,-1723,30779,1369.4387475959188
2023,1,PE,45665,45338,327,91003,18117.137607205343
2023,1,PI,10074,9798,276,19872,1484.4889626681445
2023,1,RN,15540,15577,-37,31117,1442.9574267544856
2023,1,SE,9621,10038,-417,19659,1442.8337378591145
2023,2,AL,11656,11487,169,23143,1498.1997319498485
2023,2,BA,69366,61265,8101,130631,1570.7268933757327
2023,2,CE,43169,38821,4348,81990,1554.2052141681415
2023,2,MA,18068,17237,831,35305,1586.5281836734694
2023,2,PB,15000,14486,514,29486,1419.6807739591115
2023,2,PE,47443,40682,6761,88125,1579.0426328099277
2023,2,PI,10279,9357,922,19636,1548.4958212535728
2023,2,RN,15190,14763,427,29953,1432.096944919374
2023,2,SE,9312,8014,1298,17326,1392.158579581853
2023,3,AL,14951,14824,127,29775,1472.7292985049555
2023,3,BA,82035,72707,9328,154742,1609.0568835060153
2023,3,CE,47553,42808,4745,90361,1576.9477303550061
2023,3,MA,21582,18824,2758,40406,1614.4415048038827
2023,3,PB,17226,18041,-815,35267,1337.6146484308495
2023,3,PE,46427,51692,-5265,98119,1540.4872830488937
2023,3,PI,12111,10181,1930,22292,1523.2115846748807
2023,3,RN,18036,18114,-78,36150,1436.4778677631032
2023,3,SE,10760,9371,1389,20131,1467.2063236613822
2023,4,AL,12148,16211,-4063,28359,1367.9117950978664
