ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2015,SE,1,2.0,6720,7084,-364,923.2535908970747,13804
2015,SE,1,3.0,1920,2587,-667,987.4076863250008,4507
2015,SE,1,4.0,4274,5444,-1170,1013.7059087454295,9718
2015,SE,1,5.0,3782,4535,-753,1029.7297458370538,8317
2015,SE,1,6.0,4546,4888,-342,945.1093844822285,9434
2015,SE,1,7.0,22779,23023,-244,1038.781297193908,45802
2015,SE,1,8.0,1086,1110,-24,1258.499841761242,2196
2015,SE,1,9.0,1739,1885,-146,2811.4022135434825,3624
2015,SE,2,1.0,45,65,-20,855.0280758714969,110
2015,SE,2,2.0,663,656,7,844.3047224545779,1319
2015,SE,2,3.0,223,294,-71,961.656562093737,517
2015,SE,2,4.0,590,797,-207,848.1614238923262,1387
2015,SE,2,5.0,863,1080,-217,827.9653641502607,1943
2015,SE,2,6.0,1749,1952,-203,708.2916343843156,3701
2015,SE,2,7.0,14661,14882,-221,871.0841830303623,29543
2015,SE,2,8.0,1202,1351,-149,1048.6949692462204,2553
2015,SE,2,9.0,2534,2566,-32,1740.8753467959182,5100
2016,AL,1,1.0,4638,4340,298,949.6519501412049,8978
2016,AL,1,2.0,15140,14521,619,1018.1192622923394,29661
2016,AL,1,3.0,4351,3794,557,1052.7783021060154,8145
2016,AL,1,4.0,9641,7474,2167,1067.4425749061488,17115
2016,AL,1,5.0,4968,5914,-946,1103.1855077190314,10882
2016,AL,1,6.0,4214,4782,-568,1082.0235934653665,8996
2016,AL,1,7.0,24959,25928,-969,1149.3812935607416,50887
2016,AL,1,8.0,1260,1344,-84,1384.3578069180528,2604
2016,AL,1,9.0,1907,2165,-258,2831.4019171095165,4072
2016,AL,2,1.0,108,118,-10,892.6942425901225,226
2016,AL,2,2.0,483,464,19,948.8775315388863,947
2016,AL,2,3.0,258,314,-56,933.9114486657475,572
2016,AL,2,4.0,650,607,43,895.2543909356149,1257
2016,AL,2,5.0,1171,1390,-219,938.5466510990725,2561
2016,AL,2,6.0,1178,1521,-343,808.8672394050275,2699
2016,AL,2,7.0,14168,14455,-287,975.8884694530298,28623
2016,AL,2,8.0,1356,1302,54,1191.6409547223589,2658
2016,AL,2,9.0,2728,2709,19,1879.2403144978111,5437
2016,BA,1,1.0,2415,3038,-623,978.5894767245945,5453
2016,BA,1,2.0,15412,20916,-5504,1151.5155265806113,36328
2016,BA,1,3.0,9781,12977,-3196,1144.6090986667264,22758
2016,BA,1,4.0,21877,27158,-5281,1199.9629077415402,49035
2016,BA,1,5.0,23629,30303,-6674,1243.9701175574394,53932
2016,BA,1,6.0,24788,28417,-3629,1102.8853838959976,53205
2016,BA,1,7.0,177643,190941,-13298,1288.699365831891,368584
2016,BA,1,8.0,5499,5938,-439,1620.9584567007194,11437
2016,BA,1,9.0,13465,14778,-1313,3488.875005894064,28243
