ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2020,RN,2,7,26893,26770,123,1017.1696048434301,53663
2020,RN,2,8,1992,1816,176,1203.2687132294948,3808
2020,RN,2,9,5696,5361,335,1689.5157772573782,11057
2020,RN,2,10,142,151,-9,1844.0636132911266,293
2020,RN,2,11,32,39,-7,1455.576883116883,71
2020,RN,2,80,412,431,-19,2626.27514148438,843
2020,SE,1,1,562,715,-153,1051.323707236611,1277
2020,SE,1,2,4782,5378,-596,1091.8646649506686,10160
2020,SE,1,3,1494,1782,-288,1144.9465235518496,3276
2020,SE,1,4,3428,3625,-197,1088.208228289432,7053
2020,SE,1,5,3241,3912,-671,1176.4712695532137,7153
2020,SE,1,6,3741,4120,-379,1082.7538511716002,7861
2020,SE,1,7,27283,26546,737,1228.4000073610516,53829
2020,SE,1,8,1253,1220,33,1427.9114643154533,2473
2020,SE,1,9,2127,2211,-84,3403.112049007934,4338
2020,SE,1,10,91,106,-15,2144.4973923137127,197
2020,SE,1,11,35,36,-1,1475.7387290013228,71
2020,SE,1,80,126,189,-63,3383.1020859549385,315
2020,SE,2,1,41,53,-12,988.6289117826618,94
2020,SE,2,2,371,476,-105,1029.8991825621192,847
2020,SE,2,3,98,180,-82,973.7080202588187,278
2020,SE,2,4,365,533,-168,878.9743249339027,898
2020,SE,2,5,595,931,-336,961.4471875465407,1526
2020,SE,2,6,1098,1398,-300,791.1484708180036,2496
2020,SE,2,7,14524,15306,-782,1028.6354034525873,29830
2020,SE,2,8,1134,1257,-123,1164.8229084521402,2391
2020,SE,2,9,2888,3135,-247,1730.5990802859758,6023
2020,SE,2,10,80,98,-18,1299.4085543548229,178
2020,SE,2,11,16,30,-14,1828.1692664742664,46
2020,SE,2,80,175,247,-72,2089.917609111679,422
2021,AL,1,1,3647,3633,14,849.6981976559357,7280
2021,AL,1,2,12290,11089,1201,873.9487152917652,23379
2021,AL,1,3,4785,4992,-207,1102.185018982311,9777
2021,AL,1,4,7394,6919,475,1107.00820618224,14313
2021,AL,1,5,6913,6511,402,1205.3117720272842,13424
2021,AL,1,6,5236,4851,385,1079.6622839754402,10087
2021,AL,1,7,51281,37618,13663,13261.881974929465,88899
2021,AL,1,8,1777,1597,180,1443.5318193262513,3374
2021,AL,1,9,3111,2579,532,2487.5745968755696,5690
2021,AL,1,10,90,90,0,1801.7913959836462,180
2021,AL,1,11,21,30,-9,1997.7687229437229,51
2021,AL,1,80,292,279,13,3779.8113133309366,571
2021,AL,2,1,112,111,1,960.4472149693058,223
2021,AL,2,2,465,486,-21,999.0161449201895,951
2021,AL,2,3,189,183,6,1123.1236705962986,372
2021,AL,2,4,700,669,31,1029.3298466162453,1369
2021,AL,2,5,1101,1075,26,1081.8290746734638,2176
2021,AL,2,6,1475,1181,294,876.5382873096531,2656
2021,AL,2,7,25790,17388,8402,1105.3648133165875,43178
2021,AL,2,8,1892,1517,375,1242.8532303262095,3409
2021,AL,2,9,4489,3602,887,1817.4516455630337,8091
2021,AL,2,10,94,125,-31,1236.3169608461712,219
2021,AL,2,11,23,18,5,932.2547359307359,41
2021,AL,2,80,410,328,82,2380.1164219596258,738
2021,AL,2,99,0,1,-1,,1
2021,BA,1,1,2307,1976,331,1270.1278138366265,4283
2021,BA,1,2,14989,13323,1666,1302.1695057506893,28312
2021,BA,1,3,8804,8352,452,1386.038955486684,17156
2021,BA,1,4,23624,20926,2698,1291.8951282274159,44550
2021,BA,1,5,25781,23962,1819,1421.7831157642142,49743
2021,BA,1,6,34763,26601,8162,1193.3963532545113,61364
2021,BA,1,7,289956,231493,58463,1445.9510908942125,521449
2021,BA,1,8,9192,7650,1542,1893.629463538638,16842
2021,BA,1,9,18182,17525,657,3390.6000588356906,35707
2021,BA,1,10,474,519,-45,3482.841027821014,993
2021,BA,1,11,168,201,-33,2867.9661601919456,369
2021,BA,1,80,1637,1770,-133,4617.892206949564,3407
2021,BA,2,1,508,368,140,1143.099854923358,876
2021,BA,2,2,2514,2257,257,1021.3275048472195,4771
2021,BA,2,3,1417,1412,5,1064.8281492641956,2829
2021,BA,2,4,4745,3987,758,992.3741964168522,8732
2021,BA,2,5,5739,4903,836,1080.964083633006,10642
2021,BA,2,6,12459,8516,3943,873.8919848712511,20975
2021,BA,2,7,160013,123982,36031,1153.3346245978294,283995
2021,BA,2,8,10743,8314,2429,1347.6294300523184,19057
2021,BA,2,9,30200,26590,3610,2387.9556316473117,56790
2021,BA,2,10,590,675,-85,2285.7248459563166,1265
2021,BA,2,11,203,206,-3,2137.615741096346,409
2021,BA,2,80,3072,2731,341,3036.015558389401,5803
2021,BA,2,99,0,1,-1,,1
2021,CE,1,1,1489,1389,100,1210.3213849448905,2878
2021,CE,1,2,8113,7391,722,1294.1640808956338,15504
2021,CE,1,3,4347,4292,55,1313.716633759241,8639
2021,CE,1,4,15628,13606,2022,1284.9470366427513,29234
2021,CE,1,5,26301,22518,3783,1299.0978283546692,48819
2021,CE,1,6,16506,14036,2470,1166.9595344141728,30542
2021,CE,1,7,177737,136284,41453,1272.8320893262762,314021
2021,CE,1,8,8900,7040,1860,1755.0536992864834,15940
2021,CE,1,9,15430,13488,1942,3549.7660976887873,28918
2021,CE,1,10,445,478,-33,3669.924286417347,923
2021,CE,1,11,104,126,-22,3305.0003354228047,230
2021,CE,1,80,1613,1464,149,5258.450033360301,3077
2021,CE,2,1,211,164,47,1113.5528469192652,375
2021,CE,2,2,882,704,178,1011.766330047384,1586
2021,CE,2,3,611,656,-45,1055.4628420092404,1267
2021,CE,2,4,2649,2314,335,1007.0692287938037,4963
2021,CE,2,5,6172,4615,1557,1026.577310915605,10787
2021,CE,2,6,5526,4428,1098,957.3737649104828,9954
2021,CE,2,7,106740,78895,27845,1109.1735018061268,185635
2021,CE,2,8,9746,7508,2238,1368.9553442513131,17254
2021,CE,2,9,22360,17839,4521,2341.765606581392,40199
2021,CE,2,10,517,506,11,2664.1427469875516,1023
2021,CE,2,11,131,127,4,2754.866063875998,258
2021,CE,2,80,2291,1881,410,3333.499037728507,4172
2021,MA,1,1,1032,941,91,1136.0846193989155,1973
2021,MA,1,2,4213,3953,260,1405.577521729648,8166
2021,MA,1,3,2988,2782,206,1381.9519235758091,5770
2021,MA,1,4,6782,6253,529,1434.4829289499955,13035
2021,MA,1,5,11564,9971,1593,1363.2807037908353,21535
2021,MA,1,6,6579,5582,997,1281.7176265055953,12161
2021,MA,1,7,83021,66000,17021,1344.6786144202756,149021
2021,MA,1,8,2131,1817,314,1754.3971083659383,3948
2021,MA,1,9,5470,4709,761,2910.14130437198,10179
2021,MA,1,10,146,156,-10,3012.7392169015943,302
2021,MA,1,11,40,43,-3,1282.291626505847,83
2021,MA,1,80,473,422,51,4386.351699865581,895
2021,MA,2,1,135,109,26,905.4256036957694,244
2021,MA,2,2,224,239,-15,1140.6996341069878,463
2021,MA,2,3,189,189,0,1155.710027610527,378
2021,MA,2,4,474,447,27,1117.1855095290975,921
2021,MA,2,5,1345,1222,123,1115.5274788011952,2567
2021,MA,2,6,1535,1141,394,953.8601529711958,2676
2021,MA,2,7,43000,32540,10460,1149.5934233308908,75540
2021,MA,2,8,2376,1967,409,1411.6748387148746,4343
2021,MA,2,9,9070,6808,2262,2111.602458466551,15878
2021,MA,2,10,197,163,34,1415.346981229646,360
2021,MA,2,11,30,38,-8,1775.5058489557225,68
2021,MA,2,80,689,547,142,2726.615354408805,1236
2021,PB,1,1,1851,1549,302,1025.7722568570236,3400
2021,PB,1,2,7884,6817,1067,1114.7865714179009,14701
2021,PB,1,3,3633,2921,712,1187.547282172985,6554
2021,PB,1,4,6584,6293,291,1184.395938311081,12877
2021,PB,1,5,7194,6496,698,1241.154481238138,13690
2021,PB,1,6,6781,5949,832,1062.0706360352438,12730
2021,PB,1,7,60150,45945,14205,1195.6670823077475,106095
2021,PB,1,8,3613,2615,998,1475.6750030356386,6228
2021,PB,1,9,4917,4278,639,2211.425639387313,9195
2021,PB,1,10,171,191,-20,1934.564961638859,362
2021,PB,1,11,71,75,-4,1796.2901574890625,146
2021,PB,1,80,384,347,37,3201.8406956198455,731
2021,PB,2,1,78,52,26,980.778044077135,130
2021,PB,2,2,241,220,21,1056.1010191160706,461
2021,PB,2,3,218,192,26,1068.879586453536,410
2021,PB,2,4,617,599,18,992.567407952669,1216
2021,PB,2,5,1362,1127,235,995.3922697346934,2489
2021,PB,2,6,1916,1414,502,846.2747094597536,3330
2021,PB,2,7,32401,23562,8839,1068.770796394106,55963
2021,PB,2,8,3889,2596,1293,1135.7263421446826,6485
2021,PB,2,9,6909,5625,1284,1621.254510223419,12534
2021,PB,2,10,192,211,-19,1608.0323215467042,403
2021,PB,2,11,71,73,-2,1284.785913510101,144
2021,PB,2,80,540,499,41,1944.3710796059393,1039
2021,PE,1,1,4433,3779,654,753.2779321802038,8212
2021,PE,1,2,19826,17849,1977,866.7625513543325,37675
2021,PE,1,3,7395,7071,324,167913.72603710508,14466
2021,PE,1,4,16405,15296,1109,1205.0096032832016,31701
2021,PE,1,5,19096,17152,1944,1420.464296744994,36248
2021,PE,1,6,17184,14461,2723,1297.8685597338533,31645
2021,PE,1,7,179773,145790,33983,1316.1745121898964,325563
2021,PE,1,8,7885,6131,1754,1808.2071514500174,14016
2021,PE,1,9,15750,14157,1593,3067.647347383456,29907
2021,PE,1,10,579,554,25,3270.185730139358,1133
2021,PE,1,11,158,173,-15,3554.5664614911934,331
2021,PE,1,80,1664,1449,215,4141.340547701136,3113
2021,PE,2,1,493,356,137,1006.007565043591,849
2021,PE,2,2,2297,1956,341,1025.6491795583718,4253
2021,PE,2,3,1213,1073,140,1063.5350777418125,2286
2021,PE,2,4,3970,3284,686,1098.679955765567,7254
2021,PE,2,5,4909,4258,651,1115.1481880932186,9167
2021,PE,2,6,6238,4773,1465,1054.0869714991345,11011
2021,PE,2,7,103342,79259,24083,1146.9991933290703,182601
2021,PE,2,8,7901,6119,1782,1441.2644549560612,14020
2021,PE,2,9,22356,18684,3672,2174.3912329880286,41040
2021,PE,2,10,599,581,18,2299.1934837012896,1180
2021,PE,2,11,179,204,-25,1556.0016120414323,383
2021,PE,2,80,2576,2318,258,2697.225088151681,4894
2021,PI,1,1,737,565,172,1107.1170812272123,1302
2021,PI,1,2,3915,3429,486,1113.9032549242388,7344
2021,PI,1,3,2058,1796,262,1322.5423649679879,3854
2021,PI,1,4,5032,4434,598,1533.496724903112,9466
2021,PI,1,5,8308,6970,1338,1308.245933038843,15278
2021,PI,1,6,6145,4714,1431,1258.3688888450267,10859
2021,PI,1,7,39115,28852,10263,1296.3165699440067,67967
2021,PI,1,8,1902,1479,423,1430.4862049518822,3381
2021,PI,1,9,3852,3047,805,2061.4842658853445,6899
2021,PI,1,10,93,109,-16,1350.6701549266447,202
2021,PI,1,11,21,17,4,1406.3213015873016,38
2021,PI,1,80,229,219,10,3311.7661664736665,448
2021,PI,2,1,69,41,28,1064.4788776400367,110
