cod_ibge,regiao_codigo,regiao_nome,ano,mes,valor
2305506,02,Centro Sul,2015,3,569515.345
2311355,02,Centro Sul,2015,3,481947.47500000003
2311900,02,Centro Sul,2015,3,36760.34
2301000,03,Grande Fortaleza,2015,3,582584.2950000002
2303501,03,Grande Fortaleza,2015,3,800120.6100000001
2303709,03,Grande Fortaleza,2015,3,8427514.035
2303956,03,Grande Fortaleza,2015,3,260852.92500000005
2304285,03,Grande Fortaleza,2015,3,1401260.6549999998
2304400,03,Grande Fortaleza,2015,3,69445926.565
2304954,03,Grande Fortaleza,2015,3,203518.05500000002
2305233,03,Grande Fortaleza,2015,3,2270348.5
2306256,03,Grande Fortaleza,2015,3,550305.435
2307650,03,Grande Fortaleza,2015,3,3170381.3100000005
2307700,03,Grande Fortaleza,2015,3,1693155.615
2309607,03,Grande Fortaleza,2015,3,369646.48
2310209,03,Grande Fortaleza,2015,3,78039.60999999999
2310852,03,Grande Fortaleza,2015,3,25933.0
2312601,03,Grande Fortaleza,2015,3,29123.304999999993
2313500,03,Grande Fortaleza,2015,3,351370.55499999993
2301109,04,Litoral Leste,2015,3,881577.0149999999
2302206,04,Litoral Leste,2015,3,418326.73000000004
2304459,04,Litoral Leste,2015,3,17058.600000000006
2305357,04,Litoral Leste,2015,3,528656.885
2306207,04,Litoral Leste,2015,3,58237.860000000015
2307007,04,Litoral Leste,2015,3,637582.47
2300200,05,Litoral Norte,2015,3,246685.82499999998
2302057,05,Litoral Norte,2015,3,91611.05000000002
2302305,05,Litoral Norte,2015,3,918909.1299999999
2303907,05,Litoral Norte,2015,3,108933.17
2304251,05,Litoral Norte,2015,3,524160.3450000001
2304707,05,Litoral Norte,2015,3,970115.915
2306553,05,Litoral Norte,2015,3,273681.92000000004
2307254,05,Litoral Norte,2015,3,346154.08
2307908,05,Litoral Norte,2015,3,227683.68499999994
2308906,05,Litoral Norte,2015,3,129155.13
2300754,06,Litoral Oeste / Vale do Curu,2015,3,1044596.81
2300903,06,Litoral Oeste / Vale do Curu,2015,3,446883.50999999995
2306108,06,Litoral Oeste / Vale do Curu,2015,3,468762.79000000004
2306306,06,Litoral Oeste / Vale do Curu,2015,3,1664715.71
2306405,06,Litoral Oeste / Vale do Curu,2015,3,2696616.3599999994
2308377,06,Litoral Oeste / Vale do Curu,2015,3,3187.0
2310704,06,Litoral Oeste / Vale do Curu,2015,3,412890.3400000001
2313351,06,Litoral Oeste / Vale do Curu,2015,3,432307.555
2313757,06,Litoral Oeste / Vale do Curu,2015,3,483189.52
2313807,06,Litoral Oeste / Vale do Curu,2015,3,1470.5
2300150,07,Maciço do Baturité,2015,3,150658.985
2301208,07,Maciço do Baturité,2015,3,461257.8650000001
2301406,07,Maciço do Baturité,2015,3,49710.67
2302107,07,Maciço do Baturité,2015,3,19379.24
2302909,07,Maciço do Baturité,2015,3,301757.32999999996
2309102,07,Maciço do Baturité,2015,3,20398.665
2309458,07,Maciço do Baturité,2015,3,114177.125
2309805,07,Maciço do Baturité,2015,3,173565.875
2310100,07,Maciço do Baturité,2015,3,57860.899999999994
2311603,07,Maciço do Baturité,2015,3,202660.03
2304236,08,Serra da Ibiapaba,2015,3,191183.75999999998
2305001,08,Serra da Ibiapaba,2015,3,138970.57999999996
2305308,08,Serra da Ibiapaba,2015,3,594146.5149999999
2313401,08,Serra da Ibiapaba,2015,3,487039.9550000001
2313609,08,Serra da Ibiapaba,2015,3,246475.10999999987
2301851,09,Sertão Central,2015,3,34363.390000000014
2303931,09,Sertão Central,2015,3,263926.81000000006
2304269,09,Sertão Central,2015,3,467411.74499999994
2305332,09,Sertão Central,2015,3,52122.22499999999
2308351,09,Sertão Central,2015,3,299676.59
2308500,09,Sertão Central,2015,3,700955.0850000001
2310902,09,Sertão Central,2015,3,139922.71500000003
2311306,09,Sertão Central,2015,3,1096482.845
2312700,09,Sertão Central,2015,3,36966.204999999994
2313005,09,Sertão Central,2015,3,2682.9500000000116
2302800,10,Sertão de Canindé,2015,3,28288.045000000042
2303006,10,Sertão de Canindé,2015,3,201984.195
2307635,10,Sertão de Canindé,2015,3,5279.0
2310407,10,Sertão de Canindé,2015,3,118825.43
2304004,11,Sertão de Sobral,2015,3,1006999.3500000001
2304509,11,Sertão de Sobral,2015,3,65526.899999999994
2304905,11,Sertão de Sobral,2015,3,166365.645
2308005,11,Sertão de Sobral,2015,3,344612.68
2308807,11,Sertão de Sobral,2015,3,44216.97000000003
2312007,11,Sertão de Sobral,2015,3,294438.16500000004
2312908,11,Sertão de Sobral,2015,3,1668429.3499999996
2304103,12,Sertão dos Crateús,2015,3,413718.2300000001
2309300,12,Sertão dos Crateús,2015,3,112274.805
2309409,12,Sertão dos Crateús,2015,3,235375.21500000008
2312205,12,Sertão dos Crateús,2015,3,403658.43000000005
2300408,13,Sertão dos Inhamuns,2015,3,524627.465
2300705,14,Vale do Jaguaribe,2015,3,859753.065
2306009,14,Vale do Jaguaribe,2015,3,332911.255
2306801,14,Vale do Jaguaribe,2015,3,101634.94
2306900,14,Vale do Jaguaribe,2015,3,547265.815
2307601,14,Vale do Jaguaribe,2015,3,1227047.07
2308708,14,Vale do Jaguaribe,2015,3,544474.2100000001
2311231,14,Vale do Jaguaribe,2015,3,436173.12
2311801,14,Vale do Jaguaribe,2015,3,1064486.735
2312502,14,Vale do Jaguaribe,2015,3,16930.73000000004
2313104,14,Vale do Jaguaribe,2015,3,97629.70000000001
2300101,01,Cariri,2015,4,6372.0
2301604,01,Cariri,2015,4,331843.87
2301901,01,Cariri,2015,4,749861.185
2302503,01,Cariri,2015,4,128727.25
2303204,01,Cariri,2015,4,140409.21499999997
2304202,01,Cariri,2015,4,1573034.58
2307106,01,Cariri,2015,4,267830.135
2307205,01,Cariri,2015,4,180620.6
2307304,01,Cariri,2015,4,2010706.2000000002
2307502,01,Cariri,2015,4,293791.17
2308302,01,Cariri,2015,4,70000.55500000002
2310605,01,Cariri,2015,4,11555.01000000001
2311108,01,Cariri,2015,4,58635.89
2314003,01,Cariri,2015,4,315867.37499999994
2300309,02,Centro Sul,2015,4,414606.93000000005
2303600,02,Centro Sul,2015,4,90912.95500000002
2303808,02,Centro Sul,2015,4,269951.42000000004
2305407,02,Centro Sul,2015,4,290348.87
2305506,02,Centro Sul,2015,4,569515.345
2311355,02,Centro Sul,2015,4,481947.47500000003
2311900,02,Centro Sul,2015,4,36760.34
2301000,03,Grande Fortaleza,2015,4,582584.2950000002
2303501,03,Grande Fortaleza,2015,4,800120.6100000001
2303709,03,Grande Fortaleza,2015,4,8427514.035
2303956,03,Grande Fortaleza,2015,4,260852.92500000005
