ano,bimestre,regiao_codigo,regiao_nome,elemento,empenhado_acum,pago_acum,empenhado_fluxo,pago_fluxo
2018,6,11,Sertão de Sobral,equip,4932043.89,3376105.43,741916.73,561001.24
2018,6,12,Sertão dos Crateús,equip,6365601.88,4896465.42,1730625.37,1789984.4
2018,6,13,Sertão dos Inhamuns,equip,2029353.22,1313925.96,505355.87,503871.91
2018,6,14,Vale do Jaguaribe,equip,4484868.58,3951692.88,486395.2,1738912.41
2018,6,15,Estado do Ceará (não regionalizado),equip,39725496.75,27048616.61,12064655.81,15465727.59
2018,6,01,Cariri,obras,352716985.5,343386481.82,109947643.65,107440172.11
2018,6,02,Centro Sul,obras,41955442.57,41026091.17,9927681.19,10585073.61
2018,6,03,Grande Fortaleza,obras,510855499.08,458336522.6,171329810.98,150706402.25
2018,6,04,Litoral Leste,obras,57857267.53,56076926.51,17624794.9,18447143.35
2018,6,05,Litoral Norte,obras,39410913.96,39038387.07,9979190.76,16066716.09
2018,6,06,Litoral Oeste / Vale do Curu,obras,37765130.21,37550422.65,10615731.38,10949298.3
2018,6,07,Maciço do Baturité,obras,33592650.58,33323692.73,11393095.51,13335463.09
2018,6,08,Serra da Ibiapaba,obras,69061780.9,59384550.05,43628463.61,36043866.95
2018,6,09,Sertão Central,obras,25053003.08,24602096.32,4356816.58,5708007.66
2018,6,10,Sertão de Canindé,obras,20191403.18,19269194.75,5415736.33,5128579.05
2018,6,11,Sertão de Sobral,obras,81907538.12,81287210.91,16557728.52,17829283.61
2018,6,12,Sertão dos Crateús,obras,44561753.68,43767657.92,13733665.92,17880571.49
2018,6,13,Sertão dos Inhamuns,obras,14624233.7,14479830.74,6717760.25,7219577.86
2018,6,14,Vale do Jaguaribe,obras,77347167.43,77048512.19,18298000.83,22194133.74
2018,6,15,Estado do Ceará (não regionalizado),obras,30712835.56,9909552.21,9244149.56,3609022.59
2019,6,01,Cariri,equip,7297081.33,3008027.03,4032391.12,494540.14
2019,6,02,Centro Sul,equip,3730808.86,1492790.43,2809378.92,965070.45
2019,6,03,Grande Fortaleza,equip,103041220.06,67792073.77,35762011.1,23983863.06
2019,6,04,Litoral Leste,equip,1679922.17,787302.1,977343.79,154760.04
2019,6,05,Litoral Norte,equip,2945911.71,1550447.19,1813238.54,614675.35
2019,6,06,Litoral Oeste / Vale do Curu,equip,1931275.6,896175.56,1584934.73,631626.2
2019,6,07,Maciço do Baturité,equip,692367.98,435043.68,241046.5,124940.09
2019,6,08,Serra da Ibiapaba,equip,1493573.3,722044.12,597155.92,211576.58
2019,6,09,Sertão Central,equip,3876312.2,2734450.19,1182134.64,418076.49
2019,6,10,Sertão de Canindé,equip,1579473.09,993259.55,564101.31,106788.53
2019,6,11,Sertão de Sobral,equip,4647023.38,3832950.42,674817.01,752497.33
2019,6,12,Sertão dos Crateús,equip,5273405.83,3674903.91,1691093.13,1161090.59
2019,6,13,Sertão dos Inhamuns,equip,887875.34,589790.74,316242.7,59538.05
2019,6,14,Vale do Jaguaribe,equip,2494756.39,1135464.31,1366503.15,216473.01
2019,6,15,Estado do Ceará (não regionalizado),equip,46841133.85,32560507.47,17026479.82,24497901.6
2019,6,01,Cariri,obras,257035725.53,172385582.67,140396522.04,61608955.16
2019,6,02,Centro Sul,obras,29518178.4,27168646.93,3961994.22,2901271.57
2019,6,03,Grande Fortaleza,obras,586619958.08,417719605.75,314385798.03,172930528.85
2019,6,04,Litoral Leste,obras,51381820.78,46090303.36,18266053.2,15818047.18
2019,6,05,Litoral Norte,obras,16949945.32,14219757.22,4270026.18,2204852.85
2019,6,06,Litoral Oeste / Vale do Curu,obras,21436371.7,20494358.38,9871148.21,10532444.44
2019,6,07,Maciço do Baturité,obras,12539552.94,10149253.26,5695446.58,3659391.48
2019,6,08,Serra da Ibiapaba,obras,14650645.48,11955786.03,5266493.3,3569894.46
2019,6,09,Sertão Central,obras,19220042.19,17316010.82,8352002.75,7878912.23
2019,6,10,Sertão de Canindé,obras,8584298.08,5321201.23,3084704.35,538557.88
2019,6,11,Sertão de Sobral,obras,37547867.48,34535996.97,8505329.77,7190911.65
2019,6,12,Sertão dos Crateús,obras,47901033.82,43572071.15,10569377.57,10011149.11
2019,6,13,Sertão dos Inhamuns,obras,30487169.34,27770482.04,10661483.57,8454245.32
2019,6,14,Vale do Jaguaribe,obras,109981993.26,103201710.16,36128337.55,29705713.68
2019,6,15,Estado do Ceará (não regionalizado),obras,17876741.89,4830440.85,5863688.83,1810460.63
2020,6,01,Cariri,equip,6673313.86,2697613.39,4138644.67,922539.68
2020,6,02,Centro Sul,equip,4001317.06,2064826.35,1989243.85,1027828.68
2020,6,03,Grande Fortaleza,equip,264666663.82,194613741.46,53872910.08,24426585.75
