Código,Descrição,Lei,Lei + Cred.,Empenhado,Pago,% Emp.,% Pago,ano,mes
10200050,FUNDO DE DEFESA CIVIL DO ESTADO DO CEARÁ,50000.0,50000.0,0.0,0.0,,,2026,12
15200002,FUNDO DE DEFESA DOS DIREITOS DIFUSOS DO ESTADO DO CEARÁ,1550000.0,1550000.0,0.0,0.0,,,2026,12
42200001,FUNDO DE DESENVOLVIMENTO DO ESPORTE E JUVENTUDE,130000.0,130000.0,0.0,0.0,,,2026,12
08200013,FUNDO DE INCENTIVO À EFICIÊNCIA ENERGÉTICA,10422897.0,10422897.0,0.0,0.0,,,2026,12
13200002,FUNDO DE MODERNIZAÇÃO E REAPARELHAMENTO DA PROCURADORIA GERAL DO ESTADO,3064500.0,3064500.0,0.0,0.0,,,2026,12
15200005,FUNDO DE REAPARELHAMENTO E MODERNIZAÇÃO DO MINISTÉRIO PÚBLICO DO ESTADO DO CEARÁ,14536500.0,14536500.0,18039.24,0.0,,,2026,12
10200006,FUNDO DE SEGURANÇA PÚBLICA E DEFESA SOCIAL DO ESTADO DO CEARÁ,19917500.0,19917500.0,0.0,0.0,,,2026,12
04200001,FUNDO ESPECIAL DE REAPARELHAMENTO E MODERNIZAÇÃO DO PODER JUDICIÁRIO,81687609.0,81687609.0,0.0,0.0,,,2026,12
47200003,FUNDO ESPECIAL DO DESENVOLVIMENTO E COMERCIALIZAÇÃO DO ARTESANATO,70000.0,70000.0,0.0,0.0,,,2026,12
27200004,FUNDO ESTADUAL DA CULTURA,10000.0,10000.0,0.0,0.0,,,2026,12
47200002,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,280000.0,580000.0,0.0,0.0,,,2026,12
36200001,FUNDO ESTADUAL DE DESENVOLVIMENTO DO TURISMO DO ESTADO DO CEARÁ,1500000.0,1500000.0,0.0,0.0,,,2026,12
13200003,FUNDO ESTADUAL DE FORTALECIMENTO AO CONTROLE ADMINISTRATIVO,80000.0,80000.0,0.0,0.0,,,2026,12
43200008,FUNDO ESTADUAL DE SANEAMENTO BÁSICO,62193031.0,62193031.0,0.0,0.0,,,2026,12
24200004,FUNDO ESTADUAL DE SAÚDE,81359782.0,77286597.79,3327730.91,2293730.91,,,2026,12
04200003,FUNDO ESTADUAL DE SEGURANÇA DOS MAGISTRADOS,483412.0,483412.0,0.0,0.0,,,2026,12
63200001,FUNDO ESTADUAL DO IDOSO DO CEARÁ,352173.0,352173.0,0.0,0.0,,,2026,12
57200003,FUNDO ESTADUAL DO MEIO AMBIENTE,482700.0,482700.0,0.0,0.0,,,2026,12
59200002,FUNDO ESTADUAL DO TRABALHO,950000.0,950000.0,0.0,0.0,,,2026,12
47200001,FUNDO ESTADUAL PARA A CRIANÇA E O ADOLESCENTE,225000.0,225000.0,0.0,0.0,,,2026,12
18200004,FUNDO PENITENCIÁRIO DO ESTADO DO CEARÁ,91000.0,91000.0,0.0,0.0,,,2026,12
18200005,FUNDO ROTATIVO DO SISTEMA PENITENCIÁRIO DO ESTADO DO CEARÁ,15000.0,15000.0,0.0,0.0,,,2026,12
21200003,INSTITUTO DE DESENVOLVIMENTO AGRÁRIO DO CEARÁ,154000.0,154000.0,0.0,0.0,,,2026,12
56200012,INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO CEARÁ,3000000.0,3000000.0,99999.0,98199.02,,,2026,12
46200003,INSTITUTO DE PESQUISA E ESTRATÉGIA ECONÔMICA DO CEARÁ,1650734.0,1650734.0,0.0,0.0,,,2026,12
46200001,INSTITUTO DE SAÚDE DOS SERVIDORES DO ESTADO DO CEARÁ,2210000.0,2210000.0,0.0,0.0,,,2026,12
56200007,JUNTA COMERCIAL DO ESTADO DO CEARÁ,135000.0,135000.0,0.0,0.0,,,2026,12
31200006,NÚCLEO DE TECNOLOGIA E QUALIDADE INDUSTRIAL DO CEARÁ,216000.0,216000.0,0.0,0.0,,,2026,12
10100007,PERÍCIA FORENSE DO ESTADO DO CEARÁ,1040000.0,1040000.0,0.0,0.0,,,2026,12
10100002,POLÍCIA CIVIL,6108000.0,6108000.0,0.0,0.0,,,2026,12
10100003,POLÍCIA MILITAR,12831310.0,12831310.0,0.0,0.0,,,2026,12
15000000,PROCURADORIA GERAL DA JUSTIÇA,16886500.0,16886500.0,18039.24,0.0,,,2026,12
13000000,PROCURADORIA GERAL DO ESTADO,6962024.0,6962024.0,0.0,0.0,,,2026,12
18000000,SECRETARIA DA ADMINISTRAÇÃO PENITENCIÁRIA E RESSOCIALIZAÇÃO,13013400.0,13013400.0,0.0,0.0,,,2026,12
31000000,"SECRETARIA DA CIÊNCIA, TECNOLOGIA E EDUCAÇÃO SUPERIOR",31047552.0,31047552.0,0.0,0.0,,,2026,12
27000000,SECRETARIA DA CULTURA,14390000.0,14390000.0,0.0,0.0,,,2026,12
22000000,SECRETARIA DA EDUCAÇÃO,257057173.0,257057173.0,0.0,0.0,,,2026,12
19000000,SECRETARIA DA FAZENDA,115185000.0,115185000.0,0.0,0.0,,,2026,12
67000000,SECRETARIA DA IGUALDADE RACIAL,200000.0,200000.0,0.0,0.0,,,2026,12
08000000,SECRETARIA DA INFRAESTRUTURA,1041116475.0,1041353024.0,429619.75,0.0,,,2026,12
64000000,SECRETARIA DA JUVENTUDE,116000.0,116000.0,0.0,0.0,,,2026,12
61000000,SECRETARIA DA PESCA E AQUICULTURA,356000.0,356000.0,0.0,0.0,,,2026,12
70000000,SECRETARIA DA PROTEÇÃO ANIMAL,198000.0,198000.0,0.0,0.0,,,2026,12
47000000,SECRETARIA DA PROTEÇÃO SOCIAL,45881061.0,47211061.0,0.0,0.0,,,2026,12
24000000,SECRETARIA DA SAÚDE,81409782.0,77336597.79,3327730.91,2293730.91,,,2026,12
10000000,SECRETARIA DA SEGURANÇA PÚBLICA E DEFESA SOCIAL,45172663.0,58857125.65,0.0,0.0,,,2026,12
43000000,SECRETARIA DAS CIDADES,1582864871.0,1582864871.0,67717048.55,61948199.69,,,2026,12
62000000,SECRETARIA DAS MULHERES,4286980.0,4286980.0,0.0,0.0,,,2026,12
21000000,SECRETARIA DO DESENVOLVIMENTO AGRÁRIO,288914547.0,292663007.38,1229942.63,1229942.63,,,2026,12
56000000,SECRETARIA DO DESENVOLVIMENTO ECONÔMICO,276869842.0,276869842.0,99999.0,98199.02,,,2026,12
42000000,SECRETARIA DO ESPORTE,6954874.0,6154874.0,0.0,0.0,,,2026,12
57000000,SECRETARIA DO MEIO AMBIENTE E MUDANÇA DO CLIMA,10564600.0,10564600.0,0.0,0.0,,,2026,12
46000000,SECRETARIA DO PLANEJAMENTO E GESTÃO,64925333.0,64925333.0,0.0,0.0,,,2026,12
59000000,SECRETARIA DO TRABALHO,2430000.0,2430000.0,0.0,0.0,,,2026,12
36000000,SECRETARIA DO TURISMO,147575148.0,147575148.0,0.0,0.0,,,2026,12
63000000,SECRETARIA DOS DIREITOS HUMANOS,2654682.0,2654682.0,0.0,0.0,,,2026,12
29000000,SECRETARIA DOS RECURSOS HÍDRICOS,991624650.0,991624650.0,500000.0,500000.0,,,2026,12
29200001,SUPERINTENDÊNCIA DE OBRAS HIDRÁULICAS,11904346.0,11904346.0,500000.0,500000.0,,,2026,12
43200007,SUPERINTENDÊNCIA DE OBRAS PÚBLICAS,811404209.0,811404209.0,50650862.21,48824192.07,,,2026,12
10100009,SUPERINTENDÊNCIA DE PESQUISA E ESTRATÉGIA DE SEGURANÇA PÚBLICA DO ESTADO DO CEARÁ,35000.0,35000.0,0.0,0.0,,,2026,12
47100004,SUPERINTENDÊNCIA DO SISTEMA ESTADUAL DE ATENDIMENTO SÓCIOEDUCATIVO,3084000.0,3084000.0,0.0,0.0,,,2026,12
63200002,SUPERINTENDÊNCIA ESTADUAL DE DEFESA DO CONSUMIDOR,481000.0,481000.0,0.0,0.0,,,2026,12
57200001,SUPERINTENDÊNCIA ESTADUAL DO MEIO AMBIENTE,8391900.0,8391900.0,0.0,0.0,,,2026,12
02000000,TRIBUNAL DE CONTAS DO ESTADO,10000000.0,10000000.0,107245.0,0.0,,,2026,12
04000000,TRIBUNAL DE JUSTIÇA,82731170.0,82731170.0,0.0,0.0,,,2026,12
