ano,mes,direto_ce,ne_rateado,nacional_rateado,ne_bruto,nacional_bruto,share_ne,share_br,total
2018,10,15253090.520000001,13139948.491907999,13247091.128432,90371035.02,652566065.44,0.1454,0.0203,41640130.14034
2018,11,1646114.36,11582617.713668,21592772.148521,79660369.42,1063683357.0699999,0.1454,0.0203,34821504.222188994
2018,12,9034079.06,10956853.160133999,66137432.585356995,75356624.21,3258001605.19,0.1454,0.0203,86128364.805491
2019,1,0.0,0.0,31536.856695999995,0.0,1487587.5799999998,0.1466,0.0212,31536.856695999995
2019,2,19617.17,482740.411022,177490.595904,3292908.67,8372197.92,0.1466,0.0212,679848.176926
2019,3,28606.47,5961390.68271,3035798.147808,40664329.35,143198025.84,0.1466,0.0212,9025795.300518
2019,4,1515561.74,5869417.831696001,1748280.1029080001,40036956.56,82466042.59,0.1466,0.0212,9133259.674604
2019,5,1520858.84,4494198.510985999,2333243.693548,30656197.209999997,110058664.78999999,0.1466,0.0212,8348301.044534
2019,6,2186074.73,6206536.851960001,5153223.8723,42336540.6,243076597.75,0.1466,0.0212,13545835.45426
2019,7,3083885.4800000004,4210837.342756,5775725.565604,28723310.66,272439885.17,0.1466,0.0212,13070448.388360001
2019,8,5228729.49,8061037.424752001,7682552.063560001,54986612.72,362384531.3,0.1466,0.0212,20972318.978312
2019,9,11413572.02,6901859.745972001,9809620.953188,47079534.42,462717969.49,0.1466,0.0212,28125052.719159998
2019,10,10620165.39,8604182.612438,19915692.896924,58691559.43000001,939419476.27,0.1466,0.0212,39140040.899362
2019,11,8073237.749999999,8516666.616926,21855746.431539997,58094588.11,1030931435.4499999,0.1466,0.0212,38445650.798466
2019,12,5604504.86,8418037.605482,60760836.453228004,57421811.77,2866077191.19,0.1466,0.0212,74783378.91871001
2020,1,0.0,0.0,120440.952188,0.0,5400939.56,0.1485,0.0223,120440.952188
2020,2,16520.49,3983230.271295,1272174.314096,26823099.47,57048175.52,0.1485,0.0223,5271925.075391
2020,3,517952.57,17458315.504244998,6585300.521476001,117564414.17,295304956.12,0.1485,0.0223,24561568.595721
2020,4,26136.0,12639097.6965,11391266.268514,85111769.0,510819115.18,0.1485,0.0223,24056499.965014
2020,5,192499.72,13098797.84862,6768508.896759,88207392.92,303520578.33,0.1485,0.0223,20059806.465379
2020,6,0.0,14062641.926355,10021718.880207,94697925.43,449404434.09,0.1485,0.0223,24084360.806562
2020,7,620045.49,16407002.526749998,12344090.615228001,110484865.5,553546664.36,0.1485,0.0223,29371138.631977998
2020,8,5242037.1899999995,10950683.639445,22818166.079438,73741977.37,1023236147.06,0.1485,0.0223,39010886.908883
2020,9,4758057.779999999,18084630.32046,14281548.635662,121782022.36,640428189.94,0.1485,0.0223,37124236.736122
2020,10,12468023.67,10805143.979519999,17004494.272981,72761912.32,762533375.47,0.1485,0.0223,40277661.922501
2020,11,13142818.709999999,13148555.92182,19047415.092465,88542464.12,854144174.55,0.1485,0.0223,45338789.724285
2020,12,16943648.04,43101180.42417,57634643.932732,290243639.22,2584513180.84,0.1485,0.0223,117679472.396902
2021,1,0.0,0.0,10585.006244,0.0,494626.46,0.1473,0.0214,10585.006244
2021,2,10520.19,0.0,401097.02680800005,0.0,18742851.720000003,0.1473,0.0214,411617.21680800006
2021,3,10328.55,0.0,8378299.426813999,0.0,391509319.01,0.1473,0.0214,8388627.976814
2021,4,2576.1,0.0,4461441.264464,0.0,208478563.76000002,0.1473,0.0214,4464017.364464
2021,5,1283.7,12208985.308265999,3798233.2573459996,82885168.42,177487535.39,0.1473,0.0214,16008502.265611999
2021,6,3699.05,10246858.09716,16353182.316130001,69564549.2,764167397.95,0.1473,0.0214,26603739.463290002
2021,7,28714.22,8444526.380406,6158162.077484,57328760.22,287764583.06,0.1473,0.0214,14631402.677889999
2021,8,212530.8,10094652.843657,9388134.318489999,68531248.09,438697865.34999996,0.1473,0.0214,19695317.962146997
2021,9,2037803.04,16011704.475770999,18274534.264806,108701320.27,853950199.29,0.1473,0.0214,36324041.780577
2021,10,11306832.68,13634497.971251998,8813208.814212,92562783.24,411832187.58,0.1473,0.0214,33754539.465463996
2021,11,4699196.55,24572028.002559,12929663.85358,166816211.83,604189899.7,0.1473,0.0214,42200888.406139
2021,12,9438168.540000001,32823607.882037997,44550438.401585996,222835084.06,2081796186.99,0.1473,0.0214,86812214.82362399
2022,1,0.0,0.0,4846.039066,0.0,222295.37,0.1481,0.0218,4846.039066
2022,2,51888.64,525215.6657110001,1307573.59745,3546358.31,59980440.25,0.1481,0.0218,1884677.903161
2022,3,75710.78,2265935.507839,2031995.506926,15300037.19,93210803.07,0.1481,0.0218,4373641.794764999
2022,4,186066.06,8021863.110608,2313023.4365,54165179.68,106101992.5,0.1481,0.0218,10520952.607108
2022,5,602730.39,11842225.44771,3907812.516602,79961009.1,179257454.89000002,0.1481,0.0218,16352768.354312
2022,6,1270965.29,14526477.186723001,16755182.786212001,98085598.83,768586366.34,0.1481,0.0218,32552625.262935
