cod_ibge,regiao_codigo,regiao_nome,ano,mes,credito_operacoes
2312908,11,Sertão de Sobral,2015,4,74952992.0
2313302,13,Sertão dos Inhamuns,2015,4,16792487.0
2313401,08,Serra da Ibiapaba,2015,4,24570134.0
2314102,08,Serra da Ibiapaba,2015,4,1239222.0
2300200,05,Litoral Norte,2015,5,8434184.0
2300309,02,Centro Sul,2015,5,8087603.0
2301000,03,Grande Fortaleza,2015,5,1244558.0
2301109,04,Litoral Leste,2015,5,36715253.0
2301901,01,Cariri,2015,5,25651638.0
2302107,07,Maciço do Baturité,2015,5,23288643.0
2302404,10,Sertão de Canindé,2015,5,16193319.0
2302503,01,Cariri,2015,5,27878198.0
2302701,01,Cariri,2015,5,14882308.0
2302800,10,Sertão de Canindé,2015,5,27652933.0
2303501,03,Grande Fortaleza,2015,5,14168981.0
2303709,03,Grande Fortaleza,2015,5,2192148.0
2304103,12,Sertão dos Crateús,2015,5,31561187.0
2304202,01,Cariri,2015,5,31209376.0
2304285,03,Grande Fortaleza,2015,5,1299962.0
2304400,03,Grande Fortaleza,2015,5,4330190786.0
2304707,05,Litoral Norte,2015,5,28739401.0
2305233,03,Grande Fortaleza,2015,5,2920563.0
2305506,02,Centro Sul,2015,5,50455928.0
2306306,06,Litoral Oeste / Vale do Curu,2015,5,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,5,65415254.0
2306900,14,Vale do Jaguaribe,2015,5,20259732.0
2307304,01,Cariri,2015,5,74294955.0
2307502,01,Cariri,2015,5,20229060.0
2307601,14,Vale do Jaguaribe,2015,5,32923774.0
2307650,03,Grande Fortaleza,2015,5,114150604.0
2307700,03,Grande Fortaleza,2015,5,2776178.0
2308500,09,Sertão Central,2015,5,13573498.0
2309300,12,Sertão dos Crateús,2015,5,28666129.0
2309607,03,Grande Fortaleza,2015,5,6827527.0
2311306,09,Sertão Central,2015,5,24703604.0
2311405,09,Sertão Central,2015,5,10131638.0
2311801,14,Vale do Jaguaribe,2015,5,352322.0
2312205,12,Sertão dos Crateús,2015,5,2104657.0
2312304,08,Serra da Ibiapaba,2015,5,21261444.0
2312908,11,Sertão de Sobral,2015,5,75861237.0
2313302,13,Sertão dos Inhamuns,2015,5,17209184.0
2313401,08,Serra da Ibiapaba,2015,5,24813465.0
2314102,08,Serra da Ibiapaba,2015,5,1216252.0
2300200,05,Litoral Norte,2015,6,8666569.0
2300309,02,Centro Sul,2015,6,8301735.0
2301000,03,Grande Fortaleza,2015,6,1236713.0
2301109,04,Litoral Leste,2015,6,39144815.0
2301901,01,Cariri,2015,6,24762100.0
2302107,07,Maciço do Baturité,2015,6,24629501.0
2302404,10,Sertão de Canindé,2015,6,16636619.0
2302503,01,Cariri,2015,6,27520097.0
2302701,01,Cariri,2015,6,14713847.0
2302800,10,Sertão de Canindé,2015,6,27758643.0
2303501,03,Grande Fortaleza,2015,6,15844552.0
2303709,03,Grande Fortaleza,2015,6,2303802.0
2304103,12,Sertão dos Crateús,2015,6,32001053.0
2304202,01,Cariri,2015,6,31204343.0
2304285,03,Grande Fortaleza,2015,6,1480753.0
2304400,03,Grande Fortaleza,2015,6,4156034768.0
2304707,05,Litoral Norte,2015,6,30918892.0
2305233,03,Grande Fortaleza,2015,6,3339195.0
2305506,02,Centro Sul,2015,6,50628039.0
2306306,06,Litoral Oeste / Vale do Curu,2015,6,1.0
2306405,06,Litoral Oeste / Vale do Curu,2015,6,67711898.0
2306900,14,Vale do Jaguaribe,2015,6,22369007.0
2307304,01,Cariri,2015,6,75979946.0
2307502,01,Cariri,2015,6,20262866.0
2307601,14,Vale do Jaguaribe,2015,6,33195955.0
2307650,03,Grande Fortaleza,2015,6,119870922.0
2307700,03,Grande Fortaleza,2015,6,3469166.0
2308500,09,Sertão Central,2015,6,13753114.0
2309300,12,Sertão dos Crateús,2015,6,29635208.0
2309607,03,Grande Fortaleza,2015,6,23152579.0
2311306,09,Sertão Central,2015,6,24687932.0
2311405,09,Sertão Central,2015,6,9880638.0
2311801,14,Vale do Jaguaribe,2015,6,396867.0
2312205,12,Sertão dos Crateús,2015,6,2224112.0
2312304,08,Serra da Ibiapaba,2015,6,21474363.0
2312908,11,Sertão de Sobral,2015,6,79800506.0
2313302,13,Sertão dos Inhamuns,2015,6,16848550.0
2313401,08,Serra da Ibiapaba,2015,6,25645064.0
2314102,08,Serra da Ibiapaba,2015,6,1113522.0
2300200,05,Litoral Norte,2015,7,8796833.0
2300309,02,Centro Sul,2015,7,7982239.0
2301000,03,Grande Fortaleza,2015,7,1248237.0
2301109,04,Litoral Leste,2015,7,39484849.0
2301901,01,Cariri,2015,7,24722655.0
2302107,07,Maciço do Baturité,2015,7,24534808.0
2302404,10,Sertão de Canindé,2015,7,16425740.0
2302503,01,Cariri,2015,7,27183796.0
2302701,01,Cariri,2015,7,14710119.0
2302800,10,Sertão de Canindé,2015,7,26992491.0
2303501,03,Grande Fortaleza,2015,7,15868276.0
2303709,03,Grande Fortaleza,2015,7,2374281.0
2304103,12,Sertão dos Crateús,2015,7,32149371.0
2304202,01,Cariri,2015,7,30957453.0
2304285,03,Grande Fortaleza,2015,7,1673654.0
2304400,03,Grande Fortaleza,2015,7,4727629985.0
2304707,05,Litoral Norte,2015,7,30177492.0
2305233,03,Grande Fortaleza,2015,7,3566849.0
2305506,02,Centro Sul,2015,7,50827118.0
2306306,06,Litoral Oeste / Vale do Curu,2015,7,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,7,67862879.0
2306900,14,Vale do Jaguaribe,2015,7,21673886.0
2307304,01,Cariri,2015,7,77196823.0
2307502,01,Cariri,2015,7,20219098.0
2307601,14,Vale do Jaguaribe,2015,7,32742505.0
2307650,03,Grande Fortaleza,2015,7,120681533.0
2307700,03,Grande Fortaleza,2015,7,3448308.0
2308500,09,Sertão Central,2015,7,13462601.0
2309300,12,Sertão dos Crateús,2015,7,29103080.0
2309607,03,Grande Fortaleza,2015,7,23315815.0
2311306,09,Sertão Central,2015,7,24693069.0
2311405,09,Sertão Central,2015,7,9547865.0
2311801,14,Vale do Jaguaribe,2015,7,525529.0
2312205,12,Sertão dos Crateús,2015,7,2362415.0
2312304,08,Serra da Ibiapaba,2015,7,22042396.0
2312908,11,Sertão de Sobral,2015,7,80727926.0
2313302,13,Sertão dos Inhamuns,2015,7,16670603.0
2313401,08,Serra da Ibiapaba,2015,7,25389634.0
2314102,08,Serra da Ibiapaba,2015,7,1211483.0
2300200,05,Litoral Norte,2015,8,9053621.0
2300309,02,Centro Sul,2015,8,8067228.0
2301000,03,Grande Fortaleza,2015,8,1476835.0
