cod_ibge,ano,mes,bnb_operacoes_credito_total,bnb_emprestimos_titulos_descontados,bnb_financiamentos,bnb_financiamentos_rurais_agricultura,bnb_financiamentos_agroindustriais,bnb_financiamentos_imobiliarios,credito_bnb_total
2305506,2015,3,46288333.0,34567617.0,4599873.0,747695.0,0.0,0.0,46288333.0
2306306,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306405,2015,3,63536883.0,51348337.0,7546327.0,1124682.0,0.0,0.0,63536883.0
2306900,2015,3,19734696.0,14234094.0,2272803.0,809372.0,0.0,0.0,19734696.0
2307304,2015,3,70239142.0,53615466.0,12390663.0,136522.0,0.0,0.0,70239142.0
2307502,2015,3,19741197.0,7742661.0,624506.0,2197243.0,0.0,0.0,19741197.0
2307601,2015,3,31494494.0,20924936.0,6005003.0,2820151.0,482143.0,0.0,31494494.0
2307650,2015,3,109056030.0,76085600.0,32565995.0,145359.0,0.0,0.0,109056030.0
2307700,2015,3,2318354.0,962232.0,1282219.0,0.0,0.0,0.0,2318354.0
2308500,2015,3,12639724.0,9695423.0,1359824.0,2585.0,0.0,0.0,12639724.0
2309300,2015,3,27794686.0,22109414.0,2578624.0,374969.0,0.0,0.0,27794686.0
2309607,2015,3,6271848.0,3376473.0,2876936.0,0.0,0.0,0.0,6271848.0
2311306,2015,3,23652262.0,15959008.0,2685643.0,1194480.0,452989.0,0.0,23652262.0
2311405,2015,3,9537920.0,6626348.0,718972.0,48432.0,0.0,0.0,9537920.0
2311801,2015,3,183200.0,100759.0,59508.0,0.0,0.0,0.0,183200.0
2312205,2015,3,1797584.0,1154890.0,444319.0,0.0,0.0,0.0,1797584.0
2312304,2015,3,21290547.0,17361971.0,1745270.0,2025412.0,0.0,0.0,21290547.0
2312908,2015,3,74864459.0,57386554.0,10960776.0,228612.0,0.0,0.0,74864459.0
2313302,2015,3,16836185.0,14058260.0,1420188.0,1704.0,42261.0,0.0,16836185.0
2313401,2015,3,24670359.0,18136554.0,4517909.0,970707.0,0.0,0.0,24670359.0
2314102,2015,3,1185648.0,751118.0,407872.0,0.0,0.0,0.0,1185648.0
2300200,2015,4,8299493.0,5113953.0,3070253.0,0.0,0.0,0.0,8299493.0
2300309,2015,4,8083365.0,6887895.0,927417.0,0.0,0.0,0.0,8083365.0
2301000,2015,4,940125.0,741611.0,187941.0,0.0,0.0,0.0,940125.0
2301109,2015,4,36251729.0,22668976.0,2714145.0,1518549.0,0.0,0.0,36251729.0
2301901,2015,4,25283557.0,22149963.0,2958302.0,0.0,0.0,0.0,25283557.0
2302107,2015,4,22405737.0,16507451.0,1312743.0,2956980.0,204238.0,0.0,22405737.0
2302404,2015,4,16151147.0,12008685.0,1734431.0,152048.0,0.0,0.0,16151147.0
2302503,2015,4,27035301.0,21032171.0,2890072.0,1324496.0,0.0,0.0,27035301.0
2302701,2015,4,14308152.0,10854005.0,776258.0,25569.0,0.0,0.0,14308152.0
2302800,2015,4,26775298.0,22321290.0,1964475.0,35979.0,0.0,0.0,26775298.0
2303501,2015,4,13529234.0,12026298.0,1441311.0,0.0,0.0,0.0,13529234.0
2303709,2015,4,2162070.0,1187534.0,913689.0,0.0,0.0,0.0,2162070.0
2304103,2015,4,31033372.0,23519870.0,2810650.0,61382.0,0.0,0.0,31033372.0
2304202,2015,4,29456795.0,20724050.0,3662872.0,515749.0,0.0,0.0,29456795.0
2304285,2015,4,1098012.0,838830.0,210961.0,0.0,0.0,0.0,1098012.0
2304400,2015,4,4302080612.0,619358453.0,805554642.0,13505059.0,0.0,676207842.0,4302080612.0
2304707,2015,4,27682881.0,23798982.0,3553213.0,221280.0,0.0,0.0,27682881.0
2305233,2015,4,2813522.0,1077205.0,1628913.0,0.0,0.0,0.0,2813522.0
2305506,2015,4,48447933.0,36672332.0,4597965.0,756080.0,0.0,0.0,48447933.0
2306306,2015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306405,2015,4,64623604.0,51564778.0,8324786.0,1142347.0,0.0,0.0,64623604.0
2306900,2015,4,19589665.0,14156735.0,2161552.0,818956.0,0.0,0.0,19589665.0
2307304,2015,4,72688563.0,55200145.0,13212815.0,139169.0,0.0,0.0,72688563.0
2307502,2015,4,19740716.0,7581068.0,650835.0,2221905.0,0.0,0.0,19740716.0
2307601,2015,4,32311041.0,21476398.0,6278159.0,2855328.0,457826.0,0.0,32311041.0
2307650,2015,4,106857674.0,76215587.0,30231254.0,147114.0,0.0,0.0,106857674.0
2307700,2015,4,2267308.0,934998.0,1268117.0,0.0,0.0,0.0,2267308.0
2308500,2015,4,13362441.0,10376337.0,1386699.0,2585.0,0.0,0.0,13362441.0
2309300,2015,4,28096687.0,22490565.0,2471018.0,379936.0,0.0,0.0,28096687.0
2309607,2015,4,6713632.0,3809618.0,2888224.0,0.0,0.0,0.0,6713632.0
2311306,2015,4,23738530.0,16075399.0,2640760.0,1214995.0,425710.0,0.0,23738530.0
2311405,2015,4,9618072.0,6703747.0,712629.0,48996.0,0.0,0.0,9618072.0
2311801,2015,4,331919.0,247862.0,57382.0,0.0,0.0,0.0,331919.0
2312205,2015,4,1934004.0,1277854.0,457753.0,0.0,0.0,0.0,1934004.0
