cod_ibge,ano,bimestre,motivo,detalhe
2313609,2025,6,suspeito_relato_corrente,valor_b6=11882596 < b5=15186608
2314102,2021,6,suspeito_relato_corrente,valor_b6=11952215 < b5=13231844
2301851,2015,6,suspeito_relato_corrente,valor_b6=2814703 < b5=3409753
2303931,2015,6,suspeito_relato_corrente,valor_b6=3135914 < b5=3303918
2303931,2019,6,suspeito_relato_corrente,valor_b6=812248 < b5=952302
2303931,2024,5,suspeito_relato_corrente,valor_b5=7784011 < b4=9887585
2303931,2025,6,suspeito_relato_corrente,valor_b6=17646728 < b5=20172967
2305266,2019,6,suspeito_relato_corrente,valor_b6=3105039 < b5=3488704
2305332,2016,6,suspeito_relato_corrente,valor_b6=260 < b5=238807
2305332,2019,6,suspeito_relato_corrente,valor_b6=2202751 < b5=2656616
2305332,2020,5,suspeito_relato_corrente,valor_b5=10113124 < b4=11098627
2305332,2020,6,suspeito_relato_corrente,valor_b6=8379691 < b5=10113124
2310506,2020,6,suspeito_relato_corrente,valor_b6=2101161 < b5=2281828
2311306,2018,6,suspeito_relato_corrente,valor_b6=3629368 < b5=4561549
2311405,2015,6,suspeito_relato_corrente,valor_b6=15369594 < b5=20555627
2311405,2019,6,suspeito_relato_corrente,valor_b6=11396798 < b5=12203497
2311405,2023,6,suspeito_relato_corrente,valor_b6=10144870 < b5=11385096
2311405,2024,6,suspeito_relato_corrente,valor_b6=35239473 < b5=44685945
2311405,2025,6,suspeito_relato_corrente,valor_b6=51024908 < b5=57311082
2302404,2018,6,suspeito_relato_corrente,valor_b6=4186290 < b5=4476391
2302800,2015,3,suspeito_relato_corrente,valor_b3=1044254 < b2=1518094
2303105,2018,6,suspeito_relato_corrente,valor_b6=7730550 < b5=8190682
2304509,2017,5,suspeito_relato_corrente,valor_b5=2195095 < b4=2780447
2304509,2020,6,suspeito_relato_corrente,valor_b6=3069891 < b5=3243251
2304657,2018,4,suspeito_relato_corrente,valor_b4=5815517 < b3=6786918
2304657,2018,5,suspeito_relato_corrente,valor_b5=5439195 < b4=5815517
2304657,2018,6,suspeito_relato_corrente,valor_b6=3923142 < b5=5439195
2308005,2019,6,suspeito_relato_corrente,valor_b6=3322635 < b5=3856313
2308005,2020,5,suspeito_relato_corrente,valor_b5=3389483 < b4=4107573
2308005,2020,6,suspeito_relato_corrente,valor_b6=3194485 < b5=3389483
2308203,2022,5,suspeito_relato_corrente,valor_b5=2758024 < b4=3130965
2309904,2019,5,suspeito_relato_corrente,valor_b5=2386234 < b4=2548505
2312007,2015,5,suspeito_relato_corrente,valor_b5=2742358 < b4=3067003
2312007,2015,6,suspeito_relato_corrente,valor_b6=2140872 < b5=2742358
2312007,2018,6,suspeito_relato_corrente,valor_b6=1072131 < b5=1769263
2312809,2019,6,suspeito_relato_corrente,valor_b6=146377 < b5=561155
2304103,2022,5,suspeito_relato_corrente,valor_b5=9570042 < b4=12266400
2305209,2018,6,suspeito_relato_corrente,valor_b6=1829959 < b5=1946976
2305209,2020,6,suspeito_relato_corrente,valor_b6=2205388 < b5=2647926
2305902,2020,5,suspeito_relato_corrente,valor_b5=1569776 < b4=2386562
2309300,2016,6,suspeito_relato_corrente,valor_b6=586027 < b5=1291430
2309300,2023,6,suspeito_relato_corrente,valor_b6=41033527 < b5=43393116
2312205,2017,5,suspeito_relato_corrente,valor_b5=1871008 < b4=2233364
2312205,2017,6,suspeito_relato_corrente,valor_b6=1694099 < b5=1871008
2300408,2015,3,suspeito_relato_corrente,valor_b3=496961 < b2=1304786
2301505,2018,6,suspeito_relato_corrente,valor_b6=1969588 < b5=2223151
2313302,2020,5,suspeito_relato_corrente,valor_b5=4420989 < b4=5820652
2313302,2024,6,suspeito_relato_corrente,valor_b6=99559647 < b5=108997397
2313302,2025,6,suspeito_relato_corrente,valor_b6=34136927 < b5=40399949
2306702,2019,5,suspeito_relato_corrente,valor_b5=4064572 < b4=4354997
2306702,2020,5,suspeito_relato_corrente,valor_b5=7848604 < b4=8438960
2306702,2020,6,suspeito_relato_corrente,valor_b6=6388434 < b5=7848604
2306702,2023,5,suspeito_relato_corrente,valor_b5=9179094 < b4=9944839
2306801,2015,6,suspeito_relato_corrente,valor_b6=745761 < b5=857516
2306801,2016,6,suspeito_relato_corrente,valor_b6=290367 < b5=442873
2306801,2017,6,suspeito_relato_corrente,valor_b6=840744 < b5=903850
2306801,2019,6,suspeito_relato_corrente,valor_b6=1501191 < b5=1641997
2306801,2020,6,suspeito_relato_corrente,valor_b6=3988730 < b5=4373138
2307601,2016,5,suspeito_relato_corrente,valor_b5=4886899 < b4=6269542
2307601,2016,6,suspeito_relato_corrente,valor_b6=3217419 < b5=4886899
2311231,2017,2,suspeito_relato_corrente,valor_b2=411301 < b1=773048
2312502,2015,6,suspeito_relato_corrente,valor_b6=1463180 < b5=1555754
2312502,2017,6,suspeito_relato_corrente,valor_b6=536561 < b5=589491
2313104,2016,6,suspeito_relato_corrente,valor_b6=1511203 < b5=4094259
