exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2023,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,4912930961.63,3365351,Ativo Circulante,Alagoas
2023,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,19704259766.15,3365351,Ativo Não Circulante,Alagoas
2023,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,24617190727.78,3365351,Passivo Total,Alagoas
2023,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1787196921.99,3365351,Passivo Circulante,Alagoas
2023,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,13795588785.84,3365351,Passivo Não Circulante,Alagoas
2023,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,9034405019.95,3365351,Patrimônio Líquido,Alagoas
2024,AL,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,27590613740.97,3125254,Ativo Total,Alagoas
2024,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,5225571069.06,3125254,Ativo Circulante,Alagoas
2024,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,22365042671.91,3125254,Ativo Não Circulante,Alagoas
2024,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,27590613740.97,3125254,Passivo Total,Alagoas
2024,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,2451580647.62,3125254,Passivo Circulante,Alagoas
2024,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo Não-Circulante,33489622002.77,3125254,Passivo Não Circulante,Alagoas
2024,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-8350588909.42,3125254,Patrimônio Líquido,Alagoas
